route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
19700,0,19700_0,6,46.601445,-120.5005842,2754728,Yakima Transit Center,People for People,,,,,,NO,NO,NO,NO,53077001504,15.04,077,001504,Poor
19700,1,19700_1,1,46.601445,-120.5005842,2754728,Yakima Transit Center,People for People,,,,,,NO,NO,NO,NO,53077001504,15.04,077,001504,Poor
19704,0,19704_0,5,46.601445,-120.5005842,2754728,Yakima Transit Center,People for People,,,,,,NO,NO,NO,NO,53077001504,15.04,077,001504,Poor
19704,1,19704_1,1,46.601445,-120.5005842,2754728,Yakima Transit Center,People for People,,,,,,NO,NO,NO,NO,53077001504,15.04,077,001504,Poor
11058,0,11058_0,2,46.6192831,-120.5622804,2454724,Fred Meyer (1206 N 40th Ave),Selah Transit,,,,,,NO,NO,NO,NO,53077000401,4.01,077,000401,Acceptable
11058,0,11058_0,3,46.6192149,-120.5302683,2454730,N 16th Ave & Hambleton Blvd,Selah Transit,,,,,,NO,NO,NO,NO,53077000301,3.01,077,000301,Acceptable
6444,0,6444_0,2,46.577649,-120.482262,2371055,S 14th St & E Mead Ave,Union Gap Transit,,,,,,NO,NO,NO,YES,53077001400,14,077,001400,Good
6445,0,6445_0,2,46.577649,-120.482262,2371055,S 14th St & E Mead Ave,Union Gap Transit,,,,,,NO,NO,NO,YES,53077001400,14,077,001400,Good
19,0,19_0,1,46.601488,-120.50022,767,TRANSIT CENTER,Yakima Transit,,,,,,YES,YES,NO,YES,53077001504,15.04,077,001504,Good
19,0,19_0,2,46.600399076,-120.502328998,745,WALNUT / 3RD ST,Yakima Transit,,,,,,NO,NO,NO,NO,53077000100,1,077,000100,Good
19,0,19_0,3,46.599677699,-120.505382318,566,WALNUT / 1ST STREE,Yakima Transit,,,,,,NO,NO,NO,NO,53077000100,1,077,000100,Good
19,0,19_0,4,46.598871946,-120.508872241,744,WALNUT / 1ST AVE,Yakima Transit,,,,,,NO,NO,NO,NO,53077000100,1,077,000100,Good
19,0,19_0,5,46.598189718,-120.511870981,747,WALNUT / 3RD AVE,Yakima Transit,,,,,,NO,NO,NO,NO,53077000100,1,077,000100,Good
19,0,19_0,6,46.597811,-120.513589,889,Walnut St. and 5th Ave. ,Yakima Transit,,,,,,NO,NO,NO,NO,53077000100,1,077,000100,Good
19,0,19_0,7,46.597478305,-120.514928719,746,WALNUT / 5TH AVE,Yakima Transit,,,,,,NO,NO,NO,NO,53077000100,1,077,000100,Good
19,0,19_0,8,46.596865,-120.517527,716,WALNUT / 7TH AVE,Yakima Transit,,,,,,NO,NO,NO,NO,53077000700,7,077,000700,Good
19,0,19_0,9,46.596188509,-120.520441599,525,Astria Hospital,Yakima Transit,,,,,,NO,NO,NO,NO,53077000700,7,077,000700,Good
19,0,19_0,10,46.595831368,-120.522026874,526,WALNUT / 10TH AVE,Yakima Transit,,,,,,NO,NO,NO,NO,53077000700,7,077,000700,Good
19,0,19_0,11,46.594030401,-120.522520291,146,11TH AVE / SPRUCE,Yakima Transit,,,,,,NO,NO,NO,NO,53077000700,7,077,000700,Good
19,0,19_0,12,46.592767216,-120.52189779,559,11TH AVE / TIETON,Yakima Transit,,,,,,NO,NO,NO,NO,53077000700,7,077,000700,Good
19,0,19_0,13,46.592588938,-120.523402455,724,TIETON DR / HOLTON,Yakima Transit,,,,,,NO,NO,NO,NO,53077000700,7,077,000700,Good
19,0,19_0,14,46.592595872,-120.525339211,527,TIETON / 12TH AVE,Yakima Transit,,,,,,NO,NO,NO,NO,53077000700,7,077,000700,Good
19,0,19_0,15,46.592582917,-120.527978128,521,TIETON DR / 14TH AVE,Yakima Transit,,,,,,NO,NO,NO,NO,53077000700,7,077,000700,Good
19,0,19_0,16,46.59259,-120.530713,211,TIETON / 16TH AVE,Yakima Transit,,,,,,NO,NO,NO,YES,53077000800,8,077,000800,Good
19,0,19_0,17,46.59259356,-120.531890963,522,TIETON DR / 16TH AVE,Yakima Transit,,,,,,NO,NO,NO,NO,53077000800,8,077,000800,Good
19,0,19_0,18,46.592618554,-120.533465319,523,TIETON DR / 18TH AVE,Yakima Transit,,,,,,NO,NO,NO,NO,53077000800,8,077,000800,Good
19,0,19_0,19,46.592661001,-120.536045532,560,TIETON DR / 20TH A,Yakima Transit,,,,,,NO,NO,NO,NO,53077000800,8,077,000800,Good
19,0,19_0,20,46.592682237,-120.538399484,723,TIETON DR / 22ND A,Yakima Transit,,,,,,NO,NO,NO,NO,53077000800,8,077,000800,Good
