route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
10N,0,10N_0,1,46.975978,-123.81516,1111,Aberdeen Transit Center,Grays Harbor Transit,,,,,,YES,YES,NO,YES,53027001000,10,027,001000,Good
10N,0,10N_0,2,46.972402,-123.818905,20268,Heron at L (Safeway),Grays Harbor Transit,,,,,,NO,NO,NO,YES,53027001000,10,027,001000,Good
10N,0,10N_0,3,46.97607993,-123.81000102,10N000,Heron at Kansas,Grays Harbor Transit,,,,,,NO,NO,NO,YES,53027001000,10,027,001000,Good
10N,0,10N_0,4,46.975889,-123.805345,5555,Wal-Mart,Grays Harbor Transit,,,,,,NO,NO,NO,YES,53027001000,10,027,001000,Good
10N,0,10N_0,5,46.976134,-123.802983,40000,Big 5,Grays Harbor Transit,,,,,,NO,NO,NO,NO,53027001000,10,027,001000,Good
10N,0,10N_0,6,46.977268,-123.809275,20272,Wishkah at S Harbor,Grays Harbor Transit,,,,,,NO,NO,NO,YES,53027001000,10,027,001000,Good
10N,0,10N_0,7,46.990658,-123.80367,10N004,Fern Hill - Laura & Forsythe,Grays Harbor Transit,,,,,,NO,NO,NO,YES,53027001000,10,027,001000,Good
10N,0,10N_0,8,46.986217,-123.805293,10N008,Young & Lafayette,Grays Harbor Transit,,,,,,NO,NO,NO,YES,53027001000,10,027,001000,Good
10N,0,10N_0,9,46.980209,-123.809518,10N012,Market & B St.,Grays Harbor Transit,,,,,,NO,NO,NO,YES,53027001000,10,027,001000,Good
10N,0,10N_0,10,46.987078,-123.81416,10N016,B St. at 4th Ave.,Grays Harbor Transit,,,,,,NO,NO,NO,YES,53027001000,10,027,001000,Good
10N,0,10N_0,11,46.997786,-123.812747,10N024,Riverview Dr. - LDS Church,Grays Harbor Transit,,,,,,NO,NO,NO,YES,53027001100,11,027,001100,Good
10N,0,10N_0,12,46.982265,-123.8121,10N020,James Grocery  B St.,Grays Harbor Transit,,,,,,NO,NO,NO,YES,53027001100,11,027,001100,Good
10N,0,10N_0,13,46.975978,-123.81516,1111,Aberdeen Transit Center,Grays Harbor Transit,,,,,,YES,YES,NO,YES,53027001000,10,027,001000,Good
10S,0,10S_0,1,46.975978,-123.81516,1111,Aberdeen Transit Center,Grays Harbor Transit,,,,,,YES,YES,NO,YES,53027001000,10,027,001000,Good
10S,0,10S_0,2,46.967603,-123.802602,10S010,Boone at Cushing Southbound,Grays Harbor Transit,,,,,,NO,NO,NO,YES,53027000900,9,027,000900,Good
10S,0,10S_0,3,46.96515,-123.802587,10S015,Boone at MacFarlane,Grays Harbor Transit,,,,,,NO,NO,NO,YES,53027000900,9,027,000900,Good
10S,0,10S_0,4,46.962117,-123.802868,10S020,Boone at Shoppes at Riverside,Grays Harbor Transit,,,,,,NO,NO,NO,YES,53027000900,9,027,000900,Good
10S,0,10S_0,5,46.960931,-123.805282,10S025,So. Aberdeen Shoppes at Riverside,Grays Harbor Transit,,,,,,NO,NO,NO,YES,53027000900,9,027,000900,Good
10S,0,10S_0,6,46.955431,-123.806259,10S045,GH College Entrance,Grays Harbor Transit,,,,,,NO,NO,NO,YES,53027000900,9,027,000900,Good
10S,0,10S_0,7,46.952347,-123.80247,10S041,GH College Upper Lot,Grays Harbor Transit,,,,,,NO,NO,NO,NO,53027000900,9,027,000900,Good
10S,0,10S_0,8,46.95297932,-123.80328476,10S040,GH College Lower Lot,Grays Harbor Transit,,,,,,NO,NO,NO,NO,53027000900,9,027,000900,Good
10S,0,10S_0,9,46.95553568,-123.80607946,10S046,GH College Exit,Grays Harbor Transit,,,,,,NO,NO,NO,NO,53027000900,9,027,000900,Good
10S,0,10S_0,10,46.95868585,-123.80452394,10S055,Boone at Huntley,Grays Harbor Transit,,,,,,NO,NO,NO,NO,53027000900,9,027,000900,Good
10S,0,10S_0,11,46.958928,-123.793616,10S085,Huntley & Evans,Grays Harbor Transit,,,,,,NO,NO,NO,NO,53027000900,9,027,000900,Good
10S,0,10S_0,12,46.96732411,-123.79491627,10S090,Lawrence at Cushing,Grays Harbor Transit,,,,,,NO,NO,NO,NO,53027000900,9,027,000900,Good
10S,0,10S_0,13,46.968671,-123.802207,10S095,Boone & Marion,Grays Harbor Transit,,,,,,NO,NO,NO,YES,53027000900,9,027,000900,Good
