route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
76436,0,76436_0,1,48.51848861136108,-122.62355207752464,4212587,Anacortes Terminal,Guemes Island Ferry,,Guemes Island Ferry,4,,000000,NO,NO,NO,NO,53057940700,9407,057,940700,Poor
76436,1,76436_1,2,48.51848861136108,-122.62355207752464,4212587,Anacortes Terminal,Guemes Island Ferry,,Guemes Island Ferry,4,,000000,NO,NO,NO,NO,53057940700,9407,057,940700,Poor
32471,0,32471_0,20,48.462382,-122.581756,3449600,Anacortes: SR 20 at Sharpe's Corner Country Store,Island Transit,,,,,,NO,NO,NO,YES,53057940302,9403.02,057,940302,Great
32471,1,32471_1,2,48.461925,-122.582074,3449599,Anacortes: SR 20 at Flea Market/Sharpes Corner,Island Transit,,,,,,NO,NO,NO,YES,53057940301,9403.01,057,940301,Great
409,0,409_0,2,48.514118,-122.611579,2701,10th St and Q Ave,Skagit Transit,,,,,,YES,YES,NO,YES,53057940600,9406,057,940600,Good
40X,0,40X_0,2,48.461708,-122.559621,3232,South March Point Rd at Thompson EB,Skagit Transit,,,,,,NO,NO,NO,YES,53057950100,9501,057,950100,Good
40X,0,40X_0,3,48.462935,-122.55187,3401,March Pt Road at Birch Equipment Rental ,Skagit Transit,,,,,,NO,NO,NO,YES,53057950100,9501,057,950100,Good
40X,0,40X_0,4,48.464265,-122.544256,3414,South March's Point - Reservation Rd.,Skagit Transit,,,,,,NO,NO,NO,YES,53057950100,9501,057,950100,Good
40X,1,40X_1,5,48.464332,-122.54438,3402,South March's Point Rd. - Reservation Rd.,Skagit Transit,,,,,,NO,NO,NO,YES,53057950100,9501,057,950100,Good
40X,1,40X_1,6,48.463084,-122.551568,3415,Across from Birch Equipment Rental,Skagit Transit,,,,,,NO,NO,NO,YES,53057950100,9501,057,950100,Good
40X,1,40X_1,7,48.461857,-122.559408,3416,South March Point at Thompson,Skagit Transit,,,,,,NO,NO,NO,YES,53057950100,9501,057,950100,Good
