route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
100072,0,100072_0,24,47.2956009,-122.249031,57804,15th St SW & O St SW,Metro Transit,,,,,,NO,NO,NO,YES,53033030801,308.01,033,030801,Great
100072,0,100072_0,25,47.2955971,-122.244614,57806,15th St SW & Market St,Metro Transit,,,,,,NO,NO,NO,YES,53033030801,308.01,033,030801,Great
100072,0,100072_0,26,47.2958794,-122.234451,57810,15th St SW & C St SW,Metro Transit,,,,,,NO,NO,NO,YES,53033030801,308.01,033,030801,Great
100072,0,100072_0,27,47.3031158,-122.232407,81199,C St SW & Highway 18,Metro Transit,,,,,,YES,NO,NO,YES,53033030801,308.01,033,030801,Great
100072,0,100072_0,28,47.3041534,-122.229904,57795,S Division St & 3rd St SE,Metro Transit,,,,,,YES,NO,NO,YES,53033030501,305.01,033,030501,Great
100072,0,100072_0,29,47.3057899,-122.232079,57774,Auburn Transit Center - Bay 2,Metro Transit,,,,,,YES,YES,YES,YES,53033030501,305.01,033,030501,Great
100072,0,100072_0,30,47.3056068,-122.227104,81205,2nd St SE & B St SE,Metro Transit,,,,,,NO,NO,NO,YES,53033030600,306,033,030600,Great
100072,0,100072_0,31,47.3074913,-122.224617,59171,E Main St & D St SE,Metro Transit,,,,,,NO,NO,NO,YES,53033030600,306,033,030600,Great
100072,0,100072_0,32,47.3077164,-122.219292,59173,E Main St & H St SE,Metro Transit,,,,,,NO,NO,NO,YES,53033030600,306,033,030600,Great
100072,0,100072_0,33,47.3078537,-122.215942,59174,E Main St & K St SE,Metro Transit,,,,,,NO,NO,NO,YES,53033030600,306,033,030600,Great
100072,0,100072_0,34,47.308567,-122.213318,59175,M St NE & E Main St,Metro Transit,,,,,,NO,NO,NO,YES,53033030600,306,033,030600,Great
100072,0,100072_0,35,47.3114662,-122.213211,59200,M St NE & 4th St NE,Metro Transit,,,,,,NO,NO,NO,YES,53033030600,306,033,030600,Great
100072,0,100072_0,36,47.3137894,-122.213249,59210,M St NE & 6th St NE,Metro Transit,,,,,,NO,NO,NO,YES,53033030600,306,033,030600,Great
100072,0,100072_0,37,47.315197,-122.213249,80862,8th St NE & Harvey Rd NE,Metro Transit,,,,,,NO,NO,NO,YES,53033030600,306,033,030600,Great
100072,0,100072_0,38,47.3153534,-122.209999,59220,8th St NE & Henry Rd,Metro Transit,,,,,,NO,NO,NO,YES,53033030600,306,033,030600,Great
100072,0,100072_0,39,47.3154144,-122.203964,59240,SE 320th St & 104th Pl SE,Metro Transit,,,,,,NO,NO,NO,YES,53033031206,312.06,033,031206,Great
100072,0,100072_0,40,47.3204498,-122.200836,59284,Lea Hill Rd SE & 106th Pl SE,Metro Transit,,,,,,NO,NO,NO,YES,53033031208,312.08,033,031208,Great
100072,0,100072_0,41,47.3217659,-122.198715,59286,Lea Hill Rd SE & 107th Pl SE,Metro Transit,,,,,,NO,NO,NO,YES,53033031208,312.08,033,031208,Great
100072,0,100072_0,42,47.3223267,-122.192421,59250,112th Ave SE & Lea Hill Rd SE,Metro Transit,,,,,,NO,NO,NO,YES,53033031208,312.08,033,031208,Great
100072,0,100072_0,43,47.3195877,-122.192459,59252,112th Ave SE & SE 316th Pl,Metro Transit,,,,,,NO,NO,NO,YES,53033031208,312.08,033,031208,Great
100072,0,100072_0,44,47.3175964,-122.192474,59254,112th Ave SE & SE 316th Pl,Metro Transit,,,,,,NO,NO,NO,YES,53033031208,312.08,033,031208,Great
100072,0,100072_0,45,47.3154449,-122.192513,59260,112th Ave SE & SE 320th St,Metro Transit,,,,,,NO,NO,NO,YES,53033031208,312.08,033,031208,Great
100072,0,100072_0,46,47.3152618,-122.187241,59270,SE 320th St & 116th Ave SE,Metro Transit,,,,,,NO,NO,NO,YES,53033031206,312.06,033,031206,Great
100072,0,100072_0,47,47.315258,-122.184494,59272,SE 320th St & 118th Ave SE,Metro Transit,,,,,,YES,YES,NO,YES,53033031206,312.06,033,031206,Great
100072,0,100072_0,48,47.315258,-122.177872,59282,SE 320th St & 122nd Ave SE,Metro Transit,,,,,,YES,YES,YES,YES,53033031206,312.06,033,031206,Great
100072,1,100072_1,1,47.315258,-122.177872,59282,SE 320th St & 122nd Ave SE,Metro Transit,,,,,,YES,YES,YES,YES,53033031206,312.06,033,031206,Great
100072,1,100072_1,2,47.3189812,-122.176834,57534,SE 316th St & 124th Ave SE,Metro Transit,,,,,,YES,YES,NO,YES,53033031208,312.08,033,031208,Great
100072,1,100072_1,3,47.3190269,-122.185265,57535,SE 316th St & 117th Pl SE,Metro Transit,,,,,,YES,YES,NO,YES,53033031208,312.08,033,031208,Great
100072,1,100072_1,4,47.3156967,-122.187172,57536,116th Ave SE & SE 320th St,Metro Transit,,,,,,YES,YES,NO,YES,53033031208,312.08,033,031208,Great
100072,1,100072_1,5,47.3156395,-122.192299,59070,112th Ave SE & SE 320th St,Metro Transit,,,,,,NO,NO,NO,YES,53033031208,312.08,033,031208,Great
100072,1,100072_1,6,47.3175964,-122.192268,59094,112th Ave SE & SE 316th Pl,Metro Transit,,,,,,NO,NO,NO,YES,53033031208,312.08,033,031208,Great
