route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
532,0,532_0,7,47.615437,-122.194537,2860,Bellevue Transit Center Bay 8,Community Transit,,,,,,YES,YES,NO,NO,53033023807,238.07,033,023807,Great
532,0,532_0,8,47.617484,-122.196999,3339,NE 8th St & 108th Ave NE,Community Transit,,,,,,YES,YES,NO,NO,53033023805,238.05,033,023805,Great
532,0,532_0,9,47.617541,-122.204908,2858,NE 8th St & 102nd Ave NE,Community Transit,,,,,,YES,YES,NO,YES,53033023805,238.05,033,023805,Great
532,0,532_0,10,47.619172,-122.20488,2856,NE 10th St & 102nd Ave NE,Community Transit,,,,,,YES,YES,NO,YES,53033023805,238.05,033,023805,Great
532,1,532_1,1,47.619172,-122.20488,2856,NE 10th St & 102nd Ave NE,Community Transit,,,,,,YES,YES,NO,YES,53033023805,238.05,033,023805,Great
532,1,532_1,2,47.61919,-122.19681,2914,NE 10th St & 108th Ave NE,Community Transit,,,,,,YES,YES,NO,NO,53033023805,238.05,033,023805,Great
532,1,532_1,3,47.615535,-122.194839,355,Bellevue Transit Center Bay 4,Community Transit,,,,,,YES,YES,NO,NO,53033023807,238.07,033,023807,Great
535,0,535_0,10,47.615437,-122.194537,2860,Bellevue Transit Center Bay 8,Community Transit,,,,,,YES,YES,NO,NO,53033023807,238.07,033,023807,Great
535,0,535_0,11,47.617484,-122.196999,3339,NE 8th St & 108th Ave NE,Community Transit,,,,,,YES,YES,NO,NO,53033023805,238.05,033,023805,Great
535,0,535_0,12,47.617541,-122.204908,2858,NE 8th St & 102nd Ave NE,Community Transit,,,,,,YES,YES,NO,YES,53033023805,238.05,033,023805,Great
535,0,535_0,13,47.619172,-122.20488,2856,NE 10th St & 102nd Ave NE,Community Transit,,,,,,YES,YES,NO,YES,53033023805,238.05,033,023805,Great
535,1,535_1,1,47.619172,-122.20488,2856,NE 10th St & 102nd Ave NE,Community Transit,,,,,,YES,YES,NO,YES,53033023805,238.05,033,023805,Great
535,1,535_1,2,47.61919,-122.19681,2914,NE 10th St & 108th Ave NE,Community Transit,,,,,,YES,YES,NO,NO,53033023805,238.05,033,023805,Great
535,1,535_1,3,47.615535,-122.194839,355,Bellevue Transit Center Bay 4,Community Transit,,,,,,YES,YES,NO,NO,53033023807,238.07,033,023807,Great
100011,0,100011_0,6,47.5573349,-122.190712,84280,I-405 & Lake Washington Blvd SE,Metro Transit,,,,,,NO,NO,NO,NO,53033023902,239.02,033,023902,Good
100011,1,100011_1,63,47.5571404,-122.189278,82780,I-405 & Lake Washington Blvd SE,Metro Transit,,,,,,NO,NO,NO,NO,53033024701,247.01,033,024701,Good
100104,0,100104_0,7,47.5795174,-122.166557,79862,SE 36th St & 131st Ave SE,Metro Transit,,,,,,NO,NO,NO,YES,53033024800,248,033,024800,Great
100104,0,100104_0,8,47.5795174,-122.164169,79864,SE 36th St & 132nd Ave SE,Metro Transit,,,,,,NO,NO,NO,YES,53033024800,248,033,024800,Great
100104,0,100104_0,9,47.5793686,-122.159866,79872,SE 36th St & 132nd Ave SE,Metro Transit,,,,,,NO,NO,NO,YES,53033024800,248,033,024800,Great
100104,0,100104_0,10,47.5791359,-122.155251,79874,SE 36th St & 136th Pl SE,Metro Transit,,,,,,NO,NO,NO,YES,53033024800,248,033,024800,Great
100104,0,100104_0,11,47.5788269,-122.15097,67023,142nd Pl SE & SE 36th St,Metro Transit,,,,,,NO,NO,NO,YES,53033024800,248,033,024800,Great
100104,0,100104_0,12,47.581852,-122.150948,79878,142nd Pl SE & SE 32nd St,Metro Transit,,,,,,YES,YES,NO,YES,53033023401,234.01,033,023401,Great
100104,0,100104_0,13,47.5805054,-122.152008,67015,Eastgate Park & Ride Acs & 140th Ave SE - Bay 2,Metro Transit,,,,,,YES,YES,NO,YES,53033023401,234.01,033,023401,Great
100104,1,100104_1,1,47.5805092,-122.152657,67014,Eastgate Park & Ride - Bay 1,Metro Transit,,,,,,YES,YES,NO,YES,53033023401,234.01,033,023401,Good
100104,1,100104_1,2,47.5818939,-122.151154,67022,142nd Pl SE & SE 32nd St,Metro Transit,,,,,,YES,NO,NO,YES,53033023401,234.01,033,023401,Good
100104,1,100104_1,3,47.5787086,-122.151176,67021,142nd Pl SE & SE 36th St,Metro Transit,,,,,,NO,NO,NO,YES,53033024800,248,033,024800,Good
100104,1,100104_1,4,47.5792732,-122.155205,67026,SE 36th St & 136th Pl SE,Metro Transit,,,,,,NO,NO,NO,YES,53033024800,248,033,024800,Good
