route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
42954,0,42954_0,4,48.720263,-122.511255,BEL,Bellingham Amtrak Station,Amtrak,,,,,,NO,NO,NO,NO,53073001101,11.01,073,001101,Ok
42954,1,42954_1,1,48.720263,-122.511255,BEL,Bellingham Amtrak Station,Amtrak,,,,,,NO,NO,NO,NO,53073001101,11.01,073,001101,Ok
60,0,60_0,12,48.720263,-122.511255,BEL,Bellingham Amtrak Station,Amtrak,,,,,,NO,NO,NO,NO,53073001101,11.01,073,001101,Acceptable
80X,0,80X_0,1,48.750672,-122.475101,7002,Bellingham Transit Station,Skagit Transit,,,,,,NO,NO,NO,YES,53073000600,6,073,000600,Good
80X,0,80X_0,2,48.7345712622745,-122.466171977888,7001,Lincoln Creek Park & Ride,Skagit Transit,,,,,,NO,NO,NO,YES,53073000902,9.02,073,000902,Good
80X,1,80X_1,4,48.7345712622745,-122.466171977888,7001,Lincoln Creek Park & Ride,Skagit Transit,,,,,,NO,NO,NO,YES,53073000902,9.02,073,000902,Good
80X,1,80X_1,5,48.750672,-122.475101,7002,Bellingham Transit Station,Skagit Transit,,,,,,NO,NO,NO,YES,53073000600,6,073,000600,Good
1,0,1_0,1,48.75039,-122.475612,1,Bellingham Station,Whatcom Transportation Authority,1,Fairhaven&Downtown,3,e5bfa1,000000,YES,YES,NO,YES,53073000600,6,073,000600,Good
1,0,1_0,2,48.746983,-122.47945,695,State St at Chestnut St,Whatcom Transportation Authority,1,Fairhaven&Downtown,3,e5bfa1,000000,YES,YES,NO,YES,53073000600,6,073,000600,Good
1,0,1_0,3,48.744464,-122.483198,1066,State St at Rose St,Whatcom Transportation Authority,1,Fairhaven&Downtown,3,e5bfa1,000000,YES,YES,NO,YES,53073000600,6,073,000600,Good
1,0,1_0,4,48.743265,-122.485715,698,Boulevard at Wharf St,Whatcom Transportation Authority,1,Fairhaven&Downtown,3,e5bfa1,000000,YES,YES,NO,YES,53073001102,11.02,073,001102,Good
1,0,1_0,5,48.741341,-122.48956,699,Boulevard at 500 Block,Whatcom Transportation Authority,1,Fairhaven&Downtown,3,e5bfa1,000000,YES,YES,NO,YES,53073001102,11.02,073,001102,Good
1,0,1_0,6,48.735007,-122.497068,692,State St at 200 Block,Whatcom Transportation Authority,1,Fairhaven&Downtown,3,e5bfa1,000000,YES,YES,NO,YES,53073001102,11.02,073,001102,Good
1,0,1_0,7,48.732132,-122.49981,690,State St at 14th St,Whatcom Transportation Authority,1,Fairhaven&Downtown,3,e5bfa1,000000,YES,YES,NO,YES,53073001102,11.02,073,001102,Good
1,0,1_0,8,48.728956,-122.503394,686,State St at 12th St,Whatcom Transportation Authority,1,Fairhaven&Downtown,3,e5bfa1,000000,YES,YES,NO,YES,53073001102,11.02,073,001102,Good
1,0,1_0,9,48.726221,-122.503915,682,11th St at Bennett Ave,Whatcom Transportation Authority,1,Fairhaven&Downtown,3,e5bfa1,000000,YES,YES,NO,YES,53073001102,11.02,073,001102,Good
1,0,1_0,10,48.720658,-122.50235,677,12th St at Mill Ave,Whatcom Transportation Authority,1,Fairhaven&Downtown,3,e5bfa1,000000,YES,YES,NO,YES,53073001101,11.01,073,001101,Good
1,0,1_0,11,48.719096,-122.502352,101,12th St at McKenzie Ave,Whatcom Transportation Authority,1,Fairhaven&Downtown,3,e5bfa1,000000,YES,YES,NO,YES,53073001101,11.01,073,001101,Good
1,0,1_0,12,48.720227,-122.505495,656,Harris Ave at 9th St,Whatcom Transportation Authority,1,Fairhaven&Downtown,3,e5bfa1,000000,YES,YES,NO,YES,53073001101,11.01,073,001101,Good
1,0,1_0,13,48.720356,-122.51069,92,Fairhaven Transportation Center,Whatcom Transportation Authority,1,Fairhaven&Downtown,3,e5bfa1,000000,YES,YES,NO,YES,53073001101,11.01,073,001101,Good
1,1,1_1,1,48.720356,-122.51069,92,Fairhaven Transportation Center,Whatcom Transportation Authority,1,Fairhaven&Downtown,3,e5bfa1,000000,YES,YES,NO,YES,53073001101,11.01,073,001101,Good
1,1,1_1,2,48.720058,-122.505316,657,Harris Ave at 9th St,Whatcom Transportation Authority,1,Fairhaven&Downtown,3,e5bfa1,000000,YES,YES,NO,YES,53073001101,11.01,073,001101,Good
1,1,1_1,3,48.71911,-122.502077,16,12th St at McKenzie Ave,Whatcom Transportation Authority,1,Fairhaven&Downtown,3,e5bfa1,000000,YES,YES,NO,YES,53073001203,12.03,073,001203,Good
1,1,1_1,4,48.721148,-122.502217,676,12th St at Mill Ave,Whatcom Transportation Authority,1,Fairhaven&Downtown,3,e5bfa1,000000,YES,YES,NO,YES,53073001101,11.01,073,001101,Good
1,1,1_1,5,48.725727,-122.50368,681,11th St at Taylor Ave,Whatcom Transportation Authority,1,Fairhaven&Downtown,3,e5bfa1,000000,YES,YES,NO,YES,53073001102,11.02,073,001102,Good
1,1,1_1,6,48.729219,-122.502773,685,State St at 12th St,Whatcom Transportation Authority,1,Fairhaven&Downtown,3,e5bfa1,000000,YES,YES,NO,YES,53073001102,11.02,073,001102,Good
1,1,1_1,7,48.73199,-122.499618,689,State St at 14th St,Whatcom Transportation Authority,1,Fairhaven&Downtown,3,e5bfa1,000000,YES,YES,NO,YES,53073001102,11.02,073,001102,Good
1,1,1_1,8,48.734287,-122.49736,691,State St at 200 Block,Whatcom Transportation Authority,1,Fairhaven&Downtown,3,e5bfa1,000000,YES,YES,NO,YES,53073001102,11.02,073,001102,Good
1,1,1_1,9,48.738167,-122.49211,702,State St at South Hill Apartments,Whatcom Transportation Authority,1,Fairhaven&Downtown,3,e5bfa1,000000,YES,YES,NO,YES,53073001102,11.02,073,001102,Good
1,1,1_1,10,48.740402,-122.48884,102,State St at Cedar St,Whatcom Transportation Authority,1,Fairhaven&Downtown,3,e5bfa1,000000,YES,YES,NO,YES,53073001000,10,073,001000,Good
