route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
36924,0,36924_0,3,46.71747,-122.953062,CTL,Centralia Amtrak Station,Amtrak,,,,,,NO,NO,NO,YES,53041970400,9704,041,970400,Ok
36924,1,36924_1,4,46.71747,-122.953062,CTL,Centralia Amtrak Station,Amtrak,,,,,,NO,NO,NO,YES,53041970400,9704,041,970400,Ok
60,0,60_0,3,46.71747,-122.953062,CTL,Centralia Amtrak Station,Amtrak,,,,,,NO,NO,NO,YES,53041970400,9704,041,970400,Acceptable
60,1,60_1,5,46.71747,-122.953062,CTL,Centralia Amtrak Station,Amtrak,,,,,,NO,NO,NO,YES,53041970400,9704,041,970400,Ok
45,0,45_0,11,46.71725765,-122.95315325,45145,Centralia - Amtrak,Grays Harbor Transit,,,,,,NO,NO,NO,NO,53041970400,9704,041,970400,Poor
45,1,45_1,1,46.71725765,-122.95315325,45145,Centralia - Amtrak,Grays Harbor Transit,,,,,,NO,NO,NO,NO,53041970400,9704,041,970400,Poor
19721,0,19721_0,12,46.7111666641017,-122.97363993097,2754956,Centralia Greyhound Station,L.E.W.I.S. Mountain Highway Transit,,,,,,NO,NO,NO,NO,53041970600,9706,041,970600,Poor
19721,0,19721_0,13,46.7161066181229,-122.959171950413,2754957,Centralia Community College,L.E.W.I.S. Mountain Highway Transit,,,,,,NO,NO,NO,NO,53041970700,9707,041,970700,Poor
19721,0,19721_0,14,46.7171997017871,-122.953190604643,2754958,Centralia Amtrak,L.E.W.I.S. Mountain Highway Transit,,,,,,NO,NO,NO,NO,53041970400,9704,041,970400,Poor
19721,0,19721_0,15,46.6943954290554,-122.95710577015,2754959,Chehalis Valley View Center,L.E.W.I.S. Mountain Highway Transit,,,,,,NO,NO,NO,NO,53041970700,9707,041,970700,Poor
19721,0,19721_0,16,46.687518805404,-122.958793516471,2754960,Chehalis Lewis County Mall,L.E.W.I.S. Mountain Highway Transit,,,,,,NO,NO,NO,NO,53041970800,9708,041,970800,Poor
19721,0,19721_0,17,46.6831074321956,-122.960812076759,2754961,Chehalis Yardbirds,L.E.W.I.S. Mountain Highway Transit,,,,,,NO,NO,NO,NO,53041970800,9708,041,970800,Poor
19721,0,19721_0,18,46.6778334303547,-122.979824299701,2754962,Chehalis Wal-Mart,L.E.W.I.S. Mountain Highway Transit,,,,,,NO,NO,NO,NO,53041970800,9708,041,970800,Poor
19721,1,19721_1,1,46.6778334303547,-122.979824299701,2754962,Chehalis Wal-Mart,L.E.W.I.S. Mountain Highway Transit,,,,,,NO,NO,NO,NO,53041970800,9708,041,970800,Poor
19721,1,19721_1,2,46.6614596669914,-122.968489941139,2754963,Chehalis Court House,L.E.W.I.S. Mountain Highway Transit,,,,,,NO,NO,NO,NO,53041970800,9708,041,970800,Poor
19721,1,19721_1,3,46.6487262968036,-122.956824721968,2754964,Chehalis Juvenile Justice Center,L.E.W.I.S. Mountain Highway Transit,,,,,,NO,NO,NO,NO,53041970900,9709,041,970900,Poor
32876,0,32876_0,1,46.710771,-122.976389,3460598,Mellen Street e-Transit Station - 1401 Mellen St.,Twin Transit (now called Lewis County Transit),,,,,,YES,YES,NO,YES,53041970200,9702,041,970200,Good
32876,0,32876_0,2,46.709888743,-122.97137475,4251924,Alder St & Yew St Winco EB,Twin Transit (now called Lewis County Transit),,,,,,NO,NO,NO,YES,53041970700,9707,041,970700,Good
32876,0,32876_0,3,46.712034,-122.955861,3460575,S Tower Ave. & W Cherry St.,Twin Transit (now called Lewis County Transit),,,,,,NO,NO,NO,YES,53041970700,9707,041,970700,Good
32876,0,32876_0,4,46.718765,-122.952691,3460628,Amtrak - 327 Railroad Ave.,Twin Transit (now called Lewis County Transit),,,,,,NO,NO,NO,YES,53041970400,9704,041,970400,Good
32876,0,32876_0,5,46.71770637808234,-122.95510912679852,4223966,Centralia Bible Study - 209 N Pearl St.,Twin Transit (now called Lewis County Transit),,,,,,NO,NO,NO,YES,53041970600,9706,041,970600,Good
32876,0,32876_0,6,46.71512949535716,-122.95615713237706,3460626,Berry Fields,Twin Transit (now called Lewis County Transit),,,,,,NO,NO,NO,YES,53041970700,9707,041,970700,Good
