route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
32514,0,32514_0,1,46.419092910564075,-117.04413465427888,3450298,DSHS Red Line Shelter,Asotin County PTBA,,,,,,YES,YES,NO,YES,53003960300,9603,003,960300,Good
32514,0,32514_0,2,46.42100123800884,-117.04409915955824,3450300,Albertsons,Asotin County PTBA,,,,,,NO,NO,NO,NO,53003960300,9603,003,960300,Good
32514,0,32514_0,3,46.421800680717666,-117.04795939786766,3451427,Walmart Red Line Shelter,Asotin County PTBA,,,,,,NO,NO,NO,YES,53003960300,9603,003,960300,Good
32514,0,32514_0,4,46.42178289099124,-117.0531756800681,3450327,Asotin Co Housing Authority,Asotin County PTBA,,,,,,NO,NO,NO,NO,53003960300,9603,003,960300,Good
32514,0,32514_0,5,46.42122939463133,-117.06394300872401,3450330,Fair Street Apartments,Asotin County PTBA,,,,,,NO,NO,NO,NO,53003960300,9603,003,960300,Good
32514,0,32514_0,6,46.419979562752644,-117.06772717063949,3450332,Walla Walla CC,Asotin County PTBA,,,,,,NO,NO,NO,NO,53003960300,9603,003,960300,Good
32514,0,32514_0,18,46.403570278400394,-117.05812417884714,3450339,Highland Grocery,Asotin County PTBA,,,,,,NO,NO,NO,NO,53003960500,9605,003,960500,Good
32514,0,32514_0,19,46.403561006765266,-117.05469681074844,3450044,Tri - State Memorial Hospital,Asotin County PTBA,,,,,,NO,NO,NO,YES,53003960500,9605,003,960500,Good
32514,0,32514_0,20,46.40989422014227,-117.0455503463745,3450040,Clarkston High School,Asotin County PTBA,,,,,,NO,NO,NO,NO,53003960500,9605,003,960500,Good
32514,0,32514_0,21,46.41255,-117.04398,3450039,Asotin County Library,Asotin County PTBA,,,,,,NO,NO,NO,YES,53003960500,9605,003,960500,Good
32514,0,32514_0,22,46.419092910564075,-117.04413465427888,3450298,DSHS Red Line Shelter,Asotin County PTBA,,,,,,YES,YES,NO,YES,53003960300,9603,003,960300,Good
