route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
32474,0,32474_0,51,48.20751405504302,-122.68558895097068,3449499,Terry Rd at Main St (Coupeville High School WB),Island Transit,,,,,,NO,NO,NO,YES,53029971100,9711,029,971100,Great
32474,0,32474_0,52,48.2099356,-122.6859858,3449581,Coupeville Park & Ride,Island Transit,,,,,,YES,YES,NO,YES,53029971100,9711,029,971100,Great
32474,0,32474_0,53,48.213546,-122.686038,3449498,Main St at Whidbey Health Medical Center (NB),Island Transit,,,,,,YES,NO,NO,YES,53029971000,9710,029,971000,Great
32474,0,32474_0,54,48.216858,-122.686031,3449580,Main St at Courthouse (NB),Island Transit,,,,,,YES,NO,NO,YES,53029971000,9710,029,971000,Great
32474,0,32474_0,55,48.2205271,-122.6886298,3449579,Coveland St at Alexander St (NB),Island Transit,,,,,,NO,NO,NO,YES,53029971000,9710,029,971000,Great
32474,0,32474_0,56,48.21929109298824,-122.69314058959733,3449511,Broadway at Madrona,Island Transit,,,,,,NO,NO,NO,YES,53029971000,9710,029,971000,Great
32474,1,32474_1,16,48.219285,-122.693002,3449747,Broadway at Madrona Way,Island Transit,,,,,,NO,NO,NO,YES,53029971000,9710,029,971000,Great
32474,1,32474_1,17,48.220393,-122.688644,3449585,Coveland St at Alexander St (SB),Island Transit,,,,,,NO,NO,NO,YES,53029971000,9710,029,971000,Great
32474,1,32474_1,18,48.2166679,-122.686299,3449690,Main St at Courthouse (SB),Island Transit,,,,,,NO,NO,NO,YES,53029971000,9710,029,971000,Great
32474,1,32474_1,19,48.21344,-122.686232,3449584,Main St at Whidbey Health Medical Center (SB),Island Transit,,,,,,NO,NO,NO,YES,53029971000,9710,029,971000,Great
32474,1,32474_1,20,48.2109506,-122.6862966,3449689,Main St at Coupeville Elementary School,Island Transit,,,,,,YES,NO,YES,YES,53029971100,9711,029,971100,Great
32474,1,32474_1,21,48.207422,-122.685271,3449749,Terry Rd at Main St (Coupeville High School EB),Island Transit,,,,,,NO,NO,YES,YES,53029971100,9711,029,971100,Great
32482,0,32482_0,2,48.2099356,-122.6859858,3449581,Coupeville Park & Ride,Island Transit,,,,,,YES,YES,NO,YES,53029971100,9711,029,971100,Great
32482,0,32482_0,3,48.213546,-122.686038,3449498,Main St at Whidbey Health Medical Center (NB),Island Transit,,,,,,YES,NO,NO,YES,53029971000,9710,029,971000,Great
32482,0,32482_0,4,48.216858,-122.686031,3449580,Main St at Courthouse (NB),Island Transit,,,,,,YES,NO,NO,YES,53029971000,9710,029,971000,Great
32482,0,32482_0,5,48.21942693018131,-122.68810912964132,3450319,Coupeville Library,Island Transit,,,,,,NO,NO,NO,NO,53029971000,9710,029,971000,Great
32482,0,32482_0,6,48.21867726475713,-122.69690247603094,3449510,Madrona at Vine,Island Transit,,,,,,NO,NO,NO,NO,53029971000,9710,029,971000,Great
32482,1,32482_1,19,48.219285,-122.693002,3449747,Broadway at Madrona Way,Island Transit,,,,,,NO,NO,NO,YES,53029971000,9710,029,971000,Great
32482,1,32482_1,20,48.220393,-122.688644,3449585,Coveland St at Alexander St (SB),Island Transit,,,,,,NO,NO,NO,YES,53029971000,9710,029,971000,Great
32482,1,32482_1,21,48.21943189026581,-122.68825925042728,3449586,Coupeville Library,Island Transit,,,,,,NO,NO,NO,NO,53029971000,9710,029,971000,Great
32482,1,32482_1,22,48.2166679,-122.686299,3449690,Main St at Courthouse (SB),Island Transit,,,,,,NO,NO,NO,YES,53029971000,9710,029,971000,Great
32482,1,32482_1,23,48.21344,-122.686232,3449584,Main St at Whidbey Health Medical Center (SB),Island Transit,,,,,,NO,NO,NO,YES,53029971000,9710,029,971000,Great
32482,1,32482_1,24,48.2109506,-122.6862966,3449689,Main St at Coupeville Elementary School,Island Transit,,,,,,YES,NO,YES,YES,53029971100,9711,029,971100,Great
32482,1,32482_1,25,48.20678596426208,-122.6854386901615,3449388,Main St at Coupeville High School,Island Transit,,,,,,NO,NO,NO,NO,53029971100,9711,029,971100,Great
