route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
102558,0,102558_0,36,47.7423325,-121.98597,75983,Sr 203 & Stewart St,Metro Transit,,,,,,NO,NO,NO,NO,53033032401,324.01,033,032401,Great
102558,0,102558_0,37,47.739212,-121.985886,68803,Brown Ave NE & NE Richardson St,Metro Transit,,,,,,YES,YES,NO,YES,53033032401,324.01,033,032401,Great
102558,1,102558_1,1,47.739212,-121.985886,68803,Brown Ave NE & NE Richardson St,Metro Transit,,,,,,YES,YES,NO,YES,53033032401,324.01,033,032401,Great
102558,1,102558_1,2,47.7422981,-121.985779,75982,Sr 203 & Stewart St,Metro Transit,,,,,,NO,NO,NO,NO,53033032401,324.01,033,032401,Great
102653,0,102653_0,21,47.7423325,-121.98597,75983,Sr 203 & Stewart St,Metro Transit,,,,,,NO,NO,NO,NO,53033032401,324.01,033,032401,Good
102653,0,102653_0,22,47.7333412,-121.987419,75975,Sr 203 & NE 145th St,Metro Transit,,,,,,NO,NO,NO,YES,53033032401,324.01,033,032401,Good
102653,0,102653_0,23,47.727623,-121.985138,64383,NE Big Rock Rd & Carnation Duvall Rd NE,Metro Transit,,,,,,NO,NO,NO,YES,53033032402,324.02,033,032402,Good
102653,1,102653_1,1,47.728714,-121.987022,75966,Carnation Duvall Rd NE & NE Big Rock Rd,Metro Transit,,,,,,NO,NO,NO,NO,53033032402,324.02,033,032402,Good
102653,1,102653_1,2,47.7328262,-121.987282,75972,Sr 203 & NE 145th St,Metro Transit,,,,,,NO,NO,NO,YES,53033032402,324.02,033,032402,Good
102653,1,102653_1,3,47.7422981,-121.985779,75982,Sr 203 & Stewart St,Metro Transit,,,,,,NO,NO,NO,NO,53033032401,324.01,033,032401,Good
102698,0,102698_0,1,47.739212,-121.985886,68803,Brown Ave NE & NE Richardson St,Metro Transit,,,,,,YES,YES,NO,YES,53033032401,324.01,033,032401,Good
102698,0,102698_0,8,47.739212,-121.985886,68803,Brown Ave NE & NE Richardson St,Metro Transit,,,,,,YES,YES,NO,YES,53033032401,324.01,033,032401,Good
102699,0,102699_0,1,47.739212,-121.985886,68803,Brown Ave NE & NE Richardson St,Metro Transit,,,,,,YES,YES,NO,YES,53033032401,324.01,033,032401,Good
102699,0,102699_0,2,47.7333412,-121.987419,75975,Sr 203 & NE 145th St,Metro Transit,,,,,,NO,NO,NO,YES,53033032401,324.01,033,032401,Good
102699,0,102699_0,3,47.727623,-121.985138,64383,NE Big Rock Rd & Carnation Duvall Rd NE,Metro Transit,,,,,,NO,NO,NO,YES,53033032402,324.02,033,032402,Good
102699,0,102699_0,4,47.724472,-121.965263,64384,NE Big Rock Rd & 279th Ln NE,Metro Transit,,,,,,NO,NO,NO,YES,53033032402,324.02,033,032402,Good
102699,1,102699_1,9,47.7246094,-121.965424,64386,NE Big Rock Rd & 279th Ln NE,Metro Transit,,,,,,NO,NO,NO,YES,53033032402,324.02,033,032402,Good
102699,1,102699_1,10,47.7277679,-121.985138,64387,NE Big Rock Rd & Carnation Duvall Rd NE,Metro Transit,,,,,,NO,NO,NO,YES,53033032402,324.02,033,032402,Good
102699,1,102699_1,11,47.7328262,-121.987282,75972,Sr 203 & NE 145th St,Metro Transit,,,,,,NO,NO,NO,YES,53033032402,324.02,033,032402,Good
102699,1,102699_1,12,47.739212,-121.985886,68803,Brown Ave NE & NE Richardson St,Metro Transit,,,,,,YES,YES,NO,YES,53033032401,324.01,033,032401,Good
19713,0,19713_0,1,47.7392671159792,-121.9858265502336,2754861,Brown Ave NE & NE Richardson St,Snoqualmie Valley Transportation,,,,,,NO,NO,NO,NO,53033032401,324.01,033,032401,Poor
19713,1,19713_1,4,47.7392671159792,-121.9858265502336,2754861,Brown Ave NE & NE Richardson St,Snoqualmie Valley Transportation,,,,,,NO,NO,NO,NO,53033032401,324.01,033,032401,Poor
