route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
67972,0,67972_0,1,47.3208865,-119.5494283,3879589,Ephrata Transit Center (ETC),Grant Transit Authority,,,,,,YES,YES,NO,NO,53025010401,104.01,025,010401,Acceptable
67972,0,67972_0,2,47.3214122,-119.5536669,3879590,GC Courthouse on Division St W,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010401,104.01,025,010401,Acceptable
67972,0,67972_0,3,47.31999042,-119.5540341,3879591,Basin Retirement Home on C st SW,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010401,104.01,025,010401,Acceptable
67972,0,67972_0,4,47.3160492,-119.5551485,3879592,Banner Bank on Basin St SW,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010401,104.01,025,010401,Acceptable
67972,0,67972_0,5,47.3134609,-119.5570384,3879593,AutoZone Auto Parts on Basin St SW,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010401,104.01,025,010401,Acceptable
67972,0,67972_0,6,47.3103771,-119.5592821,3879594,Pizza Hut on Basin St SW,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010401,104.01,025,010401,Acceptable
67972,1,67972_1,4,47.3102425,-119.5589928,3879585,Safeway on Basin St SW,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010401,104.01,025,010401,Acceptable
67972,1,67972_1,5,47.3136957,-119.5565369,3879586,O'Reilly Auto Parts on Basin St SW,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010401,104.01,025,010401,Acceptable
67972,1,67972_1,6,47.3180333,-119.5534161,3879587,Rite Aid on Basin St SW,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010401,104.01,025,010401,Acceptable
67972,1,67972_1,7,47.3213087,-119.5538996,3879588,Grant County (GC) Courthouse on Division St W,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010401,104.01,025,010401,Acceptable
67972,1,67972_1,8,47.3208865,-119.5494283,3879589,Ephrata Transit Center (ETC),Grant Transit Authority,,,,,,YES,YES,NO,NO,53025010401,104.01,025,010401,Acceptable
67973,0,67973_0,1,47.303643,-119.539766,3879596,Walmart on Nat Washington Way,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010402,104.02,025,010402,Acceptable
67973,0,67973_0,2,47.3097233,-119.5412821,3879597,St. Rose of Lima Catholic School on Nat Washington Way,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010402,104.02,025,010402,Acceptable
67973,0,67973_0,3,47.3141151,-119.5441189,3879598,Columbia Basin Hospital on Nat Washington Way,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010402,104.02,025,010402,Acceptable
67973,0,67973_0,4,47.31629737551697,-119.54941127726424,3879599,Grant County P.U.D. Service Center on Nat Washington Way,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010402,104.02,025,010402,Acceptable
67973,0,67973_0,5,47.3107569,-119.5550747,3879600,Food Bank on A St SE,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010402,104.02,025,010402,Acceptable
67973,0,67973_0,6,47.3102425,-119.5589928,3879585,Safeway on Basin St SW,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010401,104.01,025,010401,Acceptable
67973,0,67973_0,7,47.3136957,-119.5565369,3879586,O'Reilly Auto Parts on Basin St SW,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010401,104.01,025,010401,Acceptable
67973,0,67973_0,8,47.3180333,-119.5534161,3879587,Rite Aid on Basin St SW,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010401,104.01,025,010401,Acceptable
67973,0,67973_0,9,47.3213087,-119.5538996,3879588,Grant County (GC) Courthouse on Division St W,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010401,104.01,025,010401,Acceptable
67973,0,67973_0,10,47.3208865,-119.5494283,3879589,Ephrata Transit Center (ETC),Grant Transit Authority,,,,,,YES,YES,NO,NO,53025010401,104.01,025,010401,Acceptable
67973,1,67973_1,1,47.3208865,-119.5494283,3879589,Ephrata Transit Center (ETC),Grant Transit Authority,,,,,,YES,YES,NO,NO,53025010401,104.01,025,010401,Acceptable
67973,1,67973_1,2,47.3213087,-119.5538996,3879588,Grant County (GC) Courthouse on Division St W,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010401,104.01,025,010401,Acceptable
67973,1,67973_1,3,47.31999042,-119.5540341,3879591,Basin Retirement Home on C st SW,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010401,104.01,025,010401,Acceptable
67973,1,67973_1,4,47.317198885663,-119.552812427531,4147698,Confluence Health on 3rd Ave SW,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010401,104.01,025,010401,Acceptable
67973,1,67973_1,5,47.318756723946,-119.543771365275,4147699,Mi Cochinita & Groceries on Division St E,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010402,104.02,025,010402,Acceptable
67973,1,67973_1,6,47.3187682,-119.538558,4147700,Columbia Ridge Elementary School on Division St E,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010402,104.02,025,010402,Acceptable
67973,1,67973_1,7,47.31463058173307,-119.52884367672095,4147701,Grant County Public Works on Enterprise St,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010402,104.02,025,010402,Acceptable
67973,1,67973_1,8,47.31077646702079,-119.5417470736694,4254391,5th Ave. SE & Nat. Washington Way,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010402,104.02,025,010402,Acceptable
67973,1,67973_1,9,47.3093723,-119.5413686,4147703,Nat Washington Way / 6th Ave SE,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010402,104.02,025,010402,Acceptable
