route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
42954,0,42954_0,2,47.975401,-122.197858,EVR,Everett Amtrak Station,Amtrak,,,,,,NO,NO,NO,NO,53061040700,407,061,040700,Ok
42954,1,42954_1,3,47.975401,-122.197858,EVR,Everett Amtrak Station,Amtrak,,,,,,NO,NO,NO,NO,53061040700,407,061,040700,Ok
60,0,60_0,9,47.975401,-122.197858,EVR,Everett Amtrak Station,Amtrak,,,,,,NO,NO,NO,NO,53061040700,407,061,040700,Acceptable
103,0,103_0,1,47.934109,-122.250734,3136,Hardeson Rd & Shuksan Way,Community Transit,,,,,,YES,NO,YES,YES,53061041303,413.03,061,041303,Great
103,0,103_0,2,47.932126,-122.249753,3146,Hardeson Rd & 72nd St SW,Community Transit,,,,,,YES,NO,YES,YES,53061041303,413.03,061,041303,Great
103,0,103_0,3,47.929961,-122.24791,3141,Hardeson Rd & 75th St SW,Community Transit,,,,,,YES,NO,YES,YES,53061041303,413.03,061,041303,Great
103,0,103_0,4,47.929777,-122.255388,3143,75th St SW & 16th Ave W,Community Transit,,,,,,YES,NO,YES,YES,53061041304,413.04,061,041304,Great
103,0,103_0,5,47.930723,-122.260047,3185,Seaway Transit Center Bay 1,Community Transit,,,,,,YES,NO,YES,YES,53061041304,413.04,061,041304,Great
103,1,103_1,51,47.930727,-122.25987,3138,Seaway Transit Center Bay 12,Community Transit,,,,,,YES,YES,NO,YES,53061041304,413.04,061,041304,Good
103,1,103_1,52,47.929623,-122.254615,3139,75th St SW & 16th Ave W,Community Transit,,,,,,YES,YES,NO,YES,53061041304,413.04,061,041304,Good
103,1,103_1,53,47.931581,-122.249094,3147,Hardeson Rd & 75th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061041303,413.03,061,041303,Good
103,1,103_1,54,47.934284,-122.250579,3135,Hardeson Rd & Shuksan Way,Community Transit,,,,,,YES,YES,NO,YES,53061041303,413.03,061,041303,Good
201,0,201_0,24,48.006209,-122.197117,1328,N Broadway & Tower St,Community Transit,,,,,,YES,YES,NO,YES,53061040100,401,061,040100,Great
201,0,201_0,25,47.998665,-122.201231,1318,Broadway & 14th St,Community Transit,,,,,,YES,YES,NO,YES,53061040300,403,061,040300,Great
201,0,201_0,26,47.977597,-122.20168,2886,Broadway & Wall St,Community Transit,,,,,,YES,YES,NO,YES,53061040700,407,061,040700,Great
201,0,201_0,27,47.974367,-122.197284,2343,Everett Station Bay B3,Community Transit,,,,,,YES,YES,NO,YES,53061040700,407,061,040700,Great
201,0,201_0,28,47.972819,-122.201491,2367,Broadway & 34th St,Community Transit,,,,,,YES,YES,YES,YES,53061040700,407,061,040700,Great
201,0,201_0,29,47.967161,-122.20123,2366,Broadway & 38th St,Community Transit,,,,,,YES,YES,NO,YES,53061041000,410,061,041000,Great
201,1,201_1,10,47.96775,-122.200969,2364,Broadway & 38th St,Community Transit,,,,,,YES,YES,NO,YES,53061041000,410,061,041000,Great
201,1,201_1,11,47.973869,-122.201228,3219,Broadway & 33rd St,Community Transit,,,,,,YES,YES,NO,YES,53061040700,407,061,040700,Great
201,1,201_1,12,47.974442,-122.197073,2768,Everett Station Bay A4,Community Transit,,,,,,YES,YES,NO,YES,53061040700,407,061,040700,Great
201,1,201_1,13,47.977136,-122.20137,2887,Broadway & Pacific Ave,Community Transit,,,,,,YES,YES,NO,YES,53061040700,407,061,040700,Great
201,1,201_1,14,47.999229,-122.200925,3218,Broadway & 14th St,Community Transit,,,,,,YES,YES,NO,YES,53061040200,402,061,040200,Great
201,1,201_1,15,48.006063,-122.196786,836,N Broadway & Tower St,Community Transit,,,,,,YES,YES,NO,YES,53061040200,402,061,040200,Great
