route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
500,0,500_0,17,47.243011,-122.346626,1773,Pacific Hwy E & 62nd Ave E,Pierce Transit,,,,,,NO,NO,NO,YES,53053940002,9400.02,053,940002,Good
500,0,500_0,18,47.243074,-122.3504,1756,Pacific Hwy E & 59th Ave E,Pierce Transit,,,,,,NO,NO,NO,YES,53053940002,9400.02,053,940002,Good
500,0,500_0,19,47.24308,-122.355758,1755,Pacific Hwy E & 54th Ave E,Pierce Transit,,,,,,NO,NO,NO,YES,53053940002,9400.02,053,940002,Good
500,0,500_0,20,47.243137,-122.359951,1753,Pacific Hwy E & 52nd Ave E,Pierce Transit,,,,,,NO,NO,NO,YES,53053940002,9400.02,053,940002,Good
500,0,500_0,21,47.243151,-122.365243,1768,Pacific Hwy E & Willow Rd E,Pierce Transit,,,,,,NO,NO,NO,YES,53053940002,9400.02,053,940002,Good
500,0,500_0,22,47.243173,-122.370837,1751,Pacific Hwy E & 44th Ave E,Pierce Transit,,,,,,NO,NO,NO,YES,53053940002,9400.02,053,940002,Good
500,0,500_0,23,47.243173,-122.37933,1761,Pacific Hwy & Police Court Wy,Pierce Transit,,,,,,NO,NO,NO,YES,53053940002,9400.02,053,940002,Good
500,1,500_1,11,47.243094,-122.382666,1762,Pacific Hwy E & 34th Ave E,Pierce Transit,,,,,,NO,NO,NO,YES,53053940002,9400.02,053,940002,Great
500,1,500_1,12,47.243086,-122.378623,18420,Pacific Hwy & Police Court Wy,Pierce Transit,,,,,,NO,NO,NO,YES,53053940002,9400.02,053,940002,Great
500,1,500_1,13,47.243079,-122.373081,1763,Pacific Hwy E & Alexander Ave E,Pierce Transit,,,,,,NO,NO,NO,YES,53053940002,9400.02,053,940002,Great
500,1,500_1,14,47.243062,-122.368888,1752,Pacific Hwy E & 46th Ave E,Pierce Transit,,,,,,NO,NO,NO,YES,53053940002,9400.02,053,940002,Great
500,1,500_1,15,47.243049,-122.364607,1769,Pacific Hwy E & Willow Rd E,Pierce Transit,,,,,,NO,NO,NO,YES,53053940002,9400.02,053,940002,Great
500,1,500_1,16,47.243025,-122.359121,1754,Pacific Hwy E & 52nd Ave E,Pierce Transit,,,,,,NO,NO,NO,YES,53053940002,9400.02,053,940002,Great
500,1,500_1,17,47.242976,-122.351718,1757,Pacific Hwy E & 58th Ave E,Pierce Transit,,,,,,NO,NO,NO,YES,53053940002,9400.02,053,940002,Great
500,1,500_1,18,47.242954,-122.348862,4808,Pacific Hwy E & 59th Ave Ct E,Pierce Transit,,,,,,NO,NO,NO,YES,53053940002,9400.02,053,940002,Great
500,1,500_1,19,47.242946,-122.346578,1758,Pacific Hwy E & 62nd Ave E,Pierce Transit,,,,,,NO,NO,NO,YES,53053940002,9400.02,053,940002,Great
501,0,501_0,28,47.239066,-122.339116,3053,20th St E & 70th Ave E,Pierce Transit,,,,,,NO,NO,NO,YES,53053940012,9400.12,053,940012,Good
501,0,501_0,29,47.239041,-122.342751,3054,20th St E & 63rd Ave E,Pierce Transit,,,,,,NO,NO,NO,YES,53053940012,9400.12,053,940012,Good
501,0,501_0,30,47.238982,-122.347621,3055,20th St E & 62nd Ave E,Pierce Transit,,,,,,NO,NO,NO,YES,53053940012,9400.12,053,940012,Good
501,0,501_0,31,47.238995,-122.35235,3056,20th St E & 58th Ave E,Pierce Transit,,,,,,NO,NO,NO,YES,53053940012,9400.12,053,940012,Good
501,0,501_0,32,47.239006,-122.359159,20280,20th St E & 54th Ave E,Pierce Transit,,,,,,NO,NO,NO,YES,53053940002,9400.02,053,940002,Good
501,0,501_0,33,47.239032,-122.368454,14132,20th St E & Frank Albert Rd E,Pierce Transit,,,,,,NO,NO,NO,YES,53053940002,9400.02,053,940002,Good
501,0,501_0,34,47.23905,-122.374837,3060,20th St E & Goldau Rd E,Pierce Transit,,,,,,NO,NO,NO,YES,53053940002,9400.02,053,940002,Good
501,0,501_0,35,47.239077,-122.379272,3061,20th St E & Industry Dr E,Pierce Transit,,,,,,NO,NO,NO,YES,53053940002,9400.02,053,940002,Good
501,0,501_0,36,47.239117,-122.384069,3062,20th St E & Port of Tacoma Rd,Pierce Transit,,,,,,NO,NO,NO,YES,53053940002,9400.02,053,940002,Good
501,1,501_1,11,47.238977,-122.380359,3072,20th St E & Industry Dr E,Pierce Transit,,,,,,NO,NO,NO,YES,53053940002,9400.02,053,940002,Great
