route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
1,0,1_0,6,46.212358,-119.151148,KE490,Yelm St at Clearwater Ave,BFT,,,,,,YES,YES,NO,YES,53005011100,111,005,011100,Good
1,0,1_0,7,46.210236,-119.155903,KE096,Vista Way at Conway St,BFT,,,,,,YES,YES,NO,YES,53005011100,111,005,011100,Good
1,0,1_0,8,46.212386,-119.163378,KE097,Clearwater Ave at Huntington St,BFT,,,,,,YES,YES,NO,YES,53005011001,110.01,005,011001,Good
1,0,1_0,9,46.212422,-119.166775,KE098,Clearwater Ave at Johnson St,BFT,,,,,,YES,YES,NO,YES,53005011001,110.01,005,011001,Good
1,0,1_0,10,46.212439,-119.170103,KE099,Clearwater Ave at Morain St,BFT,,,,,,YES,YES,NO,YES,53005011001,110.01,005,011001,Good
1,0,1_0,11,46.212469,-119.176664,KE100,Clearwater Ave at Quillan St,BFT,,,,,,YES,YES,NO,YES,53005011001,110.01,005,011001,Good
1,0,1_0,12,46.212503,-119.183872,KE102,Clearwater Ave at Yost St,BFT,,,,,,YES,YES,NO,YES,53005010901,109.01,005,010901,Good
1,0,1_0,13,46.212569,-119.187097,KE103,Clearwater Ave at Arthur St,BFT,,,,,,YES,YES,NO,YES,53005010901,109.01,005,010901,Good
1,0,1_0,14,46.212528,-119.193567,KE104,Clearwater Ave at Fillmore St,BFT,,,,,,YES,YES,NO,YES,53005010902,109.02,005,010902,Good
1,0,1_0,15,46.212542,-119.202883,KE106,Clearwater Ave at Lincoln St / Mckinley St,BFT,,,,,,YES,YES,NO,YES,53005010902,109.02,005,010902,Good
1,0,1_0,16,46.211722,-119.208528,KE107,Clearwater Ave at Quay St,BFT,,,,,,YES,YES,NO,YES,53005010902,109.02,005,010902,Good
1,0,1_0,17,46.21055,-119.212786,KE108,Clearwater Ave at Taft St,BFT,,,,,,YES,YES,NO,YES,53005010902,109.02,005,010902,Good
1,0,1_0,18,46.2101,-119.222406,KE110,Clearwater Ave at Colorado St,BFT,,,,,,YES,YES,NO,YES,53005010816,108.16,005,010816,Good
1,0,1_0,19,46.213572,-119.225347,KE111,Columbia Center Blvd at Deschutes Ave,BFT,,,,,,YES,YES,NO,YES,53005010901,109.01,005,010901,Good
1,0,1_0,20,46.215989,-119.22485,KE112,Columbia Center Blvd at Grandridge Blvd,BFT,,,,,,YES,YES,NO,YES,53005010901,109.01,005,010901,Good
1,0,1_0,21,46.216817,-119.219775,KE114,Grandridge Blvd at Young St,BFT,,,,,,YES,YES,NO,YES,53005010901,109.01,005,010901,Good
1,0,1_0,22,46.21785,-119.218497,KE115,Young St at Grandridge Blvd,BFT,,,,,,YES,YES,NO,YES,53005010901,109.01,005,010901,Good
1,0,1_0,23,46.2220051122907,-119.216113639838,KE001,Three Rivers Transit Center,BFT,,,,,,YES,YES,NO,YES,53005010901,109.01,005,010901,Good
1,0,1_0,24,46.2214311195273,-119.220244,KE006,Quinault Ave at Okanogan Pl,BFT,,,,,,YES,YES,NO,YES,53005010901,109.01,005,010901,Good
1,0,1_0,25,46.223169,-119.222575,KE007,Quinault Ave at Columbia Center Blvd,BFT,,,,,,YES,YES,NO,YES,53005010901,109.01,005,010901,Good
1,1,1_1,7,46.220833,-119.22175,KE492,Okanogan Pl at Quinault St,BFT,,,,,,YES,YES,NO,YES,53005010901,109.01,005,010901,Good
1,1,1_1,8,46.2220051122907,-119.216113639838,KE001,Three Rivers Transit Center,BFT,,,,,,YES,YES,NO,YES,53005010901,109.01,005,010901,Good
1,1,1_1,9,46.216978,-119.219553,KE052,Grandridge Blvd at Young St,BFT,,,,,,YES,YES,NO,YES,53005010901,109.01,005,010901,Good
1,1,1_1,10,46.217475,-119.224744,KE054,Columbia Center Blvd at Grandridge Blvd,BFT,,,,,,YES,YES,NO,YES,53005010809,108.09,005,010809,Good
1,1,1_1,11,46.214789,-119.22545,KE055,Columbia Center Blvd at Deschutes Ave,BFT,,,,,,YES,YES,NO,YES,53005010809,108.09,005,010809,Good
1,1,1_1,12,46.209823,-119.222915,KE056,Clearwater Ave at Colorado St,BFT,,,,,,YES,YES,NO,YES,53005010816,108.16,005,010816,Good
1,1,1_1,13,46.210042,-119.218894,KE057,Clearwater Ave at Colorado St,BFT,,,,,,YES,YES,NO,YES,53005010816,108.16,005,010816,Good
1,1,1_1,14,46.210405,-119.212385,KE058,Clearwater Ave at Taft St,BFT,,,,,,YES,YES,NO,YES,53005010902,109.02,005,010902,Good
1,1,1_1,15,46.211726,-119.208005,KE059,Clearwater Ave at Quay St,BFT,,,,,,YES,YES,NO,YES,53005010902,109.02,005,010902,Good
1,1,1_1,16,46.212344,-119.200294,KE061,Clearwater Ave at Kellogg St,BFT,,,,,,YES,YES,NO,YES,53005010902,109.02,005,010902,Good
1,1,1_1,17,46.212328,-119.194006,KE062,Clearwater Ave at Fillmore St,BFT,,,,,,YES,YES,NO,YES,53005010902,109.02,005,010902,Good
1,1,1_1,18,46.212314,-119.188911,KE063,Clearwater Ave at Edison St,BFT,,,,,,YES,YES,NO,YES,53005010902,109.02,005,010902,Good
1,1,1_1,19,46.2123,-119.183075,KE065,Clearwater Ave at Yost St,BFT,,,,,,YES,YES,NO,YES,53005010902,109.02,005,010902,Good
1,1,1_1,20,46.212269,-119.176625,KE066,Clearwater Ave at Union St,BFT,,,,,,YES,YES,NO,YES,53005011002,110.02,005,011002,Good
1,1,1_1,21,46.212244,-119.170158,KE067,Clearwater Ave at Morain St,BFT,,,,,,YES,YES,NO,YES,53005011002,110.02,005,011002,Good
1,1,1_1,22,46.212222,-119.166111,KE068,Clearwater Ave at Johnson St,BFT,,,,,,YES,YES,NO,YES,53005011002,110.02,005,011002,Good
1,1,1_1,23,46.212172,-119.160686,KE032,Clearwater Ave at Hwy 395,BFT,,,,,,YES,YES,NO,YES,53005011002,110.02,005,011002,Good
1,1,1_1,24,46.211036,-119.157356,KE070,Vista Way at Hwy 395,BFT,,,,,,YES,YES,NO,YES,53005011100,111,005,011100,Good
1,1,1_1,25,46.212981,-119.150898,KE489,Yelm St at Clearwater Ave,BFT,,,,,,YES,YES,NO,YES,53005011100,111,005,011100,Good
123,0,123_0,1,46.2220051122907,-119.216113639838,KE001,Three Rivers Transit Center,BFT,,,,,,YES,YES,NO,YES,53005010901,109.01,005,010901,Good
123,0,123_0,2,46.2214311195273,-119.220244,KE006,Quinault Ave at Okanogan Pl,BFT,,,,,,YES,YES,NO,YES,53005010901,109.01,005,010901,Good
123,0,123_0,3,46.223169,-119.222575,KE007,Quinault Ave at Columbia Center Blvd,BFT,,,,,,YES,YES,NO,YES,53005010901,109.01,005,010901,Good
123,0,123_0,4,46.223272,-119.227394,KE379,Quinault Ave at Columbia Center Blvd,BFT,,,,,,YES,YES,NO,YES,53005010809,108.09,005,010809,Good
123,0,123_0,5,46.225944,-119.231056,KE498,(FLAG STOP) Center Pkwy at Gage Blvd,BFT,,,,,,YES,YES,NO,YES,53005010809,108.09,005,010809,Good
123,0,123_0,6,46.227222,-119.233278,KE381,Gage Blvd at Louisiana St,BFT,,,,,,YES,YES,NO,YES,53005010809,108.09,005,010809,Good
123,0,123_0,7,46.227264,-119.236908,KE382,Gage Blvd at Grandridge Blvd,BFT,,,,,,YES,YES,NO,YES,53005010809,108.09,005,010809,Good
123,0,123_0,8,46.227331,-119.241658,KE141,Gage Blvd at Pittsburgh St,BFT,,,,,,YES,YES,NO,YES,53005010809,108.09,005,010809,Good
123,0,123_0,9,46.227344,-119.244807,KE142,Gage Blvd at Steptoe St,BFT,,,,,,YES,YES,NO,YES,53005010809,108.09,005,010809,Good
123,1,123_1,44,46.227126,-119.242986,KE117,Gage Blvd at Steptoe St,BFT,,,,,,YES,YES,NO,YES,53005010809,108.09,005,010809,Good
123,1,123_1,45,46.227044,-119.237513645739,KE386,Gage Blvd at Grandridge Blvd,BFT,,,,,,YES,YES,NO,YES,53005010809,108.09,005,010809,Good
123,1,123_1,46,46.227017,-119.235067,KE387,Gage Blvd at Louisiana St,BFT,,,,,,YES,YES,NO,YES,53005010809,108.09,005,010809,Good
123,1,123_1,47,46.22515,-119.231378,KE388,Center Pkwy at Quinault Ave,BFT,,,,,,YES,YES,NO,YES,53005010809,108.09,005,010809,Good
123,1,123_1,48,46.223056,-119.22645,KE476,Quinault Ave at Columbia Center Blvd,BFT,,,,,,YES,YES,NO,YES,53005010809,108.09,005,010809,Good
123,1,123_1,49,46.221992,-119.220628,KE005,Quinault Ave at Okanogan Pl,BFT,,,,,,YES,YES,NO,YES,53005010901,109.01,005,010901,Good
123,1,123_1,50,46.2220051122907,-119.216113639838,KE001,Three Rivers Transit Center,BFT,,,,,,YES,YES,NO,YES,53005010901,109.01,005,010901,Good
123s,0,123s_0,1,46.2220051122907,-119.216113639838,KE001,Three Rivers Transit Center,BFT,,,,,,YES,YES,NO,YES,53005010901,109.01,005,010901,Good
123s,0,123s_0,2,46.2214311195273,-119.220244,KE006,Quinault Ave at Okanogan Pl,BFT,,,,,,YES,YES,NO,YES,53005010901,109.01,005,010901,Good
123s,0,123s_0,3,46.223169,-119.222575,KE007,Quinault Ave at Columbia Center Blvd,BFT,,,,,,YES,YES,NO,YES,53005010901,109.01,005,010901,Good
123s,0,123s_0,4,46.223272,-119.227394,KE379,Quinault Ave at Columbia Center Blvd,BFT,,,,,,YES,YES,NO,YES,53005010809,108.09,005,010809,Good
123s,0,123s_0,5,46.225944,-119.231056,KE498,(FLAG STOP) Center Pkwy at Gage Blvd,BFT,,,,,,YES,YES,NO,YES,53005010809,108.09,005,010809,Good
123s,0,123s_0,6,46.227222,-119.233278,KE381,Gage Blvd at Louisiana St,BFT,,,,,,YES,YES,NO,YES,53005010809,108.09,005,010809,Good
123s,0,123s_0,7,46.227264,-119.236908,KE382,Gage Blvd at Grandridge Blvd,BFT,,,,,,YES,YES,NO,YES,53005010809,108.09,005,010809,Good
123s,0,123s_0,8,46.227331,-119.241658,KE141,Gage Blvd at Pittsburgh St,BFT,,,,,,YES,YES,NO,YES,53005010809,108.09,005,010809,Good
123s,0,123s_0,9,46.227344,-119.244807,KE142,Gage Blvd at Steptoe St,BFT,,,,,,YES,YES,NO,YES,53005010809,108.09,005,010809,Good
240,0,240_0,1,46.206262,-119.122886,KE003,DAYTON TRANSFER POINT,BFT,,,,,,YES,YES,NO,YES,53005011202,112.02,005,011202,Good
240,0,240_0,2,46.2101586522598,-119.126095540633,KE500,Fruitland St at Canal Dr,BFT,,,,,,YES,NO,NO,YES,53005011300,113,005,011300,Good
