route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
100045,0,100045_0,26,47.4353294,-122.24807,58134,West Valley Hwy & Todd Blvd,Metro Transit,,,,,,NO,NO,NO,YES,53033028300,283,033,028300,Good
100045,0,100045_0,27,47.4317551,-122.249031,58136,West Valley Hwy S & S 190th St,Metro Transit,,,,,,NO,NO,NO,YES,53033028300,283,033,028300,Good
100045,0,100045_0,28,47.4260216,-122.249489,58140,68th Ave S & S 196th St,Metro Transit,,,,,,NO,NO,NO,YES,53033029206,292.06,033,029206,Good
100045,0,100045_0,29,47.4195709,-122.24955,79239,68th Ave S & S 204th St,Metro Transit,,,,,,NO,NO,NO,YES,53033029206,292.06,033,029206,Good
100045,0,100045_0,30,47.4154053,-122.249535,58145,68th Ave S & S 208th St,Metro Transit,,,,,,YES,NO,NO,YES,53033029206,292.06,033,029206,Good
100045,0,100045_0,31,47.4116707,-122.249504,79240,68th Ave S & S 212th St,Metro Transit,,,,,,YES,NO,NO,YES,53033029206,292.06,033,029206,Good
100045,0,100045_0,32,47.408062,-122.249489,79227,68th Ave S & S 216th St,Metro Transit,,,,,,YES,NO,NO,YES,53033029206,292.06,033,029206,Good
100045,0,100045_0,33,47.4051666,-122.249489,79228,68th Ave S & S 220th St,Metro Transit,,,,,,NO,NO,NO,YES,53033029206,292.06,033,029206,Good
100045,0,100045_0,34,47.4022484,-122.249481,79229,68th Ave S & S 224th St,Metro Transit,,,,,,NO,NO,NO,YES,53033029206,292.06,033,029206,Good
100045,0,100045_0,35,47.3976746,-122.250053,79214,S 228th St & 68th Ave S,Metro Transit,,,,,,NO,NO,NO,YES,53033029206,292.06,033,029206,Good
100045,0,100045_0,36,47.3970528,-122.254875,57478,64th Ave S & S 228th St,Metro Transit,,,,,,NO,NO,NO,YES,53033029205,292.05,033,029205,Good
100045,0,100045_0,37,47.3947639,-122.25486,57479,64th Ave S & S 231st St,Metro Transit,,,,,,NO,NO,NO,YES,53033029205,292.05,033,029205,Good
100045,0,100045_0,38,47.3905563,-122.255135,57446,64th Ave S & S 236th St,Metro Transit,,,,,,NO,NO,NO,YES,53033029205,292.05,033,029205,Good
100045,0,100045_0,39,47.3866577,-122.253113,50779,W James St & 64th Ave S,Metro Transit,,,,,,YES,YES,NO,YES,53033029206,292.06,033,029206,Good
100045,0,100045_0,40,47.3866463,-122.246681,79243,W James St & Washington Ave N,Metro Transit,,,,,,YES,YES,NO,YES,53033029206,292.06,033,029206,Good
100045,0,100045_0,41,47.3866272,-122.242882,80580,W James St & Lincoln Ave N,Metro Transit,,,,,,YES,YES,NO,YES,53033029203,292.03,033,029203,Good
100045,0,100045_0,42,47.3865852,-122.238823,80590,W James St & 4th Ave N,Metro Transit,,,,,,YES,YES,NO,YES,53033029203,292.03,033,029203,Good
100045,0,100045_0,43,47.3865814,-122.233917,80600,W James St & 1st Ave N,Metro Transit,,,,,,YES,YES,NO,YES,53033029203,292.03,033,029203,Good
100045,0,100045_0,44,47.3848038,-122.23246,57455,Kent Sounder Station - Bay 5,Metro Transit,,,,,,NO,NO,NO,YES,53033029203,292.03,033,029203,Good
100045,1,100045_1,1,47.3838806,-122.232483,57458,Kent Sounder Station - Bay 8,Metro Transit,,,,,,YES,NO,NO,YES,53033029203,292.03,033,029203,Good
100045,1,100045_1,2,47.3836899,-122.237251,79248,4th Ave N & W Smith St,Metro Transit,,,,,,YES,YES,NO,YES,53033029203,292.03,033,029203,Good
100045,1,100045_1,3,47.3867226,-122.238129,80820,W James St & 4th Ave N,Metro Transit,,,,,,YES,YES,NO,YES,53033029203,292.03,033,029203,Good
100045,1,100045_1,4,47.3867683,-122.242538,59773,W James St & Lincoln Ave N,Metro Transit,,,,,,YES,YES,NO,YES,53033029203,292.03,033,029203,Good
100045,1,100045_1,5,47.386795,-122.2481,50712,W James St & Washington Ave N,Metro Transit,,,,,,YES,YES,NO,YES,53033029206,292.06,033,029206,Good
100045,1,100045_1,6,47.3871384,-122.253616,50774,64th Ave S & W James St,Metro Transit,,,,,,YES,NO,NO,YES,53033029206,292.06,033,029206,Good
100045,1,100045_1,7,47.3910141,-122.254807,57461,64th Ave S & S 236th St,Metro Transit,,,,,,YES,NO,NO,YES,53033029206,292.06,033,029206,Good
100045,1,100045_1,8,47.3953018,-122.254509,57462,64th Ave S & S 231st St,Metro Transit,,,,,,YES,NO,NO,YES,53033029206,292.06,033,029206,Good
100045,1,100045_1,9,47.3974571,-122.254051,79213,S 228th St & 64th Ave S,Metro Transit,,,,,,YES,NO,NO,YES,53033029206,292.06,033,029206,Good
100045,1,100045_1,10,47.3981476,-122.249245,79234,68th Ave S & S 228th St,Metro Transit,,,,,,YES,NO,NO,YES,53033029206,292.06,033,029206,Good
100045,1,100045_1,11,47.4017067,-122.249275,79236,68th Ave S & S 224th St,Metro Transit,,,,,,YES,NO,NO,YES,53033029206,292.06,033,029206,Good
100045,1,100045_1,12,47.4052925,-122.24929,79237,68th Ave S & S 220th St,Metro Transit,,,,,,YES,NO,NO,YES,53033029206,292.06,033,029206,Good
100045,1,100045_1,13,47.4081764,-122.24929,79238,68th Ave S & S 216th St,Metro Transit,,,,,,YES,NO,NO,YES,53033029206,292.06,033,029206,Good
100045,1,100045_1,14,47.4128838,-122.249313,58085,68th Ave S & S 212th St,Metro Transit,,,,,,YES,NO,NO,YES,53033029206,292.06,033,029206,Good
100045,1,100045_1,15,47.416275,-122.249344,58074,68th Ave S & S 208th St,Metro Transit,,,,,,YES,NO,NO,YES,53033029206,292.06,033,029206,Good
100045,1,100045_1,16,47.4198418,-122.249344,58075,68th Ave S & S 204th St,Metro Transit,,,,,,YES,NO,NO,YES,53033029206,292.06,033,029206,Good
100045,1,100045_1,17,47.4273148,-122.24926,58086,68th Ave S & S 196th St,Metro Transit,,,,,,YES,NO,NO,YES,53033029206,292.06,033,029206,Good
100045,1,100045_1,18,47.4332161,-122.248428,58087,West Valley Hwy S & S 190th St,Metro Transit,,,,,,YES,NO,NO,YES,53033029206,292.06,033,029206,Good
100048,0,100048_0,16,47.4404373,-122.220726,84362,E Valley Hwy & S 180th St,Metro Transit,,,,,,NO,NO,NO,NO,53033029206,292.06,033,029206,Good
100048,0,100048_0,17,47.437458,-122.223946,84363,E Valley Hwy & S 184th St,Metro Transit,,,,,,NO,NO,NO,NO,53033029206,292.06,033,029206,Good
100048,0,100048_0,18,47.4346695,-122.22686,84364,E Valley Hwy & S 187th St,Metro Transit,,,,,,NO,NO,NO,NO,53033029206,292.06,033,029206,Good
100048,0,100048_0,19,47.4298401,-122.228127,84365,84th Ave S & S 192nd St,Metro Transit,,,,,,NO,NO,NO,NO,53033029206,292.06,033,029206,Good
100048,0,100048_0,20,47.4256821,-122.228142,84366,84th Ave S & S 196th St,Metro Transit,,,,,,NO,NO,NO,NO,53033029206,292.06,033,029206,Good
100048,0,100048_0,21,47.4224243,-122.228088,84367,84th Ave S & S 200th St,Metro Transit,,,,,,NO,NO,NO,NO,53033029206,292.06,033,029206,Good
100048,0,100048_0,22,47.4188957,-122.228058,84368,84th Ave S & S 202nd St,Metro Transit,,,,,,NO,NO,NO,NO,53033029206,292.06,033,029206,Good
100048,0,100048_0,23,47.4153099,-122.228043,84358,84th Ave S & S 208th St,Metro Transit,,,,,,NO,NO,NO,NO,53033029206,292.06,033,029206,Good
100048,0,100048_0,24,47.4113464,-122.228073,84352,84th Ave S & S 212th St,Metro Transit,,,,,,YES,YES,NO,YES,53033029206,292.06,033,029206,Good
100048,0,100048_0,25,47.4079323,-122.228088,84351,84th Ave S & S 216th St,Metro Transit,,,,,,YES,YES,NO,YES,53033029206,292.06,033,029206,Good
100048,0,100048_0,26,47.4049911,-122.228104,85853,84th Ave S & S 220th St,Metro Transit,,,,,,YES,YES,NO,YES,53033029206,292.06,033,029206,Good
100048,0,100048_0,27,47.401722,-122.228127,85855,84th Ave S & S 224th St,Metro Transit,,,,,,YES,YES,NO,YES,53033029206,292.06,033,029206,Good
100048,0,100048_0,28,47.3966484,-122.228127,80780,Central Ave N & S 228th St,Metro Transit,,,,,,YES,YES,NO,YES,53033029203,292.03,033,029203,Good
100048,0,100048_0,29,47.3899612,-122.231171,80790,Central Ave N & E George St,Metro Transit,,,,,,YES,YES,NO,YES,53033029203,292.03,033,029203,Good
100048,0,100048_0,30,47.3860893,-122.231201,58144,Central Ave N & E James St,Metro Transit,,,,,,YES,YES,NO,YES,53033029203,292.03,033,029203,Good
100048,0,100048_0,31,47.3834305,-122.232483,57459,Kent Sounder Station - Bay 9,Metro Transit,,,,,,YES,YES,NO,YES,53033029203,292.03,033,029203,Good
100048,1,100048_1,1,47.3848267,-122.232704,57452,Kent Sounder Station - Bay 2,Metro Transit,,,,,,YES,YES,NO,YES,53033029203,292.03,033,029203,Great
100048,1,100048_1,2,47.3872108,-122.230995,80620,Central Ave N & E James St,Metro Transit,,,,,,YES,YES,NO,YES,53033029208,292.08,033,029208,Great
100048,1,100048_1,3,47.3901329,-122.230972,80630,Central Ave N & E George St,Metro Transit,,,,,,YES,YES,NO,YES,53033029208,292.08,033,029208,Great
100048,1,100048_1,4,47.3959351,-122.227936,80640,Central Ave N & S 228th St,Metro Transit,,,,,,YES,YES,YES,YES,53033029208,292.08,033,029208,Great
100048,1,100048_1,5,47.4018021,-122.227921,80642,84th Ave S & S 224th St,Metro Transit,,,,,,YES,YES,NO,YES,53033029206,292.06,033,029206,Great
100048,1,100048_1,6,47.4050713,-122.227898,85851,84th Ave S & S 220th St,Metro Transit,,,,,,YES,YES,NO,YES,53033029206,292.06,033,029206,Great
100048,1,100048_1,7,47.4089088,-122.227882,84353,84th Ave S & S 216th St,Metro Transit,,,,,,YES,YES,NO,YES,53033029206,292.06,033,029206,Great
100048,1,100048_1,8,47.4131699,-122.227837,84354,84th Ave S & S 212th St,Metro Transit,,,,,,NO,NO,NO,NO,53033029206,292.06,033,029206,Great
100048,1,100048_1,9,47.4159203,-122.227837,84356,84th Ave S & S 208th St,Metro Transit,,,,,,NO,NO,NO,NO,53033029206,292.06,033,029206,Great
100048,1,100048_1,10,47.4193611,-122.227867,84357,84th Ave S & S 202nd St,Metro Transit,,,,,,NO,NO,NO,NO,53033029206,292.06,033,029206,Great
100048,1,100048_1,11,47.4231148,-122.227936,84359,84th Ave S & S 200th St,Metro Transit,,,,,,NO,NO,NO,NO,53033029206,292.06,033,029206,Great
100048,1,100048_1,12,47.4265633,-122.227936,84369,84th Ave S & S 196th St,Metro Transit,,,,,,NO,NO,NO,NO,53033029206,292.06,033,029206,Great
100048,1,100048_1,13,47.4299889,-122.227921,84370,84th Ave S & S 192nd St,Metro Transit,,,,,,NO,NO,NO,NO,53033029206,292.06,033,029206,Great
