route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
424,0,424_0,22,47.71544,-122.185817,2851,Totem Lake Fwy Station,Community Transit,,,,,,YES,YES,NO,NO,53033021903,219.03,033,021903,Great
424,1,424_1,9,47.715427,-122.185541,2850,Totem Lake Fwy Station,Community Transit,,,,,,YES,YES,NO,NO,53033021903,219.03,033,021903,Good
532,0,532_0,6,47.71544,-122.185817,2851,Totem Lake Fwy Station,Community Transit,,,,,,YES,YES,NO,NO,53033021903,219.03,033,021903,Great
532,1,532_1,4,47.715427,-122.185541,2850,Totem Lake Fwy Station,Community Transit,,,,,,YES,YES,NO,NO,53033021903,219.03,033,021903,Great
535,0,535_0,9,47.71544,-122.185817,2851,Totem Lake Fwy Station,Community Transit,,,,,,YES,YES,NO,NO,53033021903,219.03,033,021903,Great
535,1,535_1,4,47.715427,-122.185541,2850,Totem Lake Fwy Station,Community Transit,,,,,,YES,YES,NO,NO,53033021903,219.03,033,021903,Great
100136,0,100136_0,1,47.6765175,-122.203552,73818,Kirkland Transit Center - Bay 4,Metro Transit,,,,,,YES,YES,NO,YES,53033022502,225.02,033,022502,Great
100136,0,100136_0,2,47.6761436,-122.197021,70676,6th St & Kirkland Way,Metro Transit,,,,,,YES,YES,NO,YES,53033022502,225.02,033,022502,Great
100136,0,100136_0,3,47.6715431,-122.196411,70677,6th St S & 5th Ave S,Metro Transit,,,,,,YES,YES,NO,YES,53033022502,225.02,033,022502,Great
100136,0,100136_0,4,47.668972,-122.196381,70679,6th St S & 9th Ave S,Metro Transit,,,,,,YES,YES,NO,YES,53033022502,225.02,033,022502,Great
100136,0,100136_0,5,47.6666718,-122.195396,70681,NE 68th St & 6th St S,Metro Transit,,,,,,NO,NO,NO,YES,53033022702,227.02,033,022702,Great
100136,0,100136_0,6,47.6661987,-122.193199,72289,NE 68th St & 110th Ave NE,Metro Transit,,,,,,NO,NO,NO,YES,53033022702,227.02,033,022702,Great
100136,0,100136_0,7,47.6667252,-122.190659,72290,NE 68th St & 112th Ave NE,Metro Transit,,,,,,NO,NO,NO,YES,53033022702,227.02,033,022702,Great
