route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
100,1,100_1,1,47.0498695374,-122.815125,795,Martin Way Park & Ride,Intercity Transit,ONE,The One,3,F6AF65,0A1045,NO,NO,NO,NO,53067011200,112,067,011200,Poor
60,0,60_0,1,47.0426597595,-122.829559,183,Lacey Transit Center,Intercity Transit,60,St Peter Hospital,3,613FA6,ffffff,NO,NO,NO,NO,53067011200,112,067,011200,Poor
60,0,60_0,2,47.0390090942,-122.828751,657,Golf Club Rd at 10th Ave [sb],Intercity Transit,60,St Peter Hospital,3,613FA6,ffffff,NO,NO,NO,NO,53067011200,112,067,011200,Poor
60,0,60_0,3,47.0343971252,-122.82859,479,Golf Club Rd at 14th Ave [sb],Intercity Transit,60,St Peter Hospital,3,613FA6,ffffff,NO,NO,NO,NO,53067011200,112,067,011200,Poor
60,0,60_0,4,47.0322113037,-122.828598,478,Golf Club Rd at 16th Ave [sb],Intercity Transit,60,St Peter Hospital,3,613FA6,ffffff,NO,NO,NO,NO,53067011300,113,067,011300,Poor
60,0,60_0,5,47.0308685303,-122.82859,507,"Golf Club Rd, Community Garden [sb]",Intercity Transit,60,St Peter Hospital,3,613FA6,ffffff,NO,NO,NO,NO,53067011300,113,067,011300,Poor
60,0,60_0,6,47.0295295715,-122.82859,477,Golf Club Rd at 19th Ave [sb],Intercity Transit,60,St Peter Hospital,3,613FA6,ffffff,NO,NO,NO,NO,53067011300,113,067,011300,Poor
60,0,60_0,7,47.0281448364,-122.828575,904,Golf Club Rd at 21st Ave [sb],Intercity Transit,60,St Peter Hospital,3,613FA6,ffffff,NO,NO,NO,NO,53067011300,113,067,011300,Poor
60,0,60_0,8,47.0282592773,-122.833702,789,Sleater Kinney Rd at 21st Ave [nb],Intercity Transit,60,St Peter Hospital,3,613FA6,ffffff,NO,NO,NO,NO,53067011300,113,067,011300,Poor
60,0,60_0,9,47.030632019,-122.833687,472,Panorama [nb],Intercity Transit,60,St Peter Hospital,3,613FA6,ffffff,NO,NO,NO,NO,53067011300,113,067,011300,Poor
