route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
109,0,109_0,1,47.999686,-122.103682,2666,Lake Stevens Transit Center Bay 2,Community Transit,,,,,,YES,YES,NO,YES,53061052604,526.04,061,052604,Good
109,0,109_0,2,47.999674,-122.100593,2669,4th St NE & 97th Dr NE,Community Transit,,,,,,YES,YES,NO,YES,53061052604,526.04,061,052604,Good
109,0,109_0,3,47.9986,-122.098356,2670,99th Ave NE & 4th St NE,Community Transit,,,,,,YES,YES,NO,YES,53061052604,526.04,061,052604,Good
109,0,109_0,4,47.994072,-122.098396,3176,99th Ave SE & 2nd St SE,Community Transit,,,,,,NO,NO,NO,YES,53061052604,526.04,061,052604,Good
109,0,109_0,5,47.990538,-122.098442,3177,99th Ave SE & 6th Pl SE,Community Transit,,,,,,NO,NO,NO,YES,53061052506,525.06,061,052506,Good
109,0,109_0,6,47.982403,-122.098503,3178,99th Ave SE & 15th Pl SE,Community Transit,,,,,,NO,NO,NO,YES,53061052506,525.06,061,052506,Good
109,0,109_0,7,47.978222,-122.09899,3192,20th St SE & 99th Ave SE,Community Transit,,,,,,NO,NO,NO,YES,53061052506,525.06,061,052506,Good
109,1,109_1,34,47.977969,-122.101368,3172,20th St SE & Hwy 9,Community Transit,,,,,,NO,NO,NO,YES,53061052504,525.04,061,052504,Great
109,1,109_1,35,47.982235,-122.098282,3173,99th Ave SE & 15th Pl SE,Community Transit,,,,,,NO,NO,NO,YES,53061052604,526.04,061,052604,Great
109,1,109_1,36,47.990376,-122.098223,3174,99th Ave SE & 6th Pl SE,Community Transit,,,,,,NO,NO,NO,YES,53061052604,526.04,061,052604,Great
109,1,109_1,37,47.994837,-122.09817,3175,99th Ave SE & 2nd St SE,Community Transit,,,,,,NO,NO,NO,YES,53061052604,526.04,061,052604,Great
109,1,109_1,38,47.996414,-122.099644,2671,Market Pl & 99th Ave NE,Community Transit,,,,,,YES,YES,NO,YES,53061052604,526.04,061,052604,Great
