route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
600,0,600_0,12,47.1497459412,-122.503426,927,Pacific Hwy at Bridgeport Way [nb],Intercity Transit,600,Lakewood Commuter,3,001f99,ffffff,NO,NO,NO,NO,53053071806,718.06,053,071806,Poor
600,0,600_0,13,47.152885437,-122.498665,473,Lakewood Station Bay 5 [nb],Intercity Transit,600,Lakewood Commuter,3,001f99,ffffff,NO,NO,NO,NO,53053071805,718.05,053,071805,Poor
600,0,600_0,14,47.1609191895,-122.483109,929,SR512 Park & Ride -  Zone G,Intercity Transit,600,Lakewood Commuter,3,001f99,ffffff,NO,NO,NO,NO,53053071807,718.07,053,071807,Poor
600,1,600_1,1,47.1609191895,-122.483109,929,SR512 Park & Ride -  Zone G,Intercity Transit,600,Lakewood Commuter,3,001f99,ffffff,NO,NO,NO,NO,53053071807,718.07,053,071807,Poor
600,1,600_1,2,47.1527137756,-122.498947,474,Lakewood Station [sb],Intercity Transit,600,Lakewood Commuter,3,001f99,ffffff,NO,NO,NO,NO,53053071805,718.05,053,071805,Poor
610,0,610_0,14,47.1199765524,-122.558725,1083,Berkeley St SW & Washington Ave SW,Intercity Transit,610,Lacey Connector,3,0058cc,ffffff,NO,NO,NO,NO,53053072000,720,053,072000,Poor
610,0,610_0,15,47.1497459412,-122.503426,927,Pacific Hwy at Bridgeport Way [nb],Intercity Transit,610,Lacey Connector,3,0058cc,ffffff,NO,NO,NO,NO,53053071806,718.06,053,071806,Poor
610,0,610_0,16,47.152885437,-122.498665,473,Lakewood Station Bay 5 [nb],Intercity Transit,610,Lacey Connector,3,0058cc,ffffff,NO,NO,NO,NO,53053071805,718.05,053,071805,Poor
610,0,610_0,17,47.1609191895,-122.483109,929,SR512 Park & Ride -  Zone G,Intercity Transit,610,Lacey Connector,3,0058cc,ffffff,NO,NO,NO,NO,53053071807,718.07,053,071807,Poor
610,1,610_1,1,47.1609191895,-122.483109,929,SR512 Park & Ride -  Zone G,Intercity Transit,610,Lacey Connector,3,0058cc,ffffff,NO,NO,NO,NO,53053071807,718.07,053,071807,Poor
610,1,610_1,2,47.1527137756,-122.498947,474,Lakewood Station [sb],Intercity Transit,610,Lacey Connector,3,0058cc,ffffff,NO,NO,NO,NO,53053071805,718.05,053,071805,Poor
610,1,610_1,3,47.1199765524,-122.558725,1083,Berkeley St SW & Washington Ave SW,Intercity Transit,610,Lacey Connector,3,0058cc,ffffff,NO,NO,NO,NO,53053072000,720,053,072000,Poor
2,0,2_0,43,47.195021,-122.520878,546,Bridgeport Way W & WalMart,Pierce Transit,,,,,,NO,NO,NO,YES,53053072106,721.06,053,072106,Good
2,0,2_0,44,47.191654,-122.518607,571,Bridgeport Way W & Meadow Park Rd,Pierce Transit,,,,,,NO,NO,NO,YES,53053072106,721.06,053,072106,Good
2,0,2_0,45,47.18888,-122.518539,550,Bridgeport Way W & 75th St W,Pierce Transit,,,,,,NO,NO,NO,YES,53053072106,721.06,053,072106,Good
2,0,2_0,46,47.186173,-122.518408,565,Bridgeport Way W & Custer Rd W,Pierce Transit,,,,,,NO,NO,NO,YES,53053071803,718.03,053,071803,Good
2,0,2_0,47,47.182693,-122.518355,552,Bridgeport Way W & 83rd St. SW,Pierce Transit,,,,,,NO,NO,NO,YES,53053071803,718.03,053,071803,Good
2,0,2_0,48,47.179267,-122.518191,554,Bridgeport Way W & 86th St SW,Pierce Transit,,,,,,NO,NO,NO,YES,53053071803,718.03,053,071803,Good
2,0,2_0,49,47.176065,-122.518281,575,Bridgeport Way W & Steilacoom,Pierce Transit,,,,,,NO,NO,NO,YES,53053071901,719.01,053,071901,Good
2,0,2_0,50,47.173088,-122.518534,556,Bridgeport Way W & 93rd St SW,Pierce Transit,,,,,,NO,NO,NO,YES,53053071901,719.01,053,071901,Good
2,0,2_0,51,47.170578,-122.519658,930,Gravelly Lake Dr & Mt Tacoma Dr,Pierce Transit,,,,,,NO,NO,NO,YES,53053071901,719.01,053,071901,Good
