route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
101,0,101_0,14,47.845627,-122.295239,1499,Hwy 99 & 168th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051601,516.01,061,051601,Good
101,0,101_0,15,47.840534,-122.298584,1500,Hwy 99 & 174th Pl SW,Community Transit,,,,,,YES,YES,NO,YES,53061051601,516.01,061,051601,Good
101,0,101_0,16,47.838184,-122.300604,1501,Hwy 99 & 176th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051602,516.02,061,051602,Good
101,0,101_0,17,47.834973,-122.303382,1521,Hwy 99 & 180th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051602,516.02,061,051602,Good
101,0,101_0,18,47.827669,-122.309711,1502,Hwy 99 & 188th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051500,515,061,051500,Good
101,0,101_0,19,47.824801,-122.312185,1495,Hwy 99 & 60th Ave W,Community Transit,,,,,,YES,YES,NO,YES,53061051500,515,061,051500,Good
101,0,101_0,20,47.820482,-122.31592,1503,Hwy 99 & 196th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051500,515,061,051500,Good
101,0,101_0,21,47.81725,-122.318702,1504,Hwy 99 & 200th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051500,515,061,051500,Good
101,0,101_0,22,47.815264,-122.320426,1505,Hwy 99 & 202nd St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051500,515,061,051500,Good
101,0,101_0,23,47.809703,-122.324694,1506,Hwy 99 & 208th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051500,515,061,051500,Good
101,1,101_1,11,47.80371,-122.328572,1012,Hwy 99 & 216th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051401,514.01,061,051401,Great
101,1,101_1,12,47.80736,-122.325949,1011,Hwy 99 & 212th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051401,514.01,061,051401,Great
101,1,101_1,13,47.810774,-122.323474,1010,Hwy 99 & 208th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051401,514.01,061,051401,Great
101,1,101_1,14,47.814386,-122.320722,1009,Hwy 99 & 204th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051401,514.01,061,051401,Great
101,1,101_1,15,47.818148,-122.31748,1008,Hwy 99 & 200th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051401,514.01,061,051401,Great
101,1,101_1,16,47.822148,-122.314045,1007,Hwy 99 & 196th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051701,517.01,061,051701,Great
101,1,101_1,17,47.824672,-122.311861,997,Hwy 99 & 60th Ave W,Community Transit,,,,,,YES,YES,NO,YES,53061051701,517.01,061,051701,Great
101,1,101_1,18,47.829233,-122.307911,1006,Hwy 99 & 188th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051701,517.01,061,051701,Great
101,1,101_1,19,47.83484,-122.303063,1018,Hwy 99 & 180th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051701,517.01,061,051701,Great
101,1,101_1,20,47.840095,-122.298508,1005,Hwy 99 & 176th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051701,517.01,061,051701,Great
101,1,101_1,21,47.841407,-122.297368,1004,Hwy 99 & 174th Pl SW,Community Transit,,,,,,YES,YES,NO,YES,53061051701,517.01,061,051701,Great
101,1,101_1,22,47.847635,-122.29407,1003,Hwy 99 & 168th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051802,518.02,061,051802,Great
102,0,102_0,1,47.816315,-122.297258,2107,Lynnwood City Center Station Bay A1,Community Transit,,,,,,YES,NO,NO,YES,53061051402,514.02,061,051402,Good
102,0,102_0,2,47.817475,-122.299198,1637,200th St SW & 48th Ave W,Community Transit,,,,,,YES,YES,NO,YES,53061051402,514.02,061,051402,Good
102,0,102_0,3,47.813479,-122.3033,1191,52nd Ave W & 204th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051402,514.02,061,051402,Good
102,0,102_0,4,47.810523,-122.3033,1196,52nd Ave W & 208th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051402,514.02,061,051402,Good
102,0,102_0,5,47.806649,-122.303491,3340,212th St SW & 52nd Ave W,Community Transit,,,,,,YES,NO,NO,YES,53061051402,514.02,061,051402,Good
102,0,102_0,6,47.806682,-122.307611,3337,212th St SW & 55th Ave W,Community Transit,,,,,,YES,NO,NO,YES,53061051402,514.02,061,051402,Good
102,0,102_0,7,47.806809,-122.31736,1658,212th St SW & 63rd Ave W,Community Transit,,,,,,YES,NO,NO,YES,53061051401,514.01,061,051401,Good
102,0,102_0,8,47.806851,-122.323703,1659,212th St SW & 67th Ave W,Community Transit,,,,,,YES,NO,NO,YES,53061051401,514.01,061,051401,Good
102,1,102_1,17,47.80371,-122.328572,1012,Hwy 99 & 216th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051401,514.01,061,051401,Great
102,1,102_1,18,47.806741,-122.326027,281,212th St SW & 68th Ave W,Community Transit,,,,,,YES,NO,NO,YES,53061051401,514.01,061,051401,Great
102,1,102_1,19,47.806686,-122.322065,280,212th St SW & 66th Ave W,Community Transit,,,,,,YES,NO,NO,YES,53061051401,514.01,061,051401,Great
102,1,102_1,23,47.806875,-122.303059,710,52nd Ave W & 212th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051402,514.02,061,051402,Great
102,1,102_1,24,47.810458,-122.302997,709,52nd Ave W & 208th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051402,514.02,061,051402,Great
102,1,102_1,25,47.814084,-122.303084,83,52nd Ave W & 204th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051402,514.02,061,051402,Great
102,1,102_1,26,47.817359,-122.299786,257,200th St SW & Cedar Valley Rd,Community Transit,,,,,,YES,YES,NO,YES,53061051402,514.02,061,051402,Great
102,1,102_1,27,47.816082,-122.296421,2035,Lynnwood City Center Station,Community Transit,,,,,,YES,YES,NO,YES,53061051402,514.02,061,051402,Great
103,0,103_0,39,47.846402,-122.281982,1102,36th Ave W & 167th Pl SW,Community Transit,,,,,,YES,NO,NO,YES,53061051802,518.02,061,051802,Great
103,0,103_0,40,47.841861,-122.281918,1103,36th Ave W & 173rd Pl SW,Community Transit,,,,,,YES,NO,NO,YES,53061051702,517.02,061,051702,Great
103,0,103_0,41,47.838418,-122.281912,1104,36th Ave W & 176th Pl SW,Community Transit,,,,,,YES,NO,NO,YES,53061051702,517.02,061,051702,Great
103,0,103_0,42,47.834936,-122.281854,1107,36th Ave W & 180th Pl SW,Community Transit,,,,,,YES,NO,NO,YES,53061051702,517.02,061,051702,Great
103,0,103_0,43,47.828793,-122.27783,2737,33rd Ave W & 188th St SW,Community Transit,,,,,,YES,NO,NO,YES,53061051802,518.02,061,051802,Great
103,0,103_0,44,47.828286,-122.282346,1602,188th St SW & 36th Ave W,Community Transit,,,,,,YES,NO,NO,YES,53061051702,517.02,061,051702,Great
103,0,103_0,45,47.828277,-122.28756,1607,188th St SW & 40th Ave W,Community Transit,,,,,,YES,YES,NO,YES,53061051702,517.02,061,051702,Great
103,0,103_0,46,47.828293,-122.290616,1608,188th St SW & 41st Pl W,Community Transit,,,,,,YES,YES,NO,YES,53061051702,517.02,061,051702,Great
103,0,103_0,47,47.826462,-122.292531,1143,44th Ave W & 189th Pl SW,Community Transit,,,,,,YES,YES,NO,YES,53061051701,517.01,061,051701,Great
103,0,103_0,48,47.823984,-122.292526,1142,44th Ave W & 192nd Pl SW,Community Transit,,,,,,YES,YES,NO,YES,53061051701,517.01,061,051701,Great
103,0,103_0,49,47.822841,-122.292936,1613,194th St SW & 44th Ave W,Community Transit,,,,,,YES,YES,NO,YES,53061051701,517.01,061,051701,Great
103,0,103_0,50,47.822896,-122.296436,1614,194th St SW & 46th Ave W,Community Transit,,,,,,YES,YES,NO,YES,53061051701,517.01,061,051701,Great
103,0,103_0,51,47.822562,-122.297906,1155,48th Ave W & 194th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051701,517.01,061,051701,Great
103,0,103_0,52,47.820183,-122.297908,1156,48th Ave W & 196th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051402,514.02,061,051402,Great
103,0,103_0,53,47.816082,-122.296421,2035,Lynnwood City Center Station,Community Transit,,,,,,YES,YES,NO,YES,53061051402,514.02,061,051402,Great
103,1,103_1,1,47.8163,-122.296246,2117,Lynnwood City Center Station Bay A4,Community Transit,,,,,,YES,NO,NO,YES,53061051402,514.02,061,051402,Good
103,1,103_1,2,47.81836,-122.297678,2171,48th Ave W & 200th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051402,514.02,061,051402,Good
103,1,103_1,3,47.822772,-122.297205,226,194th St SW & 48th Ave W,Community Transit,,,,,,YES,YES,NO,YES,53061051701,517.01,061,051701,Good
103,1,103_1,4,47.82271,-122.293442,227,194th St SW & 44th Ave W,Community Transit,,,,,,YES,YES,NO,YES,53061051701,517.01,061,051701,Good
103,1,103_1,5,47.825233,-122.292316,650,44th Ave W & 192nd St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051702,517.02,061,051702,Good
103,1,103_1,6,47.828179,-122.291442,3344,188th St SW & 43rd Pl W,Community Transit,,,,,,YES,NO,NO,YES,53061051702,517.02,061,051702,Good
103,1,103_1,7,47.828153,-122.287281,216,188th St SW & 40th Ave W,Community Transit,,,,,,YES,NO,NO,YES,53061051702,517.02,061,051702,Good
103,1,103_1,8,47.828105,-122.281214,222,188th St SW & 36th Ave W,Community Transit,,,,,,YES,NO,NO,YES,53061051702,517.02,061,051702,Good
103,1,103_1,9,47.829611,-122.277595,610,33rd Ave W & 188th St SW,Community Transit,,,,,,YES,NO,NO,YES,53061051802,518.02,061,051802,Good
103,1,103_1,10,47.83203,-122.278516,1601,184th St SW & 33rd Ave W,Community Transit,,,,,,YES,NO,NO,YES,53061051802,518.02,061,051802,Good
103,1,103_1,11,47.832558,-122.281573,619,36th Ave W & 184th St SW,Community Transit,,,,,,YES,NO,NO,YES,53061051802,518.02,061,051802,Good
103,1,103_1,12,47.836686,-122.281606,2617,36th Ave W & 179th St SW,Community Transit,,,,,,YES,NO,NO,YES,53061051802,518.02,061,051802,Good
103,1,103_1,13,47.839049,-122.281599,623,36th Ave W & 176th Pl SW,Community Transit,,,,,,YES,NO,NO,YES,53061051802,518.02,061,051802,Good
103,1,103_1,14,47.844303,-122.281672,617,36th Ave W & 171st St SW,Community Transit,,,,,,YES,NO,NO,YES,53061051802,518.02,061,051802,Good
103,1,103_1,15,47.847982,-122.281708,616,36th Ave W & 166th Pl SW,Community Transit,,,,,,YES,NO,NO,YES,53061051802,518.02,061,051802,Good
112,0,112_0,6,47.850184,-122.285312,1582,164th St SW & Spruce Way,Community Transit,,,,,,YES,YES,NO,YES,53061051803,518.03,061,051803,Great
112,0,112_0,7,47.845964,-122.292637,1127,44th Ave W & 168th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051701,517.01,061,051701,Great
112,0,112_0,8,47.842363,-122.29261,1140,44th Ave W & 172nd Pl SW,Community Transit,,,,,,YES,YES,NO,YES,53061051701,517.01,061,051701,Great
112,0,112_0,9,47.840803,-122.292634,1141,44th Ave W & 174th Pl SW,Community Transit,,,,,,YES,YES,NO,YES,53061051701,517.01,061,051701,Great
112,0,112_0,10,47.83875,-122.292609,1128,44th Ave W & 176th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051701,517.01,061,051701,Great
112,0,112_0,11,47.835316,-122.292606,1129,44th Ave W & 180th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051701,517.01,061,051701,Great
112,0,112_0,12,47.833793,-122.292582,1130,44th Ave W & 181st Pl SW,Community Transit,,,,,,YES,YES,NO,YES,53061051701,517.01,061,051701,Great
112,0,112_0,13,47.831915,-122.292558,1131,44th Ave W & 183rd Pl SW,Community Transit,,,,,,YES,YES,NO,YES,53061051701,517.01,061,051701,Great
112,0,112_0,14,47.83056,-122.292534,1146,44th Ave W & 186th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051701,517.01,061,051701,Great
112,0,112_0,15,47.826462,-122.292531,1143,44th Ave W & 189th Pl SW,Community Transit,,,,,,YES,YES,NO,YES,53061051701,517.01,061,051701,Great
112,0,112_0,16,47.823984,-122.292526,1142,44th Ave W & 192nd Pl SW,Community Transit,,,,,,YES,YES,NO,YES,53061051701,517.01,061,051701,Great
112,0,112_0,17,47.822841,-122.292936,1613,194th St SW & 44th Ave W,Community Transit,,,,,,YES,YES,NO,YES,53061051701,517.01,061,051701,Great
112,0,112_0,18,47.822896,-122.296436,1614,194th St SW & 46th Ave W,Community Transit,,,,,,YES,YES,NO,YES,53061051701,517.01,061,051701,Great
112,0,112_0,19,47.822562,-122.297906,1155,48th Ave W & 194th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051701,517.01,061,051701,Great
112,0,112_0,20,47.820183,-122.297908,1156,48th Ave W & 196th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051402,514.02,061,051402,Great
112,0,112_0,21,47.816134,-122.296607,2168,Lynnwood City Center Station Bay B2,Community Transit,,,,,,YES,YES,NO,YES,53061051402,514.02,061,051402,Great
112,0,112_0,22,47.810131,-122.292514,1126,44th Ave W & 20800 Block,Community Transit,,,,,,YES,YES,NO,YES,53061051402,514.02,061,051402,Great
112,1,112_1,18,47.811044,-122.292138,662,44th Ave W & 20800 Block,Community Transit,,,,,,YES,YES,NO,YES,53061051929,519.29,061,051929,Good
112,1,112_1,19,47.816058,-122.296926,2110,Lynnwood City Center Station Bay C2,Community Transit,,,,,,YES,YES,NO,YES,53061051402,514.02,061,051402,Good
112,1,112_1,20,47.81836,-122.297678,2171,48th Ave W & 200th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051402,514.02,061,051402,Good
112,1,112_1,21,47.822772,-122.297205,226,194th St SW & 48th Ave W,Community Transit,,,,,,YES,YES,NO,YES,53061051701,517.01,061,051701,Good
112,1,112_1,22,47.82271,-122.293442,227,194th St SW & 44th Ave W,Community Transit,,,,,,YES,YES,NO,YES,53061051701,517.01,061,051701,Good
112,1,112_1,23,47.825233,-122.292316,650,44th Ave W & 192nd St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051702,517.02,061,051702,Good
112,1,112_1,24,47.828573,-122.292275,649,44th Ave W & 188th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051702,517.02,061,051702,Good
112,1,112_1,25,47.832301,-122.292369,648,44th Ave W & 184th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051702,517.02,061,051702,Good
112,1,112_1,26,47.834628,-122.292402,656,44th Ave W & Maple Rd,Community Transit,,,,,,YES,YES,NO,YES,53061051702,517.02,061,051702,Good
112,1,112_1,27,47.837084,-122.292394,647,44th Ave W & 179th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051702,517.02,061,051702,Good
112,1,112_1,28,47.838885,-122.292395,658,44th Ave W & 176th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051702,517.02,061,051702,Good
112,1,112_1,29,47.841078,-122.292395,646,44th Ave W & 174th Pl SW,Community Transit,,,,,,YES,YES,NO,YES,53061051702,517.02,061,051702,Good
112,1,112_1,30,47.843067,-122.292422,645,44th Ave W & 172nd St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051802,518.02,061,051802,Good
112,1,112_1,31,47.84573,-122.29242,657,44th Ave W & Cobblestone Dr,Community Transit,,,,,,YES,YES,NO,YES,53061051802,518.02,061,051802,Good
114,0,114_0,1,47.816305,-122.29655,2116,Lynnwood City Center Station Bay A3,Community Transit,,,,,,YES,NO,NO,YES,53061051402,514.02,061,051402,Good
114,0,114_0,2,47.817475,-122.299198,1637,200th St SW & 48th Ave W,Community Transit,,,,,,YES,YES,NO,YES,53061051402,514.02,061,051402,Good
114,0,114_0,3,47.817514,-122.302009,1638,200th St SW & 50th Ave W,Community Transit,,,,,,YES,NO,NO,YES,53061051402,514.02,061,051402,Good
114,0,114_0,4,47.817536,-122.304554,1639,200th St SW & 52nd Pl W,Community Transit,,,,,,YES,NO,NO,YES,53061051402,514.02,061,051402,Good
114,0,114_0,5,47.817562,-122.309516,1640,200th St SW & 56th Ave W,Community Transit,,,,,,YES,NO,NO,YES,53061051401,514.01,061,051401,Good
114,0,114_0,6,47.817635,-122.31538,1642,200th St SW & Scriber Lake Rd,Community Transit,,,,,,YES,NO,NO,YES,53061051401,514.01,061,051401,Good
114,0,114_0,7,47.817732,-122.321641,1641,200th St SW & 66th Pl W,Community Transit,,,,,,YES,NO,NO,YES,53061051500,515,061,051500,Good
114,0,114_0,8,47.816676,-122.325293,2125,Edmonds College Transit Center Bay 3,Community Transit,,,,,,YES,NO,NO,YES,53061051500,515,061,051500,Good
114,0,114_0,9,47.812549,-122.324823,1240,68th Ave W & 204th St SW,Community Transit,,,,,,YES,NO,NO,YES,53061051500,515,061,051500,Good
114,0,114_0,10,47.810576,-122.327889,1656,208th St SW & 70th Ave W,Community Transit,,,,,,YES,NO,NO,YES,53061051500,515,061,051500,Good
114,1,114_1,19,47.810428,-122.329017,277,208th St SW & 72nd Ave W,Community Transit,,,,,,YES,NO,NO,YES,53061051500,515,061,051500,Great
114,1,114_1,20,47.81269,-122.324718,755,68th Ave W & 204th St SW,Community Transit,,,,,,YES,NO,NO,YES,53061051500,515,061,051500,Great
114,1,114_1,21,47.815638,-122.324749,3316,Edmonds College Transit Center Bay 6,Community Transit,,,,,,YES,NO,NO,YES,53061051500,515,061,051500,Great
114,1,114_1,22,47.817634,-122.324135,255,200th St SW & 68th Ave W,Community Transit,,,,,,YES,NO,NO,YES,53061051500,515,061,051500,Great
114,1,114_1,23,47.81753,-122.319062,253,200th St SW & 64th Ave W,Community Transit,,,,,,YES,NO,NO,YES,53061051500,515,061,051500,Great
114,1,114_1,24,47.817461,-122.314901,260,200th St SW & 60th Ave W,Community Transit,,,,,,YES,NO,NO,YES,53061051401,514.01,061,051401,Great
114,1,114_1,25,47.81744,-122.310892,259,200th St SW & 56th Ave W,Community Transit,,,,,,YES,NO,NO,YES,53061051401,514.01,061,051401,Great
114,1,114_1,26,47.81742,-122.307889,252,200th St SW & 56th Ave W,Community Transit,,,,,,YES,NO,NO,YES,53061051402,514.02,061,051402,Great
114,1,114_1,27,47.817391,-122.304318,251,200th St SW & 53rd Pl W,Community Transit,,,,,,YES,NO,NO,YES,53061051402,514.02,061,051402,Great
114,1,114_1,28,47.817359,-122.299786,257,200th St SW & Cedar Valley Rd,Community Transit,,,,,,YES,YES,NO,YES,53061051402,514.02,061,051402,Great
114,1,114_1,29,47.816082,-122.296421,2035,Lynnwood City Center Station,Community Transit,,,,,,YES,YES,NO,YES,53061051402,514.02,061,051402,Great
117,0,117_0,19,47.834417,-122.269981,2433,Alderwood Mall Pkwy & 182nd St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051802,518.02,061,051802,Great
117,0,117_0,20,47.83073,-122.26868,1303,Alderwood Mall Pkwy & 184th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051802,518.02,061,051802,Great
117,0,117_0,21,47.828347,-122.268728,1305,Alderwood Mall Pkwy & Beech Rd,Community Transit,,,,,,YES,YES,NO,YES,53061051802,518.02,061,051802,Great
117,0,117_0,22,47.826138,-122.271334,1742,Alderwood Mall Blvd & 28th Ave W,Community Transit,,,,,,YES,YES,NO,YES,53061051802,518.02,061,051802,Great
117,0,117_0,23,47.822563,-122.27804,1743,Alderwood Mall Blvd & 33rd Ave W,Community Transit,,,,,,YES,YES,NO,YES,53061051702,517.02,061,051702,Great
117,0,117_0,24,47.817442,-122.289748,1635,Alderwood Mall Blvd & 40th Ave W,Community Transit,,,,,,YES,YES,NO,YES,53061051402,514.02,061,051402,Great
117,0,117_0,25,47.816082,-122.296421,2035,Lynnwood City Center Station,Community Transit,,,,,,YES,YES,NO,YES,53061051402,514.02,061,051402,Great
117,1,117_1,1,47.816128,-122.296303,2119,Lynnwood City Center Station Bay B3,Community Transit,,,,,,YES,NO,NO,YES,53061051402,514.02,061,051402,Good
117,1,117_1,2,47.817254,-122.289819,250,Alderwood Mall Blvd & 44th Ave W,Community Transit,,,,,,YES,NO,NO,YES,53061051402,514.02,061,051402,Good
117,1,117_1,3,47.817441,-122.287441,262,Alderwood Mall Blvd & 40th Ave W,Community Transit,,,,,,YES,NO,NO,YES,53061051402,514.02,061,051402,Good
117,1,117_1,4,47.822757,-122.277329,371,Alderwood Mall Blvd & 33rd Ave W,Community Transit,,,,,,YES,NO,NO,YES,53061051802,518.02,061,051802,Good
117,1,117_1,5,47.826434,-122.270416,370,Alderwood Mall Blvd & 28th Ave W,Community Transit,,,,,,YES,NO,NO,YES,53061051802,518.02,061,051802,Good
117,1,117_1,6,47.829303,-122.268359,814,Alderwood Mall Pkwy & Beech Rd,Community Transit,,,,,,YES,YES,NO,YES,53061051802,518.02,061,051802,Good
117,1,117_1,7,47.831614,-122.268401,2431,Alderwood Mall Pkwy & 184th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051802,518.02,061,051802,Good
117,1,117_1,8,47.836172,-122.27178,2432,Alderwood Mall Pkwy & Maple Rd,Community Transit,,,,,,YES,YES,NO,YES,53061051802,518.02,061,051802,Good
119,0,119_0,18,47.846698,-122.304119,1586,168th St SW & 52nd Ave W,Community Transit,,,,,,YES,NO,NO,YES,53061051601,516.01,061,051601,Great
119,0,119_0,19,47.846689,-122.313829,1587,168th St SW & 60th Ave W,Community Transit,,,,,,YES,NO,NO,YES,53061051601,516.01,061,051601,Great
119,0,119_0,20,47.84463,-122.319553,1430,Olympic View Dr & 170th Pl SW,Community Transit,,,,,,YES,NO,NO,YES,53061050200,502,061,050200,Great
119,0,119_0,21,47.84284,-122.322068,1427,Olympic View Dr & 172nd St SW,Community Transit,,,,,,YES,NO,NO,YES,53061051601,516.01,061,051601,Great
119,0,119_0,22,47.836596,-122.32516,2930,Olympic View Dr & 180th St SW,Community Transit,,,,,,YES,NO,NO,YES,53061050200,502,061,050200,Great
119,0,119_0,23,47.833643,-122.328453,2929,Olympic View Dr & 181st Pl W,Community Transit,,,,,,YES,NO,NO,YES,53061050200,502,061,050200,Great
119,0,119_0,24,47.830321,-122.332313,2928,Olympic View Dr & 73rd Ave W,Community Transit,,,,,,YES,NO,NO,YES,53061050200,502,061,050200,Great
119,0,119_0,28,47.820335,-122.335965,1251,76th Ave W & 196th St SW,Community Transit,,,,,,YES,NO,NO,YES,53061051500,515,061,051500,Great
119,1,119_1,15,47.81265,-122.335673,774,76th Ave W & 206th St SW,Community Transit,,,,,,YES,NO,NO,YES,53061051500,515,061,051500,Good
119,1,119_1,18,47.819553,-122.335765,766,76th Ave W & 198th St SW,Community Transit,,,,,,YES,NO,NO,YES,53061051500,515,061,051500,Good
119,1,119_1,19,47.821864,-122.335772,2933,76th Ave W & 196th St SW,Community Transit,,,,,,YES,NO,NO,YES,53061051500,515,061,051500,Good
119,1,119_1,20,47.826156,-122.335906,2934,76th Ave W & 190th St SW,Community Transit,,,,,,YES,NO,NO,YES,53061051500,515,061,051500,Good
119,1,119_1,21,47.83087,-122.337615,2935,76th Ave W & Olympic View Dr,Community Transit,,,,,,YES,NO,NO,YES,53061051500,515,061,051500,Good
119,1,119_1,22,47.830264,-122.332667,2927,Olympic View Dr & 73rd Ave W,Community Transit,,,,,,YES,NO,NO,YES,53061051500,515,061,051500,Good
119,1,119_1,23,47.833123,-122.328823,2926,Olympic View Dr & 181st Pl W,Community Transit,,,,,,YES,NO,NO,YES,53061051602,516.02,061,051602,Good
119,1,119_1,24,47.836748,-122.324952,2925,Olympic View Dr & 180th St SW,Community Transit,,,,,,YES,NO,NO,YES,53061051602,516.02,061,051602,Good
119,1,119_1,25,47.84284,-122.32188,940,Olympic View Dr & 172nd St SW,Community Transit,,,,,,YES,NO,NO,YES,53061051601,516.01,061,051601,Good
119,1,119_1,26,47.844597,-122.31936,934,Olympic View Dr & 170th Pl SW,Community Transit,,,,,,YES,NO,NO,YES,53061051601,516.01,061,051601,Good
