route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
201,0,201_0,4,48.145016,-122.183133,1450,Smokey Point Blvd & 166th Pl NE,Community Transit,,,,,,YES,YES,NO,YES,53061052803,528.03,061,052803,Great
201,0,201_0,5,48.136875,-122.183265,1447,Smokey Point Blvd & 156th St NE,Community Transit,,,,,,YES,YES,NO,YES,53061052803,528.03,061,052803,Great
201,0,201_0,6,48.13394,-122.18334,2762,Smokey Point Blvd & 152nd St NE,Community Transit,,,,,,YES,YES,NO,YES,53061052803,528.03,061,052803,Great
201,0,201_0,7,48.129714,-122.183574,2891,Smokey Point Blvd & 147th St NE,Community Transit,,,,,,YES,YES,NO,YES,53061052803,528.03,061,052803,Great
201,0,201_0,8,48.125772,-122.184088,2890,Smokey Point Blvd & 142nd St NE,Community Transit,,,,,,YES,YES,NO,YES,53061052803,528.03,061,052803,Great
201,0,201_0,9,48.117936,-122.181812,2477,State Ave & 136th St NE,Community Transit,,,,,,YES,YES,NO,YES,53061052803,528.03,061,052803,Great
201,0,201_0,10,48.111091,-122.179369,2729,State Ave & 128th St NE,Community Transit,,,,,,YES,YES,NO,YES,53061052803,528.03,061,052803,Great
201,0,201_0,11,48.099532,-122.175212,2474,State Ave & 116th St NE,Community Transit,,,,,,YES,YES,NO,YES,53061052805,528.05,061,052805,Great
201,0,201_0,12,48.091073,-122.173579,2480,State Ave & 105th Pl NE,Community Transit,,,,,,YES,YES,NO,YES,53061052805,528.05,061,052805,Great
201,0,201_0,13,48.083707,-122.172991,1522,State Ave & 100th St NE,Community Transit,,,,,,YES,YES,NO,YES,53061052805,528.05,061,052805,Great
201,0,201_0,14,48.079528,-122.175008,23,State Ave & 92nd St NE,Community Transit,,,,,,YES,YES,NO,YES,53061052805,528.05,061,052805,Great
201,0,201_0,15,48.075233,-122.176201,1527,State Ave & 88th St NE,Community Transit,,,,,,YES,YES,NO,YES,53061052905,529.05,061,052905,Great
201,0,201_0,16,48.072185,-122.176679,1529,State Ave & 84th St NE,Community Transit,,,,,,YES,YES,NO,YES,53061052905,529.05,061,052905,Great
201,0,201_0,17,48.067308,-122.177047,1526,State Ave & 80th St NE,Community Transit,,,,,,YES,YES,NO,YES,53061052905,529.05,061,052905,Great
201,0,201_0,18,48.06454,-122.177039,1531,State Ave & 76th St NE,Community Transit,,,,,,YES,YES,NO,YES,53061052905,529.05,061,052905,Great
201,0,201_0,19,48.060849,-122.177053,1528,State Ave & Grove St,Community Transit,,,,,,YES,YES,NO,YES,53061052903,529.03,061,052903,Great
201,0,201_0,20,48.058471,-122.177081,1530,State Ave & 10th St,Community Transit,,,,,,YES,YES,NO,YES,53061052903,529.03,061,052903,Great
201,0,201_0,21,48.054847,-122.177103,1525,State Ave & 7th St,Community Transit,,,,,,YES,YES,NO,YES,53061052903,529.03,061,052903,Great
201,0,201_0,22,48.053396,-122.177134,1524,State Ave & 6th St,Community Transit,,,,,,YES,YES,NO,YES,53061052903,529.03,061,052903,Great
201,0,201_0,23,48.050261,-122.177177,1523,State Ave & 2nd St,Community Transit,,,,,,YES,YES,NO,YES,53061052903,529.03,061,052903,Great
201,1,201_1,16,48.049414,-122.176887,1034,State Ave & 1st St,Community Transit,,,,,,YES,YES,NO,YES,53061052903,529.03,061,052903,Great
201,1,201_1,17,48.05311,-122.176858,1026,State Ave & 5th St,Community Transit,,,,,,YES,YES,NO,YES,53061052903,529.03,061,052903,Great
201,1,201_1,18,48.055033,-122.176839,1027,State Ave & 7th St,Community Transit,,,,,,YES,YES,NO,YES,53061052903,529.03,061,052903,Great
201,1,201_1,19,48.057483,-122.176812,1035,State Ave & 10th St,Community Transit,,,,,,YES,YES,NO,YES,53061052903,529.03,061,052903,Great
201,1,201_1,20,48.061892,-122.176752,1033,State Ave & Grove St,Community Transit,,,,,,YES,YES,NO,YES,53061052905,529.05,061,052905,Great
201,1,201_1,21,48.065424,-122.176761,1028,State Ave & 76th St NE,Community Transit,,,,,,YES,YES,NO,YES,53061052905,529.05,061,052905,Great
201,1,201_1,22,48.068896,-122.17679,1029,State Ave & 80th St NE,Community Transit,,,,,,YES,YES,NO,YES,53061052905,529.05,061,052905,Great
201,1,201_1,23,48.072256,-122.176394,1030,State Ave & 84th St NE,Community Transit,,,,,,YES,YES,NO,YES,53061052905,529.05,061,052905,Great
201,1,201_1,24,48.076404,-122.175746,1031,State Ave & 88th St NE,Community Transit,,,,,,YES,YES,NO,YES,53061052805,528.05,061,052805,Great
201,1,201_1,25,48.079634,-122.174689,1032,State Ave & 92nd St NE,Community Transit,,,,,,YES,YES,NO,YES,53061052805,528.05,061,052805,Great
201,1,201_1,26,48.086152,-122.172339,2690,State Ave & 100th St NE,Community Transit,,,,,,YES,YES,NO,YES,53061052805,528.05,061,052805,Great
201,1,201_1,27,48.09198,-122.17327,2479,State Ave & 106th Pl NE,Community Transit,,,,,,YES,YES,NO,YES,53061052805,528.05,061,052805,Great
201,1,201_1,28,48.100326,-122.175193,2473,State Ave & 116th St NE,Community Transit,,,,,,YES,YES,NO,YES,53061052807,528.07,061,052807,Great
201,1,201_1,29,48.103429,-122.176316,3073,State Ave & 122nd St NE,Community Transit,,,,,,YES,YES,NO,YES,53061052807,528.07,061,052807,Great
201,1,201_1,30,48.110614,-122.178921,2728,State Ave & 128th St NE,Community Transit,,,,,,YES,YES,NO,YES,53061052807,528.07,061,052807,Great
201,1,201_1,31,48.119072,-122.181912,2478,Smokey Point Blvd & 136th St NE,Community Transit,,,,,,YES,YES,NO,YES,53061052803,528.03,061,052803,Great
201,1,201_1,32,48.126288,-122.183691,2888,Smokey Point Blvd & 142nd St NE,Community Transit,,,,,,YES,YES,NO,YES,53061052803,528.03,061,052803,Great
201,1,201_1,33,48.130762,-122.18314,2889,Smokey Point Blvd & 147th St NE,Community Transit,,,,,,YES,YES,NO,YES,53061052803,528.03,061,052803,Great
201,1,201_1,34,48.134498,-122.183027,954,Smokey Point Blvd & 152nd St NE,Community Transit,,,,,,YES,YES,NO,YES,53061052803,528.03,061,052803,Great
201,1,201_1,35,48.138339,-122.182942,959,Smokey Point Blvd & 156th St NE,Community Transit,,,,,,YES,YES,NO,YES,53061052803,528.03,061,052803,Great
202,0,202_0,6,48.134019,-122.162149,3368,51st Ave NE & 152nd St NE,Community Transit,,,,,,YES,YES,NO,YES,53061052803,528.03,061,052803,Great
