route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
67967,0,67967_0,2,47.178694,-119.322778,3879488,Patton Blvd / Craig Blvd NE,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010800,108,025,010800,Acceptable
67967,0,67967_0,6,47.167611,-119.314722,3879483,Westover Blvd / Patton Blvd,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010800,108,025,010800,Acceptable
67967,0,67967_0,7,47.1645,-119.312111,3879493,Loring Dr / Patton Blvd,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010800,108,025,010800,Acceptable
67967,0,67967_0,16,47.138389,-119.306306,3879503,Fairgrounds - Blue Gate / Crestview Christian School & Brite Beginnings on W Valley Rd NE,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010904,109.04,025,010904,Acceptable
67967,0,67967_0,17,47.138333,-119.298472,3879504,W Valley Rd NE / Paxson Dr,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010904,109.04,025,010904,Acceptable
67967,0,67967_0,18,47.138361,-119.296,3879505,Source of Life Church on W Valley Rd NE,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010904,109.04,025,010904,Acceptable
67967,0,67967_0,19,47.138361,-119.292583,3879506,Lake Valley Baptist Church on W Valley Rd NE,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010904,109.04,025,010904,Acceptable
67967,0,67967_0,20,47.138361,-119.289167,3879507,W Valley Rd NE / N Vista Dr,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010904,109.04,025,010904,Acceptable
67967,0,67967_0,21,47.138333,-119.283278,3879508,W Valley Rd NE / Central Dr,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010904,109.04,025,010904,Acceptable
67967,0,67967_0,22,47.138444,-119.280111,3879509,Circle K (Exxon) on W Valley Rd,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010904,109.04,025,010904,Acceptable
67967,0,67967_0,23,47.137194,-119.278556,3879510,Stratford Rd / Knolls Vista Dr,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010904,109.04,025,010904,Acceptable
67967,0,67967_0,24,47.1307108,-119.2721543,3879534,Moses Lake Public Library on 5th Ave,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025011102,111.02,025,011102,Acceptable
67967,0,67967_0,25,47.130083,-119.273417,3879512,Moses Lake Police Department on 5th Ave,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025011102,111.02,025,011102,Acceptable
67967,0,67967_0,26,47.128325,-119.277639,3879471,Multimodal Transit Center (MTC) BAY 4,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025011102,111.02,025,011102,Acceptable
67967,1,67967_1,1,47.128325,-119.277639,3879471,Multimodal Transit Center (MTC) BAY 4,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025011102,111.02,025,011102,Acceptable
67967,1,67967_1,2,47.129806,-119.273472,3879472,Worksource on 5th Ave,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025011102,111.02,025,011102,Acceptable
67967,1,67967_1,3,47.133778,-119.2685,3879473,Fairchild Cinema on N Block St,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025011002,110.02,025,011002,Acceptable
67967,1,67967_1,4,47.137844,-119.26526,3879474,Cenex on 3rd Ave,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025011002,110.02,025,011002,Acceptable
67967,1,67967_1,5,47.145639,-119.278167,3879475,Grocery Outlet on Stratford,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010903,109.03,025,010903,Acceptable
67967,1,67967_1,10,47.150444,-119.29425,3879480,Grape Dr / Beacon Rd NE,Grant Transit Authority,,,,,,NO,NO,NO,NO,53025010903,109.03,025,010903,Acceptable
