route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
42954,0,42954_0,3,48.41847,-122.334738,MVW,Mount Vernon Amtrak Station,Amtrak,,,,,,NO,NO,NO,NO,53057952500,9525,057,952500,Ok
42954,1,42954_1,2,48.41847,-122.334738,MVW,Mount Vernon Amtrak Station,Amtrak,,,,,,NO,NO,NO,NO,53057952500,9525,057,952500,Ok
60,0,60_0,11,48.41847,-122.334738,MVW,Mount Vernon Amtrak Station,Amtrak,,,,,,NO,NO,NO,NO,53057952500,9525,057,952500,Acceptable
32467,0,32467_0,12,48.418358,-122.33418,3449654,Skagit Station,Island Transit,,,,,,YES,NO,NO,YES,53057952500,9525,057,952500,Good
32467,1,32467_1,1,48.418358,-122.33418,3449654,Skagit Station,Island Transit,,,,,,YES,NO,NO,YES,53057952500,9525,057,952500,Good
202,0,202_0,1,48.4179364691935,-122.334012826324,6288,Skagit Station Gate 8,Skagit Transit,,,,,,YES,YES,NO,YES,53057952500,9525,057,952500,Good
202,0,202_0,2,48.41677,-122.337833,1278,2nd Street and Broadway,Skagit Transit,,,,,,NO,NO,NO,YES,53057952500,9525,057,952500,Good
202,0,202_0,3,48.41559,-122.337916,1279,2nd Street and Snoqualmie Street,Skagit Transit,,,,,,NO,NO,NO,YES,53057952500,9525,057,952500,Good
202,0,202_0,4,48.413679,-122.337927,1280,2nd Street and Section Street,Skagit Transit,,,,,,NO,NO,NO,YES,53057952500,9525,057,952500,Good
202,0,202_0,5,48.41214,-122.337954,1281,2nd Street and Hazel Street,Skagit Transit,,,,,,NO,NO,NO,YES,53057952500,9525,057,952500,Good
202,0,202_0,6,48.409259,-122.338046,1202,Helping Hands Food Bank,Skagit Transit,,,,,,NO,NO,NO,YES,53057952500,9525,057,952500,Good
202,0,202_0,7,48.407567,-122.337433,1203,Mount Vernon Department of Licensing,Skagit Transit,,,,,,YES,YES,NO,YES,53057952500,9525,057,952500,Good
202,0,202_0,8,48.406648,-122.338959,1204,Blackburn & Cleveland,Skagit Transit,,,,,,NO,NO,NO,YES,53057952500,9525,057,952500,Good
202,0,202_0,9,48.406644,-122.342731,1205,Blackburn and Walter,Skagit Transit,,,,,,NO,NO,NO,YES,53057952500,9525,057,952500,Good
202,0,202_0,10,48.408197,-122.347308,1206,Blackburn and Brit,Skagit Transit,,,,,,NO,NO,NO,YES,53057952500,9525,057,952500,Good
202,0,202_0,11,48.409439,-122.347583,1207,Britt Rd at Vera CT,Skagit Transit,,,,,,NO,NO,NO,YES,53057952500,9525,057,952500,Good
202,0,202_0,12,48.411926,-122.34367,1208,Hazel and Douglas,Skagit Transit,,,,,,NO,NO,NO,YES,53057952500,9525,057,952500,Good
202,0,202_0,13,48.411564,-122.339132,1282,Cleveland and Hazel Street,Skagit Transit,,,,,,NO,NO,NO,YES,53057952500,9525,057,952500,Good
202,0,202_0,14,48.407928,-122.339202,1283,Cleveland and Taylor Street,Skagit Transit,,,,,,NO,NO,NO,YES,53057952500,9525,057,952500,Good
202,0,202_0,15,48.407567,-122.337433,1203,Mount Vernon Department of Licensing,Skagit Transit,,,,,,YES,YES,NO,YES,53057952500,9525,057,952500,Good
202,0,202_0,16,48.404975,-122.335644,1209,Highway 99 & Chenoweth St,Skagit Transit,,,,,,NO,NO,NO,YES,53057952600,9526,057,952600,Good
202,0,202_0,17,48.400584,-122.335644,1217,Highway 99 at Loving Farms,Skagit Transit,,,,,,NO,NO,NO,YES,53057952600,9526,057,952600,Good
202,0,202_0,18,48.389979,-122.335853,1210,Highway 99 & Redemption Way,Skagit Transit,,,,,,NO,NO,NO,YES,53057952600,9526,057,952600,Good
202,0,202_0,19,48.385761,-122.336349,6500,South Mount Vernon Park & Ride,Skagit Transit,,,,,,NO,NO,NO,YES,53057952600,9526,057,952600,Good
202,0,202_0,20,48.393633,-122.335539,1211,Skagit County Justice Center,Skagit Transit,,,,,,NO,NO,NO,YES,53057952600,9526,057,952600,Good
202,0,202_0,21,48.400094,-122.335421,1212,Hwy 99 and Anderson Road,Skagit Transit,,,,,,NO,NO,NO,YES,53057952600,9526,057,952600,Good
202,0,202_0,22,48.404718,-122.335423,1213,Hwy 99 at Evergreen Trailer Court,Skagit Transit,,,,,,NO,NO,NO,YES,53057952600,9526,057,952600,Good
202,0,202_0,23,48.410144,-122.337811,1214,South 2nd Street & Vera,Skagit Transit,,,,,,NO,NO,NO,YES,53057952500,9525,057,952500,Good
202,0,202_0,24,48.414469,-122.33771,1215,Compass Health,Skagit Transit,,,,,,NO,NO,NO,YES,53057952500,9525,057,952500,Good
202,0,202_0,25,48.41688,-122.337647,1216,2nd and West Broadway,Skagit Transit,,,,,,NO,NO,NO,YES,53057952500,9525,057,952500,Good
202,0,202_0,26,48.418187,-122.336025,3442,3rd St & w. Kincaid,Skagit Transit,,,,,,NO,NO,NO,YES,53057952500,9525,057,952500,Good
202,0,202_0,27,48.4181108127898,-122.334016849638,6277,Skagit Station Gate 7,Skagit Transit,,,,,,YES,YES,NO,YES,53057952500,9525,057,952500,Good
204,0,204_0,1,48.4182811330724,-122.334019531847,6266,Skagit Station Gate 6,Skagit Transit,,,,,,YES,YES,NO,YES,53057952500,9525,057,952500,Good
204,0,204_0,2,48.415578,-122.327158,1218,Broad Street and 11th Street,Skagit Transit,,,,,,NO,NO,NO,YES,53057952401,9524.01,057,952401,Good
204,0,204_0,3,48.416878,-122.322859,1219,15th Street and Broadway,Skagit Transit,,,,,,NO,NO,NO,YES,53057952401,9524.01,057,952401,Good
204,0,204_0,4,48.419279,-122.322878,1220,15th Street and Division,Skagit Transit,,,,,,NO,NO,NO,YES,53057952401,9524.01,057,952401,Good
204,0,204_0,5,48.422975,-122.322865,1221,15th Street Park,Skagit Transit,,,,,,NO,NO,NO,YES,53057952303,9523.03,057,952303,Good
204,0,204_0,6,48.426933,-122.322942,1222,15th Street and Spruce Street,Skagit Transit,,,,,,NO,NO,NO,YES,53057952303,9523.03,057,952303,Good
204,0,204_0,7,48.429033,-122.318803,1223,18th Street and Fir Street,Skagit Transit,,,,,,NO,NO,NO,YES,53057952200,9522,057,952200,Good
204,0,204_0,8,48.432378,-122.318802,1224,18th Street and Viewmont Drive,Skagit Transit,,,,,,NO,NO,NO,YES,53057952200,9522,057,952200,Good
204,0,204_0,9,48.43465,-122.318765,1225,18th Street and College Way,Skagit Transit,,,,,,NO,NO,NO,YES,53057952200,9522,057,952200,Good
204,0,204_0,10,48.435549,-122.317214,1226,College Way and North 19th Street,Skagit Transit,,,,,,NO,NO,NO,YES,53057952200,9522,057,952200,Good
204,0,204_0,11,48.435507,-122.312457,1227,College Way & LaVenture at McDonalds,Skagit Transit,,,,,,NO,NO,NO,YES,53057952301,9523.01,057,952301,Good
204,0,204_0,12,48.435481,-122.307625,1319,College Way at Sunrise Services,Skagit Transit,,,,,,NO,NO,NO,YES,53057952301,9523.01,057,952301,Good
204,0,204_0,13,48.435489,-122.305673,1320,College Way at J.J. Place,Skagit Transit,,,,,,NO,NO,NO,YES,53057952301,9523.01,057,952301,Good
204,0,204_0,14,48.435482,-122.303422,1321,College Way 1/2 block west of 30th St.,Skagit Transit,,,,,,NO,NO,NO,YES,53057952301,9523.01,057,952301,Good
204,0,204_0,15,48.435437,-122.290703,1240,College Way and Waugh,Skagit Transit,,,,,,NO,NO,NO,YES,53057952304,9523.04,057,952304,Good
204,0,204_0,16,48.434758,-122.280097,1241,College Way at 7Th Day Adventist Church,Skagit Transit,,,,,,NO,NO,NO,YES,53057952304,9523.04,057,952304,Good
204,0,204_0,17,48.429933,-122.268821,1242,Wa  538 and Skagit Highlands Pkwy,Skagit Transit,,,,,,NO,NO,NO,YES,53057952304,9523.04,057,952304,Good
204,0,204_0,18,48.427938,-122.277688,1346,Skagit Highlands Parkway near Mount Baker Loop,Skagit Transit,,,,,,NO,NO,NO,YES,53057952304,9523.04,057,952304,Good
204,0,204_0,19,48.426125,-122.278677,1345,Skagit Highlands Parkway north of Skagit River Pl.,Skagit Transit,,,,,,NO,NO,NO,YES,53057952304,9523.04,057,952304,Good
204,0,204_0,20,48.423761,-122.278497,1344,Skagit Highlands and Glacier,Skagit Transit,,,,,,NO,NO,NO,YES,53057952304,9523.04,057,952304,Good
204,0,204_0,21,48.420985,-122.279359,1343,Fire Station 3 Skagit Highlands,Skagit Transit,,,,,,NO,NO,NO,YES,53057952304,9523.04,057,952304,Good
204,0,204_0,22,48.420984,-122.283702,1342,Division and Waugh,Skagit Transit,,,,,,NO,NO,NO,YES,53057952304,9523.04,057,952304,Good
204,0,204_0,23,48.421009,-122.289065,1248,Division & 39th Place,Skagit Transit,,,,,,NO,NO,NO,YES,53057952304,9523.04,057,952304,Good
204,0,204_0,24,48.421032,-122.295031,1249,Division & Sioux,Skagit Transit,,,,,,NO,NO,NO,YES,53057952304,9523.04,057,952304,Good
204,0,204_0,25,48.421052,-122.300567,1250,Division & 30th Place,Skagit Transit,,,,,,NO,NO,NO,YES,53057952303,9523.03,057,952303,Good
204,0,204_0,26,48.421058,-122.3061,1251,Division & Trumpeter Trail,Skagit Transit,,,,,,NO,NO,NO,YES,53057952303,9523.03,057,952303,Good
204,0,204_0,27,48.42107,-122.309721,1243,MV Haggen,Skagit Transit,,,,,,NO,NO,NO,YES,53057952303,9523.03,057,952303,Good
204,0,204_0,28,48.424175,-122.31328,1252,LaVenture Rd at LaVenture Village,Skagit Transit,,,,,,NO,NO,NO,YES,53057952303,9523.03,057,952303,Good
204,0,204_0,29,48.428259,-122.312031,1244,Fir St & Cedar Court,Skagit Transit,,,,,,NO,NO,NO,YES,53057952303,9523.03,057,952303,Good
204,0,204_0,30,48.428223,-122.30601,1245,Mt Vernon Church of the Nazarene,Skagit Transit,,,,,,NO,NO,NO,YES,53057952303,9523.03,057,952303,Good
204,0,204_0,31,48.428208,-122.303001,1246,Fir & 30th Eastbound,Skagit Transit,,,,,,NO,NO,NO,YES,53057952303,9523.03,057,952303,Good
204,0,204_0,32,48.428529,-122.291703,1341,Waugh and Fir,Skagit Transit,,,,,,NO,NO,NO,YES,53057952304,9523.04,057,952304,Good
204,0,204_0,33,48.43186,-122.291712,1340,Waugh and Seneca,Skagit Transit,,,,,,NO,NO,NO,YES,53057952304,9523.04,057,952304,Good
204,0,204_0,34,48.43485,-122.291702,1415,N Waugh & College Way,Skagit Transit,,,,,,NO,NO,NO,YES,53057952304,9523.04,057,952304,Good
204,0,204_0,35,48.436948,-122.297672,4204,N 33rd Pl,Skagit Transit,,,,,,NO,NO,NO,YES,53057952301,9523.01,057,952301,Good
204,0,204_0,36,48.436007,-122.296103,4205,North 33rd Place & College Way,Skagit Transit,,,,,,NO,NO,NO,YES,53057952301,9523.01,057,952301,Good
204,0,204_0,37,48.435688,-122.303728,4221,College Way & 30th Street,Skagit Transit,,,,,,NO,NO,NO,YES,53057952301,9523.01,057,952301,Good
204,0,204_0,38,48.436462,-122.30963,1228,Skagit Valley College,Skagit Transit,,,,,,YES,YES,NO,YES,53057952301,9523.01,057,952301,Good
204,0,204_0,39,48.433178,-122.313525,1229,LaVenture and Kulshan,Skagit Transit,,,,,,NO,NO,NO,YES,53057952200,9522,057,952200,Good
204,0,204_0,40,48.427859,-122.313584,1230,LaVenture and Fir Street,Skagit Transit,,,,,,NO,NO,NO,YES,53057952303,9523.03,057,952303,Good
204,0,204_0,41,48.425451,-122.313522,1231,LaVenture and Jamine Place/Cascade Avenue,Skagit Transit,,,,,,NO,NO,NO,YES,53057952303,9523.03,057,952303,Good
204,0,204_0,42,48.42346,-122.313489,1232, LaVenture at Courtyard Garden Apartments,Skagit Transit,,,,,,NO,NO,NO,YES,53057952303,9523.03,057,952303,Good
204,0,204_0,43,48.421596,-122.313486,1233,LaVenture and Division Street,Skagit Transit,,,,,,NO,NO,NO,YES,53057952303,9523.03,057,952303,Good
204,0,204_0,44,48.421099,-122.317025,1234,Division and Stanford Drive,Skagit Transit,,,,,,NO,NO,NO,YES,53057952303,9523.03,057,952303,Good
204,0,204_0,45,48.421117,-122.321883,1290,Division and 15th Street,Skagit Transit,,,,,,NO,NO,NO,YES,53057952303,9523.03,057,952303,Good
204,0,204_0,46,48.419149,-122.323065,1275,Hospital,Skagit Transit,,,,,,NO,NO,NO,YES,53057952401,9524.01,057,952401,Good
204,0,204_0,47,48.415954,-122.32306,1238,15th Street and Broad Street,Skagit Transit,,,,,,NO,NO,NO,YES,53057952401,9524.01,057,952401,Good
204,0,204_0,48,48.415736,-122.328084,1239,Broad Street and 11th Street,Skagit Transit,,,,,,NO,NO,NO,YES,53057952401,9524.01,057,952401,Good
204,0,204_0,49,48.417860026232,-122.334231426372,6244,Skagit Station Gate 4,Skagit Transit,,,,,,NO,NO,NO,YES,53057952500,9525,057,952500,Good
205,0,205_0,1,48.4182811330724,-122.334019531847,6266,Skagit Station Gate 6,Skagit Transit,,,,,,YES,YES,NO,YES,53057952500,9525,057,952500,Good
