route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
102,1,102_1,20,47.80658,-122.317567,3335,212th St SW & 63rd Ave W,Community Transit,,,,,,YES,NO,NO,YES,53061051401,514.01,061,051401,Great
102,1,102_1,21,47.806468,-122.314829,3338,212th St SW & 212th Pl SW,Community Transit,,,,,,YES,NO,NO,YES,53061051000,510,061,051000,Great
102,1,102_1,22,47.806385,-122.307619,3336,212th St SW & 55th Ave W,Community Transit,,,,,,YES,NO,NO,YES,53061051000,510,061,051000,Great
111,0,111_0,10,47.791891,-122.287162,1682,228th St SW & 39th Ave W,Community Transit,,,,,,NO,NO,NO,NO,53061051301,513.01,061,051301,Good
111,0,111_0,11,47.791946,-122.290308,1683,228th St SW & 42nd Pl W,Community Transit,,,,,,NO,NO,NO,NO,53061051302,513.02,061,051302,Good
111,0,111_0,12,47.791982,-122.294887,2774,228th St SW & 46th Ave W,Community Transit,,,,,,NO,NO,NO,NO,53061051302,513.02,061,051302,Good
111,0,111_0,13,47.791542,-122.29775,1160,48th Ave W & 228th St SW,Community Transit,,,,,,NO,NO,NO,NO,53061051200,512,061,051200,Good
111,0,111_0,14,47.787124,-122.297727,1161,48th Ave W & 233rd St SW,Community Transit,,,,,,NO,NO,NO,NO,53061051100,511,061,051100,Good
111,0,111_0,15,47.784747,-122.29853,1695,236th St SW & 48th Ave W,Community Transit,,,,,,YES,YES,NO,YES,53061051100,511,061,051100,Good
111,0,111_0,16,47.784772,-122.300836,1696,236th St SW & 50th Ave W,Community Transit,,,,,,YES,YES,NO,YES,53061051100,511,061,051100,Good
111,0,111_0,17,47.784802,-122.303647,1697,236th St SW & 52nd Ave W,Community Transit,,,,,,YES,YES,NO,YES,53061051100,511,061,051100,Good
111,0,111_0,18,47.784828,-122.306131,1698,236th St SW & 54th Ave W,Community Transit,,,,,,YES,YES,NO,YES,53061051100,511,061,051100,Good
111,0,111_0,19,47.784864,-122.309448,1699,236th St SW & 56th Ave W,Community Transit,,,,,,YES,YES,NO,YES,53061051100,511,061,051100,Good
111,0,111_0,20,47.784921,-122.313254,2644,236th St SW & Van Ry Blvd,Community Transit,,,,,,YES,YES,NO,YES,53061051100,511,061,051100,Good
111,0,111_0,21,47.78536,-122.315023,2097,Mountlake Terrace Station Bay 1,Community Transit,,,,,,YES,YES,NO,YES,53061051100,511,061,051100,Good
111,1,111_1,1,47.78536,-122.315023,2097,Mountlake Terrace Station Bay 1,Community Transit,,,,,,YES,YES,NO,YES,53061051100,511,061,051100,Good
111,1,111_1,2,47.78475,-122.311336,322,236th St SW & 58th Ave W,Community Transit,,,,,,YES,YES,NO,YES,53061051100,511,061,051100,Good
111,1,111_1,3,47.78471,-122.307383,321,236th St SW & 56th Ave W,Community Transit,,,,,,YES,YES,NO,YES,53061051100,511,061,051100,Good
111,1,111_1,4,47.784686,-122.305212,320,236th St SW & 54th Ave W,Community Transit,,,,,,YES,YES,NO,YES,53061051100,511,061,051100,Good
111,1,111_1,5,47.784657,-122.302394,319,236th St SW & 52nd Ave W,Community Transit,,,,,,YES,YES,NO,YES,53061051100,511,061,051100,Good
111,1,111_1,6,47.784635,-122.300439,324,236th St SW & 50th Ave W,Community Transit,,,,,,YES,YES,NO,YES,53061051100,511,061,051100,Good
111,1,111_1,7,47.787473,-122.297528,675,48th Ave W & 233rd St SW,Community Transit,,,,,,NO,NO,NO,NO,53061051302,513.02,061,051302,Good
111,1,111_1,8,47.791695,-122.297546,2771,48th Ave W & 228th St SW,Community Transit,,,,,,NO,NO,NO,NO,53061051302,513.02,061,051302,Good
111,1,111_1,9,47.791838,-122.29397,2763,228th St SW & 45th Pl W,Community Transit,,,,,,NO,NO,NO,NO,53061051302,513.02,061,051302,Good
111,1,111_1,10,47.791789,-122.289755,312,228th St SW & 42nd Pl W,Community Transit,,,,,,NO,NO,NO,NO,53061051302,513.02,061,051302,Good
111,1,111_1,11,47.791755,-122.286994,310,228th St SW & 39th Pl W,Community Transit,,,,,,NO,NO,NO,NO,53061051302,513.02,061,051302,Good
112,0,112_0,23,47.805942,-122.292491,1133,44th Ave W & 212th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051301,513.01,061,051301,Great
112,0,112_0,24,47.801695,-122.292483,1144,44th Ave W & Hawk Way,Community Transit,,,,,,YES,YES,NO,YES,53061051301,513.01,061,051301,Great
112,0,112_0,25,47.799179,-122.292403,1134,44th Ave W & 221st Pl SW,Community Transit,,,,,,YES,YES,NO,YES,53061051301,513.01,061,051301,Great
112,0,112_0,26,47.797366,-122.292382,1135,44th Ave W & 222nd St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051301,513.01,061,051301,Great
112,0,112_0,27,47.795881,-122.292384,1136,44th Ave W & 224th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051301,513.01,061,051301,Great
112,0,112_0,28,47.793782,-122.292339,1145,44th Ave W & 226th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051302,513.02,061,051302,Great
112,0,112_0,29,47.791596,-122.292339,1137,44th Ave W & 228th St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051302,513.02,061,051302,Great
112,0,112_0,30,47.789529,-122.292201,1138,44th Ave W & 230th Pl SW,Community Transit,,,,,,YES,YES,NO,YES,53061051302,513.02,061,051302,Great
112,0,112_0,31,47.78796,-122.291697,1332,Cedar Way & 232nd St SW,Community Transit,,,,,,YES,YES,NO,YES,53061051302,513.02,061,051302,Great
112,0,112_0,32,47.784752,-122.292425,1701,236th St SW & 44th Pl W,Community Transit,,,,,,YES,YES,NO,YES,53061051302,513.02,061,051302,Great
112,0,112_0,33,47.784747,-122.29853,1695,236th St SW & 48th Ave W,Community Transit,,,,,,YES,YES,NO,YES,53061051100,511,061,051100,Great
112,0,112_0,34,47.784772,-122.300836,1696,236th St SW & 50th Ave W,Community Transit,,,,,,YES,YES,NO,YES,53061051100,511,061,051100,Great
112,0,112_0,35,47.784802,-122.303647,1697,236th St SW & 52nd Ave W,Community Transit,,,,,,YES,YES,NO,YES,53061051100,511,061,051100,Great
