route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
103,0,103_0,6,47.92218,-122.293731,2486,84th St SW & 44th Ave W,Community Transit,,,,,,YES,NO,YES,YES,53061041301,413.01,061,041301,Great
103,0,103_0,7,47.921573,-122.300328,1457,Hwy 525 & 84th St SW,Community Transit,,,,,,YES,YES,YES,YES,53061042001,420.01,061,042001,Great
103,0,103_0,8,47.918237,-122.300139,1458,Hwy 525 & 88th St SW,Community Transit,,,,,,YES,YES,YES,YES,53061042001,420.01,061,042001,Great
103,0,103_0,9,47.914784,-122.297211,1459,Hwy 525 & 92nd St SW,Community Transit,,,,,,YES,YES,NO,YES,53061042001,420.01,061,042001,Great
103,0,103_0,10,47.905117,-122.29552,1393,Harbour Pointe Blvd & 47th Pl W,Community Transit,,,,,,YES,NO,NO,YES,53061042001,420.01,061,042001,Great
103,0,103_0,11,47.904256,-122.296705,1150,47th Pl W & Harbour Pointe Blvd,Community Transit,,,,,,YES,NO,NO,YES,53061042006,420.06,061,042006,Great
103,0,103_0,12,47.90208,-122.296913,2424,47th Pl W & 106th St SW,Community Transit,,,,,,YES,NO,NO,YES,53061042006,420.06,061,042006,Great
103,0,103_0,13,47.900961,-122.294563,1148,47th Ave W & 107th St SW,Community Transit,,,,,,YES,NO,NO,YES,53061042006,420.06,061,042006,Great
103,0,103_0,14,47.898819,-122.295928,1149,47th Ave W & 109th St SW,Community Transit,,,,,,YES,NO,NO,YES,53061042006,420.06,061,042006,Great
103,0,103_0,15,47.895745,-122.297829,1770,Chennault Beach Rd & 47th Ave W,Community Transit,,,,,,YES,NO,NO,YES,53061042006,420.06,061,042006,Great
103,0,103_0,16,47.895433,-122.300538,846,Chennault Beach Rd & Harbour Reach Dr,Community Transit,,,,,,YES,NO,NO,YES,53061042006,420.06,061,042006,Great
103,0,103_0,17,47.897751,-122.304763,1389,Harbour Pointe Blvd & Chennault Beach Rd,Community Transit,,,,,,YES,NO,NO,YES,53061042001,420.01,061,042001,Great
103,0,103_0,18,47.895359,-122.308752,1391,Harbour Pointe Blvd & Harbour Heights Pkwy,Community Transit,,,,,,YES,NO,NO,YES,53061042005,420.05,061,042005,Great
103,0,103_0,19,47.893478,-122.311815,1392,Harbour Pointe Blvd & Saint Andrews Dr,Community Transit,,,,,,YES,NO,NO,YES,53061042005,420.05,061,042005,Great
103,0,103_0,20,47.887314,-122.31016,1390,Harbour Pointe Blvd & Double Eagle Dr,Community Transit,,,,,,YES,NO,NO,YES,53061042005,420.05,061,042005,Great
103,0,103_0,21,47.886098,-122.304001,432,Harbour Pointe Blvd SW & 52nd Pl W,Community Transit,,,,,,YES,NO,NO,YES,53061042005,420.05,061,042005,Great
103,0,103_0,22,47.886362,-122.298652,433,Harbour Pointe Blvd SW & Blue Heron Blvd,Community Transit,,,,,,YES,NO,NO,YES,53061042005,420.05,061,042005,Great
103,0,103_0,23,47.88691,-122.294677,435,Harbour Pointe Blvd SW & Harbour Reach Dr,Community Transit,,,,,,YES,NO,NO,YES,53061042005,420.05,061,042005,Great
103,0,103_0,24,47.889523,-122.284993,1462,Hwy 525 & Harbour Pointe Blvd SW,Community Transit,,,,,,YES,YES,NO,YES,53061042005,420.05,061,042005,Great
103,0,103_0,25,47.882195,-122.280916,1310,Beverly Park Rd & Hwy 525,Community Transit,,,,,,YES,NO,NO,YES,53061042005,420.05,061,042005,Great
103,0,103_0,26,47.88002,-122.285078,1313,Beverly Park Rd & 132nd St SW,Community Transit,,,,,,YES,NO,NO,YES,53061042005,420.05,061,042005,Great
103,0,103_0,27,47.876294,-122.289469,1309,Beverly Park Rd & Harbour Heights Rd,Community Transit,,,,,,YES,NO,NO,YES,53061042005,420.05,061,042005,Great
103,1,103_1,28,47.876718,-122.288644,818,Beverly Park Rd & 134th Pl SW,Community Transit,,,,,,YES,NO,NO,YES,53061042004,420.04,061,042004,Good
103,1,103_1,29,47.878987,-122.286102,817,Beverly Park Rd & 132nd St SW,Community Transit,,,,,,YES,NO,NO,YES,53061042004,420.04,061,042004,Good
103,1,103_1,30,47.881475,-122.281387,821,Beverly Park Rd & Hwy 525,Community Transit,,,,,,YES,NO,NO,YES,53061042004,420.04,061,042004,Good
103,1,103_1,31,47.883781,-122.280517,966,Hwy 525 & Beverly Park Rd,Community Transit,,,,,,YES,YES,NO,YES,53061041901,419.01,061,041901,Good
103,1,103_1,32,47.889424,-122.287111,1802,Harbour Pointe Blvd SW & Hwy 525,Community Transit,,,,,,YES,NO,NO,YES,53061042006,420.06,061,042006,Good
103,1,103_1,33,47.887037,-122.295076,1801,Harbour Pointe Blvd SW & Harbour Reach Dr,Community Transit,,,,,,YES,NO,NO,YES,53061042006,420.06,061,042006,Good
103,1,103_1,34,47.88652,-122.299423,1803,Harbour Pointe Blvd SW & Blue Heron Blvd,Community Transit,,,,,,YES,NO,NO,YES,53061042006,420.06,061,042006,Good
103,1,103_1,35,47.886141,-122.304832,895,Harbour Pointe Blvd SW & 52nd Pl W,Community Transit,,,,,,YES,NO,NO,YES,53061042006,420.06,061,042006,Good
103,1,103_1,36,47.888091,-122.310548,897,Harbour Pointe Blvd & Double Eagle Dr,Community Transit,,,,,,YES,NO,NO,YES,53061042006,420.06,061,042006,Good
103,1,103_1,37,47.893849,-122.311178,896,Harbour Pointe Blvd & N Grove Dr,Community Transit,,,,,,YES,NO,NO,YES,53061042006,420.06,061,042006,Good
103,1,103_1,38,47.895594,-122.30789,898,Harbour Pointe Blvd & Harbour Heights Pkwy,Community Transit,,,,,,YES,NO,NO,YES,53061042006,420.06,061,042006,Good
103,1,103_1,39,47.89764,-122.303239,401,Chennault Beach Rd & Harbour Pointe Blvd,Community Transit,,,,,,YES,NO,NO,YES,53061042006,420.06,061,042006,Good
103,1,103_1,40,47.895144,-122.299804,402,Chennault Beach Rd & Harbour Reach Dr,Community Transit,,,,,,YES,NO,NO,YES,53061042006,420.06,061,042006,Good
103,1,103_1,41,47.896264,-122.297402,665,47th Ave W & Chennault Beach Rd,Community Transit,,,,,,YES,NO,NO,YES,53061042006,420.06,061,042006,Good
103,1,103_1,42,47.898565,-122.295924,667,47th Ave W & 109th St SW,Community Transit,,,,,,YES,NO,NO,YES,53061042006,420.06,061,042006,Good
103,1,103_1,43,47.901284,-122.294908,1551,107th St SW & 47th Ave W,Community Transit,,,,,,YES,NO,NO,YES,53061042006,420.06,061,042006,Good
103,1,103_1,44,47.902472,-122.296639,2423,47th Pl W & 106th St SW,Community Transit,,,,,,YES,NO,NO,YES,53061042006,420.06,061,042006,Good
