route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
32471,0,32471_0,1,48.287553,-122.649007,3449688,Harbor Station Transfer Center Bayshore Dr,Island Transit,,,,,,YES,YES,YES,YES,53029970700,9707,029,970700,Great
32471,0,32471_0,2,48.28889782697422,-122.64383867325382,3449631,SE Bayshore Dr at SE Pioneer Way NB,Island Transit,,,,,,YES,YES,NO,YES,53029970900,9709,029,970900,Great
32471,0,32471_0,3,48.2927506314833,-122.643180423457,3449622,Midway Blvd at SE 6th Ave (Whidbey Playhouse),Island Transit,,,,,,NO,NO,NO,YES,53029970800,9708,029,970800,Great
32471,0,32471_0,4,48.296484,-122.643149,3449604,Midway Blvd at SE 4th Ave (Oak Harbor Elementary),Island Transit,,,,,,NO,NO,NO,YES,53029970800,9708,029,970800,Great
32471,0,32471_0,5,48.301106,-122.643172,3449621,Midway Blvd at NE 4th Ave,Island Transit,,,,,,YES,YES,NO,YES,53029970800,9708,029,970800,Great
32471,0,32471_0,6,48.304601,-122.643168,3449603,Midway Blvd at NE 8th Ave,Island Transit,,,,,,NO,NO,NO,YES,53029970800,9708,029,970800,Great
32471,0,32471_0,7,48.309336,-122.643799,3449554,Whidbey-Health (North),Island Transit,,,,,,NO,NO,NO,YES,53029970402,9704.02,029,970402,Great
32471,0,32471_0,8,48.3158136373726,-122.64743155066,3449619,Goldie Rd at 21st Court,Island Transit,,,,,,NO,NO,NO,YES,53029970402,9704.02,029,970402,Great
32471,1,32471_1,12,48.315841404355325,-122.64771246992944,3450323,Goldie Rd at NE 21st Ct,Island Transit,,,,,,NO,NO,NO,YES,53029970402,9704.02,029,970402,Great
32471,1,32471_1,13,48.30932,-122.643972,3449389,Goldie Rd (Whidbey Health) at Evergreen St,Island Transit,,,,,,NO,NO,NO,YES,53029970402,9704.02,029,970402,Great
32471,1,32471_1,14,48.30507520926028,-122.64351562720657,3449609,Midway at 8th (McDonalds),Island Transit,,,,,,NO,NO,NO,YES,53029970700,9707,029,970700,Great
32471,1,32471_1,15,48.301857,-122.643372,3449608,Midway Blvd at NE 5th Ave at Sears,Island Transit,,,,,,NO,NO,NO,YES,53029970700,9707,029,970700,Great
32471,1,32471_1,16,48.296573,-122.643415,3449607,Oak Harbor Elementary on SE Midway Blvd,Island Transit,,,,,,NO,NO,NO,YES,53029970700,9707,029,970700,Great
32471,1,32471_1,17,48.29375247008747,-122.64343312398796,3449592,Midway Blvd at SE 6th Ave,Island Transit,,,,,,NO,NO,NO,YES,53029970700,9707,029,970700,Great
32471,1,32471_1,18,48.287553,-122.649007,3449688,Harbor Station Transfer Center Bayshore Dr,Island Transit,,,,,,YES,YES,YES,YES,53029970700,9707,029,970700,Great
32474,0,32474_0,67,48.278778,-122.669378,3449759,SR 20 at 24th Ave,Island Transit,,,,,,NO,NO,NO,YES,53029970500,9705,029,970500,Great
32474,0,32474_0,68,48.2875401,-122.662989,3449434,Walmart at Erie St (NB),Island Transit,,,,,,YES,NO,NO,YES,53029970602,9706.02,029,970602,Great
32474,0,32474_0,69,48.28884,-122.66087,3449384,Barrington Dr at Walmart,Island Transit,,,,,,YES,YES,NO,YES,53029970602,9706.02,029,970602,Great
32474,0,32474_0,70,48.288979,-122.653876,3449495,Barrington Dr at Post Office,Island Transit,,,,,,YES,YES,YES,YES,53029970700,9707,029,970700,Great
32474,0,32474_0,71,48.291560702458895,-122.64856665099688,3449632,Island County District Court,Island Transit,,,,,,NO,NO,NO,YES,53029970700,9707,029,970700,Great
32474,0,32474_0,72,48.291806,-122.647064,3449430,SE 8th and Ireland St,Island Transit,,,,,,NO,NO,NO,YES,53029970700,9707,029,970700,Great
32474,0,32474_0,73,48.287553,-122.649007,3449688,Harbor Station Transfer Center Bayshore Dr,Island Transit,,,,,,YES,YES,YES,YES,53029970700,9707,029,970700,Great
32474,1,32474_1,1,48.287553,-122.649007,3449688,Harbor Station Transfer Center Bayshore Dr,Island Transit,,,,,,YES,YES,YES,YES,53029970700,9707,029,970700,Great
32474,1,32474_1,2,48.288979,-122.653876,3449495,Barrington Dr at Post Office,Island Transit,,,,,,YES,YES,YES,YES,53029970700,9707,029,970700,Great
32474,1,32474_1,3,48.288419,-122.659351,3449691,Barrington Dr at Haggens,Island Transit,,,,,,YES,YES,YES,YES,53029970602,9706.02,029,970602,Great
32474,1,32474_1,4,48.287122,-122.663235,3449590,Walmart at Erie St (SB),Island Transit,,,,,,YES,YES,YES,YES,53029970602,9706.02,029,970602,Great
32474,1,32474_1,5,48.282946,-122.669525,3449758,SR 20 at SW Swantown Ave,Island Transit,,,,,,YES,YES,YES,YES,53029970500,9705,029,970500,Great
32474,1,32474_1,6,48.278922,-122.669558,3449757,SR 20 at Haga Rd,Island Transit,,,,,,NO,NO,YES,YES,53029970500,9705,029,970500,Great
32482,0,32482_0,17,48.2827041,-122.6839954,3449721,SW Fort Nugent Ave at Fort Nugent Park,Island Transit,,,,,,NO,NO,NO,NO,53029970500,9705,029,970500,Great
32482,0,32482_0,18,48.284025844292,-122.674935942011,3449574,Fort Nugent at Stremler Dr,Island Transit,,,,,,YES,NO,NO,NO,53029970500,9705,029,970500,Great
32482,0,32482_0,19,48.2875401,-122.662989,3449434,Walmart at Erie St (NB),Island Transit,,,,,,YES,NO,NO,YES,53029970602,9706.02,029,970602,Great
32482,0,32482_0,20,48.28884,-122.66087,3449384,Barrington Dr at Walmart,Island Transit,,,,,,YES,YES,NO,YES,53029970602,9706.02,029,970602,Great
32482,0,32482_0,21,48.287864,-122.654293,3449418,Pioneer at Ace Hardware,Island Transit,,,,,,YES,YES,NO,NO,53029970700,9707,029,970700,Great
