route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
OCTN_east,0,OCTN_east_0,1,48.3626414329693,-119.582071031371,OCTN_1,okanogan_transfer_station,TranGO,,,,,,NO,NO,NO,NO,53047970700,9707,047,970700,Poor
OCTN_west,0,OCTN_west_0,8,48.3626414329693,-119.582071031371,OCTN_1,okanogan_transfer_station,TranGO,,,,,,NO,NO,NO,NO,53047970700,9707,047,970700,Poor
OKAN_1,0,OKAN_1_0,3,48.362679,-119.581904,OKAN_103,TranGO Main Office,TranGO,,,,,,NO,YES,NO,NO,53047970700,9707,047,970700,Ok
OKAN_1,1,OKAN_1_1,1,48.362679,-119.581904,OKAN_103,TranGO Main Office,TranGO,,,,,,NO,YES,NO,NO,53047970700,9707,047,970700,Ok
OKAN_4,0,OKAN_4_0,1,48.362679,-119.581904,OKAN_103,TranGO Main Office,TranGO,,,,,,NO,YES,NO,NO,53047970700,9707,047,970700,Ok
OKAN_4,0,OKAN_4_0,2,48.365283,-119.578933,OKAN_114,2nd & Norman,TranGO,,,,,,NO,NO,NO,NO,53047970700,9707,047,970700,Ok
OKAN_4,0,OKAN_4_0,3,48.38675,-119.554517,OKAN_115,Caso's Family Foods,TranGO,,,,,,NO,NO,NO,NO,53047970700,9707,047,970700,Ok
OKAN_4,0,OKAN_4_0,14,48.3735,-119.57005,OKAN_126,Okanogan PUD,TranGO,,,,,,NO,NO,NO,NO,53047970700,9707,047,970700,Ok
OKAN_4,0,OKAN_4_0,15,48.3656,-119.581733,OKAN_127,Okanogan County Courthouse,TranGO,,,,,,NO,NO,NO,NO,53047970700,9707,047,970700,Ok
OKAN_4,0,OKAN_4_0,16,48.361983,-119.583233,OKAN_128,Community Action,TranGO,,,,,,NO,NO,NO,NO,53047970700,9707,047,970700,Ok
OKAN_4,0,OKAN_4_0,17,48.357183,-119.59075,OKAN_129,Blue Mountain Hotel,TranGO,,,,,,NO,NO,NO,NO,53047970700,9707,047,970700,Ok
OKAN_4,0,OKAN_4_0,18,48.360217,-119.5836,OKAN_131,Okanogan Pool,TranGO,,,,,,NO,NO,NO,NO,53047970700,9707,047,970700,Ok
OKAN_4,0,OKAN_4_0,19,48.362679,-119.581904,OKAN_103,TranGO Main Office,TranGO,,,,,,NO,YES,NO,NO,53047970700,9707,047,970700,Ok
OKAN_5,0,OKAN_5_0,6,48.362679,-119.581904,OKAN_103,TranGO Main Office,TranGO,,,,,,NO,YES,NO,NO,53047970700,9707,047,970700,Acceptable
OKAN_5,1,OKAN_5_1,1,48.362679,-119.581904,OKAN_103,TranGO Main Office,TranGO,,,,,,NO,YES,NO,NO,53047970700,9707,047,970700,Acceptable
OKAN_6,0,OKAN_6_0,1,48.362679,-119.581904,OKAN_103,TranGO Main Office,TranGO,,,,,,NO,YES,NO,NO,53047970700,9707,047,970700,Ok
OKAN_6,1,OKAN_6_1,4,48.362679,-119.581904,OKAN_103,TranGO Main Office,TranGO,,,,,,NO,YES,NO,NO,53047970700,9707,047,970700,Ok
