route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
75,0,75_0,2,46.237012,-119.087729,PSC,Pasco Amtrak Station,Amtrak,,,,,,NO,NO,NO,NO,53021020202,202.02,021,020202,Ok
75,1,75_1,4,46.237012,-119.087729,PSC,Pasco Amtrak Station,Amtrak,,,,,,NO,NO,NO,NO,53021020202,202.02,021,020202,Ok
1,0,1_0,1,46.2353316685755,-119.119182623576,PA001,22nd Ave Transit Center,BFT,,,,,,YES,YES,NO,YES,53021020404,204.04,021,020404,Good
1,0,1_0,2,46.233236,-119.117622,PA151,20th Ave at Irving St,BFT,,,,,,YES,YES,NO,YES,53021020404,204.04,021,020404,Good
1,0,1_0,3,46.230944,-119.117725,PA152,20th Ave at Hopkins St,BFT,,,,,,YES,YES,NO,YES,53021020404,204.04,021,020404,Good
1,0,1_0,4,46.230561,-119.120952,PA426,Lewis St at 20th Ave,BFT,,,,,,YES,YES,NO,YES,53021020404,204.04,021,020404,Good
1,0,1_0,5,46.231754,-119.125027,PA008,Lewis St at 24th Ave,BFT,,,,,,YES,YES,NO,YES,53021020404,204.04,021,020404,Good
1,1,1_1,26,46.231913,-119.126347,PA002,Lewis St at 28th Ave,BFT,,,,,,YES,YES,NO,YES,53021020401,204.01,021,020401,Good
1,1,1_1,27,46.230752,-119.122346,PA428,Lewis St at 24th Ave,BFT,,,,,,YES,YES,NO,YES,53021020401,204.01,021,020401,Good
1,1,1_1,28,46.230728,-119.117469,PA175,20th Ave at Hopkins St,BFT,,,,,,YES,YES,NO,YES,53021020403,204.03,021,020403,Good
1,1,1_1,29,46.2329579134558,-119.117367,PA176,20th Ave at Irving St,BFT,,,,,,YES,YES,NO,YES,53021020403,204.03,021,020403,Good
1,1,1_1,30,46.2353316685755,-119.119182623576,PA001,22nd Ave Transit Center,BFT,,,,,,YES,YES,NO,YES,53021020404,204.04,021,020404,Good
2,0,2_0,1,46.2353316685755,-119.119182623576,PA001,22nd Ave Transit Center,BFT,,,,,,YES,YES,NO,YES,53021020404,204.04,021,020404,Good
2,0,2_0,2,46.240039,-119.117261,PA062,20th Ave at Brown St,BFT,,,,,,YES,YES,NO,YES,53021020403,204.03,021,020403,Good
2,0,2_0,3,46.251097,-119.116772,PA065,20th Ave at Sun Willows Blvd,BFT,,,,,,YES,YES,NO,YES,53021020300,203,021,020300,Good
2,0,2_0,4,46.259577,-119.116707,PA520,Tri-Cities Airport,BFT,,,,,,YES,YES,NO,NO,53021980100,9801,021,980100,Good
2,0,2_0,5,46.251794,-119.117044,PA057,20th Ave at Sun Willows Blvd,BFT,,,,,,YES,YES,NO,YES,53021020300,203,021,020300,Good
2,1,2_1,4,46.251097,-119.116772,PA065,20th Ave at Sun Willows Blvd,BFT,,,,,,YES,YES,NO,YES,53021020300,203,021,020300,Good
2,1,2_1,5,46.259577,-119.116707,PA520,Tri-Cities Airport,BFT,,,,,,YES,YES,NO,NO,53021980100,9801,021,980100,Good
2,1,2_1,6,46.251794,-119.117044,PA057,20th Ave at Sun Willows Blvd,BFT,,,,,,YES,YES,NO,YES,53021020300,203,021,020300,Good
2,1,2_1,7,46.2404144549617,-119.117556,PA060,20th Ave at Court St,BFT,,,,,,YES,YES,NO,YES,53021020404,204.04,021,020404,Good
2,1,2_1,8,46.2353316685755,-119.119182623576,PA001,22nd Ave Transit Center,BFT,,,,,,YES,YES,NO,YES,53021020404,204.04,021,020404,Good
225,0,225_0,1,46.2353316685755,-119.119182623576,PA001,22nd Ave Transit Center,BFT,,,,,,YES,YES,NO,YES,53021020404,204.04,021,020404,Good
225,0,225_0,2,46.240039,-119.117261,PA062,20th Ave at Brown St,BFT,,,,,,YES,YES,NO,YES,53021020403,204.03,021,020403,Good
225,0,225_0,3,46.242392,-119.117214,PA063,20th Ave at Ruby St,BFT,,,,,,YES,YES,NO,YES,53021020300,203,021,020300,Good
225,0,225_0,4,46.246089,-119.117047,PA064,20th Ave at Pearl St,BFT,,,,,,YES,YES,NO,YES,53021020300,203,021,020300,Good
225,0,225_0,5,46.251097,-119.116772,PA065,20th Ave at Sun Willows Blvd,BFT,,,,,,YES,YES,NO,YES,53021020300,203,021,020300,Good
225,0,225_0,6,46.256083,-119.117983,PA066,Argent Rd at Tech Way,BFT,,,,,,YES,YES,NO,YES,53021980100,9801,021,980100,Good
225,0,225_0,7,46.253486,-119.121342,PA055,Saraceno Way at CBC Roundabout,BFT,,,,,,YES,YES,NO,YES,53021020300,203,021,020300,Good
225,0,225_0,8,46.25525,-119.124389,PA067,Argent Rd at Farm Rd,BFT,,,,,,YES,YES,NO,YES,53021980100,9801,021,980100,Good
225,0,225_0,9,46.253294,-119.130214,PA068,Argent Rd at Morasch Ln,BFT,,,,,,YES,YES,NO,YES,53021980100,9801,021,980100,Good
225,0,225_0,10,46.253947,-119.142692,PA069,(FLAG STOP)Argent Rd at Rd 40,BFT,,,,,,YES,YES,NO,YES,53021020605,206.05,021,020605,Good
225,0,225_0,12,46.261444,-119.147936,PA293,Rd 44 at Riverhill Dr,BFT,,,,,,YES,YES,NO,YES,53021020605,206.05,021,020605,Good
225,0,225_0,13,46.266326,-119.147799,PA294,Rd 44 at Desert Pl,BFT,,,,,,YES,YES,NO,YES,53021020605,206.05,021,020605,Good
225,0,225_0,14,46.269262,-119.147718,PA295,Rd 44 at Sirocco Dr,BFT,,,,,,YES,YES,NO,YES,53021020605,206.05,021,020605,Good
225,0,225_0,15,46.270953,-119.148975,PA296,Burden Blvd at Rd 44,BFT,,,,,,YES,YES,NO,YES,53021020607,206.07,021,020607,Good
225,0,225_0,16,46.270964,-119.153606,PA297,Burden Blvd at Kalahari Dr,BFT,,,,,,YES,YES,NO,YES,53021020607,206.07,021,020607,Good
225,0,225_0,17,46.270872,-119.159939,PA298,Burden Blvd at Madison Ave (North),BFT,,,,,,YES,YES,NO,YES,53021020605,206.05,021,020605,Good
225,0,225_0,18,46.270517,-119.168014,PA299,Burden Blvd at Rd 60,BFT,,,,,,YES,YES,NO,YES,53021020605,206.05,021,020605,Good
225,0,225_0,19,46.270589,-119.173039,PA300,Burden Blvd at Homerun Dr,BFT,,,,,,YES,YES,NO,YES,53021020605,206.05,021,020605,Good
225,0,225_0,20,46.270664,-119.175736,PA301,Burden Blvd at Robert Wayne Dr,BFT,,,,,,YES,YES,NO,YES,53021020605,206.05,021,020605,Good
225,0,225_0,21,46.270736,-119.182167,PA302,Burden Blvd at Clemente Ln,BFT,,,,,,YES,YES,NO,YES,53021020605,206.05,021,020605,Good
225,0,225_0,22,46.270736,-119.186272,PA303,Burden Blvd at Rd 68,BFT,,,,,,YES,YES,NO,YES,53021020606,206.06,021,020606,Good
225,0,225_0,23,46.272217,-119.189589,PA304,Rd 76 at Cordero Dr,BFT,,,,,,YES,YES,NO,YES,53021020606,206.06,021,020606,Good
225,0,225_0,24,46.2746453740097,-119.187571072475,PA493,Wrigley Dr at Rd 76,BFT,,,,,,YES,YES,NO,YES,53021020606,206.06,021,020606,Good
225,0,225_0,25,46.275667,-119.185556,PA446,Rd 68 at Wrigley Dr,BFT,,,,,,YES,YES,NO,YES,53021020605,206.05,021,020605,Good
225,0,225_0,26,46.278275,-119.172097,PA497,Sandifur Pkwy at Robert Wayne Dr,BFT,,,,,,YES,YES,NO,NO,53021020605,206.05,021,020605,Good
225,0,225_0,27,46.281996,-119.168537,PA498,Rd 60 at Three Rivers Dr,BFT,,,,,,YES,YES,NO,NO,53021020607,206.07,021,020607,Good
225,0,225_0,28,46.285393,-119.169412,PA499,Burns Rd at Rd 60,BFT,,,,,,YES,YES,NO,NO,53021020608,206.08,021,020608,Good
225,0,225_0,29,46.281363,-119.179235,PA501,Convention Dr at Three Rivers Dr,BFT,,,,,,YES,YES,NO,NO,53021020605,206.05,021,020605,Good
225,0,225_0,30,46.277989,-119.190481,PA307,Sandifur Pkwy at Rd 76,BFT,,,,,,YES,YES,NO,YES,53021020606,206.06,021,020606,Good
225,0,225_0,31,46.27805,-119.195211,PA308,Sandifur Pkwy at Hudson Dr,BFT,,,,,,YES,YES,NO,YES,53021020606,206.06,021,020606,Good
225,0,225_0,32,46.278097,-119.201103,PA309,Sandifur Pkwy at Moorgate Ln,BFT,,,,,,YES,YES,NO,YES,53021020606,206.06,021,020606,Good
225,0,225_0,33,46.278226,-119.208899,PA311,Sandifur Pkwy at Rd 90,BFT,,,,,,YES,YES,NO,YES,53021020606,206.06,021,020606,Good
225,0,225_0,34,46.278269,-119.215606,PA312,Sandifur Pkwy at Midland Ln,BFT,,,,,,YES,YES,NO,YES,53021020606,206.06,021,020606,Good
225,0,225_0,35,46.278926,-119.218953,PA313,Sandifur Pkwy at Bedford St / Dunbarton Ave,BFT,,,,,,YES,YES,NO,YES,53021020606,206.06,021,020606,Good
225,1,225_1,8,46.278978,-119.219475,PA248,Sandifur Pkwy at Dunbarton Ave,BFT,,,,,,YES,YES,NO,YES,53021020606,206.06,021,020606,Good
225,1,225_1,9,46.278072,-119.214478,PA249,Sandifur Pkwy at Midland Ln,BFT,,,,,,YES,YES,NO,YES,53021020606,206.06,021,020606,Good
225,1,225_1,10,46.277994,-119.207731,PA250,Sandifur Pkwy at Rd 90,BFT,,,,,,YES,YES,NO,YES,53021020606,206.06,021,020606,Good
225,1,225_1,11,46.277972,-119.199028,PA474,Sandifur Pkwy at Rd 84,BFT,,,,,,YES,YES,NO,YES,53021020606,206.06,021,020606,Good
225,1,225_1,12,46.277914,-119.195928,PA252,Sandifur Pkwy at Valdez Ln / Hudson Dr,BFT,,,,,,YES,YES,NO,YES,53021020606,206.06,021,020606,Good
225,1,225_1,13,46.277861,-119.1905,PA253,Sandifur Pkwy at Rd 76,BFT,,,,,,YES,YES,NO,YES,53021020606,206.06,021,020606,Good
225,1,225_1,14,46.278275,-119.172097,PA497,Sandifur Pkwy at Robert Wayne Dr,BFT,,,,,,YES,YES,NO,NO,53021020605,206.05,021,020605,Good
