route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
170,0,170_0,23,46.210694,-119.753889,PR401,Alexander Ct at Benson Ave,BFT,,,,,,YES,NO,NO,NO,53005011702,117.02,005,011702,Good
170,0,170_0,24,46.20792,-119.75387,PR403,Alexander Ct at Highland Dr,BFT,,,,,,YES,NO,NO,NO,53005011702,117.02,005,011702,Good
170,0,170_0,25,46.20475,-119.75882,PR404,Paterson Rd at Prosser High School,BFT,,,,,,YES,NO,NO,NO,53005011702,117.02,005,011702,Good
170,0,170_0,26,46.20429,-119.76529,PR406,7th St at Sommers St,BFT,,,,,,YES,NO,NO,NO,53005011702,117.02,005,011702,Good
170,0,170_0,27,46.20599,-119.76793,PR408,7th St at Meade Ave,BFT,,,,,,YES,NO,NO,NO,53005011702,117.02,005,011702,Good
170,0,170_0,28,46.207556,-119.770278,PR410,7th St at Stacy Ave,BFT,,,,,,YES,NO,NO,NO,53005011701,117.01,005,011701,Good
170,0,170_0,29,46.21198,-119.77982,PR411,Wine Country Rd at Wamba Rd,BFT,,,,,,YES,NO,NO,NO,53005011701,117.01,005,011701,Good
170,0,170_0,30,46.21753,-119.78682,PR413,Chardonnay Ave at Wine Country Rd,BFT,,,,,,YES,NO,NO,NO,53005011701,117.01,005,011701,Good
170,0,170_0,31,46.22008,-119.78885,PR415,Merlot Dr at Chardonnay Ave,BFT,,,,,,YES,NO,NO,NO,53005011701,117.01,005,011701,Good
170,0,170_0,32,46.21691,-119.78795,PR414,Wine Country Rd at Chardonnay Ave,BFT,,,,,,YES,NO,NO,NO,53005011701,117.01,005,011701,Good
170,0,170_0,33,46.21139,-119.77956,PR412,Wine Country Rd at Nunn Rd,BFT,,,,,,YES,NO,NO,NO,53005011701,117.01,005,011701,Good
170,0,170_0,34,46.2073428158368,-119.770724759741,PR001,Stacy Ave Transfer Point,BFT,,,,,,YES,YES,NO,YES,53005011701,117.01,005,011701,Good
170,1,170_1,1,46.2073428158368,-119.770724759741,PR001,Stacy Ave Transfer Point,BFT,,,,,,YES,YES,NO,YES,53005011701,117.01,005,011701,Good
170,1,170_1,2,46.20552,-119.76761,PR409,7th St at Dudley Ave,BFT,,,,,,YES,NO,NO,NO,53005011702,117.02,005,011702,Good
170,1,170_1,3,46.204167,-119.765472,PR407,7th St at Paterson Rd,BFT,,,,,,YES,NO,NO,NO,53005011702,117.02,005,011702,Good
170,1,170_1,4,46.20467,-119.75838,PR405,(FLAG STOP) Paterson Rd at Neil St,BFT,,,,,,YES,NO,NO,NO,53005011702,117.02,005,011702,Good
170,1,170_1,5,46.207249,-119.753293,PR402,Alexander Ct at Highland Dr,BFT,,,,,,YES,NO,NO,NO,53005011702,117.02,005,011702,Good
170,1,170_1,6,46.211028,-119.753694,PR400,Alexander Ct at Miller Ave,BFT,,,,,,YES,NO,NO,NO,53005011702,117.02,005,011702,Good
19700,0,19700_0,1,46.207293,-119.770604,2754804,Prosser Transit Center,People for People,,,,,,NO,NO,NO,NO,53005011701,117.01,005,011701,Poor
19700,1,19700_1,6,46.207293,-119.770604,2754804,Prosser Transit Center,People for People,,,,,,NO,NO,NO,NO,53005011701,117.01,005,011701,Poor
19704,1,19704_1,9,46.207293,-119.770604,2754804,Prosser Transit Center,People for People,,,,,,NO,NO,NO,NO,53005011701,117.01,005,011701,Poor
