route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
4,0,4_0,1,47.155101,-122.298598,10247,South Hill Mall TC,Pierce Transit,,,,,,YES,NO,NO,YES,53053071206,712.06,053,071206,Good
4,0,4_0,2,47.154886,-122.30434,65,39th Ave SW & 9th St SW,Pierce Transit,,,,,,NO,NO,NO,YES,53053071206,712.06,053,071206,Good
4,0,4_0,3,47.154897,-122.31044,63,39th Ave SW & 14th St Pl SW,Pierce Transit,,,,,,NO,NO,NO,YES,53053071206,712.06,053,071206,Good
4,1,4_1,44,47.154836,-122.314506,62,39th Ave SW & 86th Ave E,Pierce Transit,,,,,,NO,NO,NO,YES,53053071304,713.04,053,071304,Good
4,1,4_1,45,47.154791,-122.310215,64,39th Ave SW & 89th Ave Ct E,Pierce Transit,,,,,,NO,NO,NO,YES,53053071304,713.04,053,071304,Good
4,1,4_1,46,47.154783,-122.301952,2949,39th Ave SW & 7th St SW,Pierce Transit,,,,,,YES,NO,NO,YES,53053071304,713.04,053,071304,Good
4,1,4_1,47,47.155124,-122.299061,22928,South Hill Mall TC - Zone J,Pierce Transit,,,,,,NO,NO,NO,YES,53053071206,712.06,053,071206,Good
400,0,400_0,13,47.199526,-122.333566,2642,Stewart Ave E & 29th Pl NW,Pierce Transit,,,,,,NO,NO,NO,NO,53053071205,712.05,053,071205,Great
400,0,400_0,14,47.198144,-122.325738,11919,Stewart Ave E & 23rd St NW,Pierce Transit,,,,,,NO,NO,NO,NO,53053073408,734.08,053,073408,Great
400,0,400_0,15,47.197484,-122.322026,2631,Stewart Ave W & 21st St NW,Pierce Transit,,,,,,NO,NO,NO,NO,53053073408,734.08,053,073408,Great
400,0,400_0,16,47.196892,-122.318654,2629,Stewart Ave W & 18th St NW,Pierce Transit,,,,,,NO,NO,NO,NO,53053073408,734.08,053,073408,Great
400,0,400_0,17,47.196032,-122.313744,2627,Stewart Ave W & 15th St NW,Pierce Transit,,,,,,NO,NO,NO,NO,53053073408,734.08,053,073408,Great
400,0,400_0,18,47.195388,-122.310037,2625,Stewart Ave W & 12th St NW,Pierce Transit,,,,,,NO,NO,NO,NO,53053073408,734.08,053,073408,Great
400,0,400_0,19,47.194484,-122.305006,2640,Stewart Ave W & 9th St NW,Pierce Transit,,,,,,NO,NO,NO,NO,53053073408,734.08,053,073408,Great
400,0,400_0,20,47.193912,-122.3018,2638,Stewart Ave W & 7th St NW,Pierce Transit,,,,,,NO,NO,NO,NO,53053073407,734.07,053,073407,Great
400,0,400_0,21,47.192724,-122.295582,11956,Puyallup Station - Bay 1,Pierce Transit,,,,,,YES,YES,NO,YES,53053073407,734.07,053,073407,Great
400,0,400_0,22,47.190156,-122.299087,12970,5th St SW & Pioneer Ave W,Pierce Transit,,,,,,NO,NO,NO,NO,53053073404,734.04,053,073404,Great
400,0,400_0,23,47.184584,-122.29905,8058,5th St SW & 9th Ave SW - Red Lot,Pierce Transit,,,,,,NO,NO,NO,NO,53053073404,734.04,053,073404,Great
400,0,400_0,24,47.173816,-122.304239,32129,9th St SW & 19th Ave SW,Pierce Transit,,,,,,NO,NO,NO,NO,53053073404,734.04,053,073404,Great
400,0,400_0,25,47.168374,-122.304258,11668,9th St SW & 25th Ave SW,Pierce Transit,,,,,,NO,NO,NO,NO,53053071206,712.06,053,071206,Great
400,0,400_0,26,47.163063,-122.304188,17677,9th St SW & 30th Ave SW,Pierce Transit,,,,,,NO,NO,NO,NO,53053071206,712.06,053,071206,Great
400,0,400_0,27,47.161175,-122.304133,21299,South Hill P&R - Bay 3,Pierce Transit,,,,,,NO,NO,NO,NO,53053071206,712.06,053,071206,Great
400,0,400_0,28,47.154783,-122.301952,2949,39th Ave SW & 7th St SW,Pierce Transit,,,,,,YES,NO,NO,YES,53053071304,713.04,053,071304,Great
400,0,400_0,29,47.155393,-122.299629,21040,South Hill Mall TC - Zone E,Pierce Transit,,,,,,NO,NO,NO,NO,53053071206,712.06,053,071206,Great
400,1,400_1,1,47.155393,-122.299629,21040,South Hill Mall TC - Zone E,Pierce Transit,,,,,,NO,NO,NO,NO,53053071206,712.06,053,071206,Good
400,1,400_1,2,47.155145,-122.303899,9879,9th St SW & 39th Ave SW,Pierce Transit,,,,,,NO,NO,NO,NO,53053071206,712.06,053,071206,Good
400,1,400_1,3,47.161187,-122.304395,19941,South Hill P&R - Bay 1,Pierce Transit,,,,,,NO,NO,NO,NO,53053071206,712.06,053,071206,Good
400,1,400_1,4,47.162967,-122.304048,25489,9th St SW & 30th Ave SW,Pierce Transit,,,,,,NO,NO,NO,NO,53053071206,712.06,053,071206,Good
400,1,400_1,5,47.168264,-122.304122,14190,9th St SW & La Grande Blvd,Pierce Transit,,,,,,NO,NO,NO,NO,53053071206,712.06,053,071206,Good
