route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
60,0,60_0,6,47.461081,-122.240254,TUK,Tukwila Amtrak,Amtrak,,,,,,NO,NO,NO,NO,53033026200,262,033,026200,Acceptable
60,1,60_1,2,47.461081,-122.240254,TUK,Tukwila Amtrak,Amtrak,,,,,,NO,NO,NO,NO,53033026200,262,033,026200,Ok
100003,0,100003_0,15,47.4796219,-122.232719,79590,SW Sunset Blvd & Oakesdale Ave SW,Metro Transit,,,,,,NO,YES,NO,YES,53033026003,260.03,033,026003,Good
100003,0,100003_0,16,47.4778328,-122.229301,79595,SW Sunset Blvd & SW 4th Pl,Metro Transit,,,,,,NO,YES,NO,YES,53033026003,260.03,033,026003,Good
100003,0,100003_0,17,47.4777718,-122.223923,79600,SW Sunset Blvd & Stevens Ave SW,Metro Transit,,,,,,NO,YES,NO,YES,53033026003,260.03,033,026003,Good
100003,0,100003_0,18,47.4796028,-122.218773,79610,SW Sunset Blvd & Hardie Ave SW,Metro Transit,,,,,,YES,YES,NO,YES,53033025302,253.02,033,025302,Good
100003,0,100003_0,19,47.4796753,-122.21563,46440,S 3rd St & Rainier Ave S,Metro Transit,,,,,,YES,YES,NO,YES,53033025302,253.02,033,025302,Good
100003,0,100003_0,20,47.4796677,-122.212677,46450,S 3rd St & Shattuck Ave S,Metro Transit,,,,,,YES,YES,NO,YES,53033025302,253.02,033,025302,Good
100003,0,100003_0,21,47.4801102,-122.20813,45303,Renton Transit Center - Bay 6,Metro Transit,,,,,,YES,YES,NO,YES,53033025302,253.02,033,025302,Good
100003,0,100003_0,22,47.4777756,-122.204346,45285,Main Ave S & S 4th St,Metro Transit,,,,,,YES,YES,NO,YES,53033025302,253.02,033,025302,Good
100003,0,100003_0,23,47.4739342,-122.207092,45288,S Grady Way & Williams Ave S,Metro Transit,,,,,,YES,YES,NO,YES,53033025302,253.02,033,025302,Good
100003,0,100003_0,24,47.4726677,-122.209587,59841,Sr 515 & South Grady Way,Metro Transit,,,,,,YES,YES,NO,YES,53033025302,253.02,033,025302,Good
100003,0,100003_0,25,47.4723167,-122.214096,59839,Lake Ave S & S Grady Way - Bay 4,Metro Transit,,,,,,YES,YES,NO,YES,53033025302,253.02,033,025302,Good
100003,1,100003_1,1,47.4724579,-122.213127,55938,South Renton Park & Ride - Bay 2,Metro Transit,,,,,,YES,YES,NO,YES,53033025302,253.02,033,025302,Great
100003,1,100003_1,2,47.4730377,-122.208427,55939,S Grady Way & Talbot Rd S,Metro Transit,,,,,,YES,YES,NO,YES,53033025302,253.02,033,025302,Great
100003,1,100003_1,3,47.4746513,-122.205673,46466,S Grady Way & Wells Ave S,Metro Transit,,,,,,YES,YES,NO,YES,53033025302,253.02,033,025302,Great
100003,1,100003_1,4,47.4780731,-122.204155,46468,Main Ave S & S 4th St,Metro Transit,,,,,,YES,YES,NO,YES,53033025302,253.02,033,025302,Great
100003,1,100003_1,5,47.4807205,-122.202896,46472,Mill Ave S & Houser Way S,Metro Transit,,,,,,YES,YES,NO,YES,53033025303,253.03,033,025303,Great
100003,1,100003_1,6,47.4809074,-122.20813,45301,Renton Transit Center - Bay 5,Metro Transit,,,,,,NO,NO,NO,YES,53033025302,253.02,033,025302,Great
100003,1,100003_1,7,47.4814034,-122.21463,45320,S 2nd St & Shattuck Ave S,Metro Transit,,,,,,YES,YES,YES,YES,53033025302,253.02,033,025302,Great
100003,1,100003_1,8,47.4798203,-122.217979,79520,SW Sunset Blvd & Rainier Ave S,Metro Transit,,,,,,YES,YES,YES,YES,53033026004,260.04,033,026004,Great
100003,1,100003_1,9,47.4778671,-122.224564,79530,SW Sunset Blvd & Stevens Ave SW,Metro Transit,,,,,,NO,NO,NO,YES,53033026003,260.03,033,026003,Great
100003,1,100003_1,10,47.479744,-122.23262,79540,SW Sunset Blvd & Oakesdale Ave SW,Metro Transit,,,,,,NO,NO,NO,YES,53033026003,260.03,033,026003,Great
100004,0,100004_0,1,47.4798775,-122.20813,45305,Renton Transit Center - Bay 7,Metro Transit,,,,,,YES,YES,NO,YES,53033025302,253.02,033,025302,Great
100004,0,100004_0,2,47.481678,-122.202881,46474,Mill Ave S & S 2nd St,Metro Transit,,,,,,YES,YES,NO,YES,53033025303,253.03,033,025303,Great
100004,0,100004_0,3,47.4831009,-122.201271,56510,Bronson Way N & Park Ave N,Metro Transit,,,,,,YES,NO,NO,YES,53033025303,253.03,033,025303,Great
100004,0,100004_0,4,47.4859467,-122.195496,54944,Sunset Blvd N & N 3rd St,Metro Transit,,,,,,NO,NO,NO,YES,53033025303,253.03,033,025303,Great
100004,0,100004_0,5,47.4851418,-122.193077,56519,NE 3rd St & Monterey Dr NE,Metro Transit,,,,,,NO,NO,NO,YES,53033025601,256.01,033,025601,Great
100004,0,100004_0,6,47.4861946,-122.185135,54971,NE 3rd St & Edmonds Ave NE,Metro Transit,,,,,,NO,NO,NO,YES,53033025601,256.01,033,025601,Great
100004,0,100004_0,7,47.4885101,-122.174469,56790,NE 4th St & Monroe Ave NE,Metro Transit,,,,,,NO,NO,NO,YES,53033025601,256.01,033,025601,Great
100004,0,100004_0,8,47.4885063,-122.168541,56792,NE 4th St & Queen Ave NE,Metro Transit,,,,,,NO,NO,NO,YES,53033025601,256.01,033,025601,Great
100004,0,100004_0,9,47.4891434,-122.16407,54146,Union Ave NE & NE 4th St,Metro Transit,,,,,,NO,NO,NO,YES,53033025103,251.03,033,025103,Great
100004,0,100004_0,10,47.4924164,-122.1642,54147,Union Ave NE & NE 6th St,Metro Transit,,,,,,NO,NO,NO,YES,53033025103,251.03,033,025103,Great
100004,0,100004_0,11,47.4946785,-122.164268,54148,Union Ave NE & NE 7th St,Metro Transit,,,,,,NO,NO,NO,YES,53033025103,251.03,033,025103,Great
100004,0,100004_0,12,47.4960403,-122.164322,45070,Union Ave NE & NE 8th St,Metro Transit,,,,,,NO,NO,NO,YES,53033025103,251.03,033,025103,Great
100004,0,100004_0,13,47.4997368,-122.164459,45080,Union Ave NE & NE 10th St,Metro Transit,,,,,,NO,NO,NO,YES,53033025101,251.01,033,025101,Great
100004,0,100004_0,14,47.5016022,-122.164528,45090,Union Ave NE & NE 11th St,Metro Transit,,,,,,NO,NO,NO,YES,53033025101,251.01,033,025101,Great
100004,0,100004_0,15,47.5030594,-122.16626,45110,NE 12th St & NE 11th Pl,Metro Transit,,,,,,YES,YES,NO,YES,53033025500,255,033,025500,Great
100004,0,100004_0,16,47.5030823,-122.168922,45120,NE 12th St & Redmond Ave NE,Metro Transit,,,,,,YES,YES,NO,YES,53033025500,255,033,025500,Great
100004,0,100004_0,17,47.5031357,-122.172943,45130,NE 12th St & Olympia Ave NE,Metro Transit,,,,,,YES,YES,NO,YES,53033025500,255,033,025500,Great
