route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
1,0,1_0,26,46.236672,-119.223139,RC014,Columbia Center Blvd at Geneva St,BFT,,,,,,YES,YES,NO,YES,53005010820,108.20,005,010820,Good
1,0,1_0,27,46.238026,-119.227108,RC015,Columbia Park Trail at Florida Ave,BFT,,,,,,YES,YES,NO,YES,53005010820,108.20,005,010820,Good
1,0,1_0,28,46.23816,-119.232694,RC016,Columbia Park Trail at Spaulding Ave,BFT,,,,,,YES,YES,NO,YES,53005010820,108.20,005,010820,Good
1,0,1_0,29,46.2384,-119.240769,RC018,Columbia Park Trail at Steptoe St,BFT,,,,,,YES,YES,NO,YES,53005010820,108.20,005,010820,Good
1,0,1_0,30,46.274122,-119.275131,RC051,Jadwin Ave at Lee Blvd,BFT,,,,,,YES,YES,NO,YES,53005010600,106,005,010600,Good
1,0,1_0,31,46.277109,-119.278933,RC001,Knight St Transit Center,BFT,,,,,,YES,YES,NO,YES,53005010500,105,005,010500,Good
1,1,1_1,1,46.277109,-119.278933,RC001,Knight St Transit Center,BFT,,,,,,YES,YES,NO,YES,53005010500,105,005,010500,Good
1,1,1_1,2,46.275317,-119.275367,RC050,Jadwin Ave at Lee Blvd,BFT,,,,,,YES,YES,NO,YES,53005010500,105,005,010500,Good
1,1,1_1,3,46.238089,-119.239192,RC008,Columbia Park Trail at Fowler St,BFT,,,,,,YES,YES,NO,YES,53005010820,108.20,005,010820,Good
1,1,1_1,4,46.237922,-119.231428,RC010,Columbia Park Trail at Spaulding Ave,BFT,,,,,,YES,YES,NO,YES,53005010820,108.20,005,010820,Good
1,1,1_1,5,46.237842,-119.22644,RC011,Columbia Park Trail at Florida Ave,BFT,,,,,,YES,YES,NO,YES,53005010820,108.20,005,010820,Good
1,1,1_1,6,46.236492,-119.223364,RC012,Columbia Center Blvd at Geneva St,BFT,,,,,,YES,YES,NO,YES,53005010820,108.20,005,010820,Good
10,0,10_0,1,46.2531064644027,-119.300843529728,RC005,Queensgate Transit Center,BFT,,,,,,YES,YES,NO,YES,53005010818,108.18,005,010818,Good
10,0,10_0,2,46.257094,-119.310997,RC023,Duportail St at Queensgate Dr,BFT,,,,,,YES,YES,NO,YES,53005010818,108.18,005,010818,Good
10,0,10_0,3,46.256322,-119.313136,RC242,Duportail St at Kennedy Rd,BFT,,,,,,YES,YES,NO,YES,53005010818,108.18,005,010818,Good
10,0,10_0,4,46.254855,-119.318515,RC402,Duportail St at Keene Rd,BFT,,,,,,YES,YES,NO,YES,53005010818,108.18,005,010818,Good
10,0,10_0,5,46.256492,-119.326964,RC025,Keene Rd at Tomich Ave,BFT,,,,,,YES,YES,NO,YES,53005010818,108.18,005,010818,Good
10,1,10_1,16,46.254556,-119.32275,RC003,Keene Rd at Kensington Way,BFT,,,,,,YES,YES,NO,YES,53005010818,108.18,005,010818,Good
10,1,10_1,17,46.255397,-119.315936,RC243,Duportail St at Kennedy Rd,BFT,,,,,,YES,YES,NO,YES,53005010818,108.18,005,010818,Good
10,1,10_1,18,46.256272,-119.31235,RC244,Duportail St at Kennedy Rd,BFT,,,,,,YES,YES,NO,YES,53005010818,108.18,005,010818,Good
10,1,10_1,19,46.257119,-119.310353,RC004,Duportail St at Queensgate Dr,BFT,,,,,,YES,YES,NO,YES,53005010818,108.18,005,010818,Good
10,1,10_1,20,46.2531064644027,-119.300843529728,RC005,Queensgate Transit Center,BFT,,,,,,YES,YES,NO,YES,53005010818,108.18,005,010818,Good
123,0,123_0,10,46.227319,-119.250314,RC476,Gage Blvd at Bellerive Dr,BFT,,,,,,YES,YES,NO,YES,53005010820,108.20,005,010820,Good
123,0,123_0,11,46.227297,-119.253572032068,RC260,Gage Blvd at Meadows Dr,BFT,,,,,,YES,YES,NO,YES,53005010820,108.20,005,010820,Good
123,0,123_0,12,46.227272,-119.257181,RC261,Gage Blvd at Venus Ct,BFT,,,,,,YES,YES,NO,YES,53005010820,108.20,005,010820,Good
123,0,123_0,13,46.227261,-119.261928,RC262,Gage Blvd at Leslie Rd,BFT,,,,,,YES,YES,NO,YES,53005010820,108.20,005,010820,Good
123,0,123_0,14,46.22725,-119.266667,RC287,Gage Blvd at Peach Tree Ln,BFT,,,,,,YES,YES,NO,YES,53005010819,108.19,005,010819,Good
123,0,123_0,15,46.228692,-119.268417,RC288,Keene Rd at Gage Blvd,BFT,,,,,,YES,YES,NO,YES,53005010819,108.19,005,010819,Good
123,0,123_0,16,46.230625,-119.272831,RC319,Keene Rd at Elementary St,BFT,,,,,,YES,YES,NO,YES,53005010819,108.19,005,010819,Good
123,0,123_0,17,46.235553,-119.281481,RC289,Keene Rd at Keene Ct,BFT,,,,,,YES,YES,NO,YES,53005010819,108.19,005,010819,Good
123,0,123_0,18,46.242886,-119.293483,RC290,Keene Rd at Shockley Rd,BFT,,,,,,YES,YES,NO,YES,53005010819,108.19,005,010819,Good
123,0,123_0,19,46.247489,-119.301364,RC291,Keene Rd at Queensgate Dr,BFT,,,,,,YES,YES,NO,YES,53005010819,108.19,005,010819,Good
123,0,123_0,20,46.248642,-119.304269,RC404,Keene Rd at Queensgate Dr,BFT,,,,,,YES,YES,NO,YES,53005010818,108.18,005,010818,Good
123,0,123_0,21,46.255397,-119.315936,RC243,Duportail St at Kennedy Rd,BFT,,,,,,YES,YES,NO,YES,53005010818,108.18,005,010818,Good
123,0,123_0,22,46.256272,-119.31235,RC244,Duportail St at Kennedy Rd,BFT,,,,,,YES,YES,NO,YES,53005010818,108.18,005,010818,Good
123,0,123_0,23,46.257119,-119.310353,RC004,Duportail St at Queensgate Dr,BFT,,,,,,YES,YES,NO,YES,53005010818,108.18,005,010818,Good
