route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
36924,0,36924_0,6,47.598445,-122.330161,SEA,Seattle,Amtrak,,,,,,NO,NO,NO,YES,53033009300,93,033,009300,Ok
36924,1,36924_1,1,47.598445,-122.330161,SEA,Seattle,Amtrak,,,,,,NO,NO,NO,YES,53033009300,93,033,009300,Ok
42954,0,42954_0,1,47.598445,-122.330161,SEA,Seattle,Amtrak,,,,,,NO,NO,NO,YES,53033009300,93,033,009300,Ok
42954,1,42954_1,4,47.598445,-122.330161,SEA,Seattle,Amtrak,,,,,,NO,NO,NO,YES,53033009300,93,033,009300,Ok
60,0,60_0,7,47.598445,-122.330161,SEA,Seattle,Amtrak,,,,,,NO,NO,NO,YES,53033009300,93,033,009300,Acceptable
60,1,60_1,1,47.598445,-122.330161,SEA,Seattle,Amtrak,,,,,,NO,NO,NO,YES,53033009300,93,033,009300,Ok
100340,0.0,100340_0.0,1,47.623417,-122.337044,26698,Terry & Mercer,City of Seattle,South Lake Union Streetcar,,0,F47836,FFFFFF,YES,YES,NO,YES,53033007303,73.03,033,007303,Good
100340,0.0,100340_0.0,2,47.625832,-122.336372,26701,Lake Union Park,City of Seattle,South Lake Union Streetcar,,0,F47836,FFFFFF,YES,YES,NO,YES,53033006600,66,033,006600,Good
100340,0.0,100340_0.0,3,47.627586,-122.332207,26705,Fairview & Campus Drive,City of Seattle,South Lake Union Streetcar,,0,F47836,FFFFFF,YES,YES,NO,YES,53033006600,66,033,006600,Good
100340,1.0,100340_1.0,1,47.627666,-122.332367,26700,Fairview & Campus Drive,City of Seattle,South Lake Union Streetcar,,0,F47836,FFFFFF,YES,YES,NO,YES,53033006600,66,033,006600,Good
100340,1.0,100340_1.0,2,47.625969,-122.336533,26702,Lake Union Park,City of Seattle,South Lake Union Streetcar,,0,F47836,FFFFFF,YES,YES,NO,YES,53033006600,66,033,006600,Good
100340,1.0,100340_1.0,3,47.624153,-122.338547,26641,Westlake & Mercer,City of Seattle,South Lake Union Streetcar,,0,F47836,FFFFFF,YES,YES,NO,YES,53033007203,72.03,033,007203,Good
100340,1.0,100340_1.0,4,47.62138,-122.33857,1-26645,Westlake & Thomas,City of Seattle,South Lake Union Streetcar,,0,F47836,FFFFFF,YES,YES,NO,YES,53033007203,72.03,033,007203,Good
100340,1.0,100340_1.0,5,47.617794,-122.338463,26665,Westlake & 9th-Denny,City of Seattle,South Lake Union Streetcar,,0,F47836,FFFFFF,YES,YES,NO,YES,53033007202,72.02,033,007202,Good
100340,1.0,100340_1.0,6,47.614864,-122.33786,1-1619,Westlake And 7th,City of Seattle,South Lake Union Streetcar,,0,F47836,FFFFFF,YES,YES,NO,YES,53033007202,72.02,033,007202,Good
100340,1.0,100340_1.0,7,47.613121,-122.337318,26680,Westlake Hub,City of Seattle,South Lake Union Streetcar,,0,F47836,FFFFFF,YES,YES,NO,YES,53033007302,73.02,033,007302,Good
