route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
101,0,101_0,31,47.777264,-122.346379,2089,Hwy 99 & N 205th St,Community Transit,,,,,,YES,YES,NO,YES,53033020301,203.01,033,020301,Good
101,0,101_0,32,47.774428,-122.341779,2877,Aurora Village Transit Center,Community Transit,,,,,,YES,YES,NO,YES,53033020301,203.01,033,020301,Good
101,1,101_1,1,47.774404,-122.340965,3312,Aurora Village Transit Center Bay 6,Community Transit,,,,,,YES,YES,YES,YES,53033020301,203.01,033,020301,Great
101,1,101_1,2,47.774581,-122.34584,2405,Hwy 99 & N 200th St,Community Transit,,,,,,YES,YES,NO,YES,53033020301,203.01,033,020301,Great
114,0,114_0,27,47.777264,-122.346379,2089,Hwy 99 & N 205th St,Community Transit,,,,,,YES,YES,NO,YES,53033020301,203.01,033,020301,Good
114,0,114_0,28,47.774428,-122.341779,2877,Aurora Village Transit Center,Community Transit,,,,,,YES,YES,NO,YES,53033020301,203.01,033,020301,Good
114,1,114_1,1,47.774404,-122.340965,3312,Aurora Village Transit Center Bay 6,Community Transit,,,,,,YES,YES,YES,YES,53033020301,203.01,033,020301,Great
114,1,114_1,2,47.774581,-122.34584,2405,Hwy 99 & N 200th St,Community Transit,,,,,,YES,YES,NO,YES,53033020301,203.01,033,020301,Great
130,0,130_0,26,47.777216,-122.335431,39,Meridian Ave N & N 205th St,Community Transit,,,,,,YES,NO,NO,YES,53033020301,203.01,033,020301,Great
130,0,130_0,27,47.775797,-122.335361,40,Meridian Ave N & N 203rd St,Community Transit,,,,,,YES,NO,NO,YES,53033020301,203.01,033,020301,Great
130,0,130_0,28,47.77424,-122.336568,41,N 200th St & Burke Ave N,Community Transit,,,,,,YES,NO,NO,YES,53033020301,203.01,033,020301,Great
130,0,130_0,29,47.774404,-122.340965,3312,Aurora Village Transit Center Bay 6,Community Transit,,,,,,YES,YES,YES,YES,53033020301,203.01,033,020301,Great
130,0,130_0,30,47.774581,-122.34584,2405,Hwy 99 & N 200th St,Community Transit,,,,,,YES,YES,NO,YES,53033020301,203.01,033,020301,Great
130,1,130_1,22,47.777264,-122.346379,2089,Hwy 99 & N 205th St,Community Transit,,,,,,YES,YES,NO,YES,53033020301,203.01,033,020301,Great
130,1,130_1,23,47.774404,-122.340965,3312,Aurora Village Transit Center Bay 6,Community Transit,,,,,,YES,YES,YES,YES,53033020301,203.01,033,020301,Great
130,1,130_1,24,47.774115,-122.336908,37,N 200th St & Burke Ave N,Community Transit,,,,,,YES,NO,NO,YES,53033020301,203.01,033,020301,Great
130,1,130_1,25,47.774565,-122.335141,3160,Meridian Ave N & N 200th St,Community Transit,,,,,,YES,NO,NO,YES,53033020301,203.01,033,020301,Great
701,0,701_0,17,47.774297,-122.341069,2742,Aurora Village Transit Center Bay 9,Community Transit,,,,,,YES,YES,YES,YES,53033020301,203.01,033,020301,Great
701,0,701_0,18,47.764217,-122.322625,3267,Shoreline North/185th Station Bay 2,Community Transit,,,,,,YES,YES,NO,YES,53033020401,204.01,033,020401,Great
701,1,701_1,1,47.76383,-122.322712,3382,Shoreline North/185th Station Bay 1,Community Transit,,,,,,YES,YES,YES,YES,53033020401,204.01,033,020401,Great
701,1,701_1,2,47.774216,-122.341296,3313,Aurora Village Transit Center Bay 12,Community Transit,,,,,,YES,YES,YES,YES,53033020301,203.01,033,020301,Great
100177,0,100177_0,12,47.7562981,-122.334763,16680,Meridian Ave N & N 175th St,Metro Transit,,,,,,NO,NO,NO,YES,53033020600,206,033,020600,Great
100177,0,100177_0,13,47.7599068,-122.334839,16700,Meridian Ave N & N 180th St,Metro Transit,,,,,,NO,NO,NO,YES,53033020600,206,033,020600,Great
100177,0,100177_0,14,47.7635231,-122.334923,16720,Meridian Ave N & N 185th St,Metro Transit,,,,,,NO,NO,NO,YES,53033020302,203.02,033,020302,Great
100177,0,100177_0,15,47.7671661,-122.335007,16740,Meridian Ave N & N 190th St,Metro Transit,,,,,,NO,NO,NO,YES,53033020302,203.02,033,020302,Great
100177,0,100177_0,16,47.7694397,-122.33506,16750,Meridian Ave N & N 193rd St,Metro Transit,,,,,,NO,NO,NO,YES,53033020302,203.02,033,020302,Great
100177,0,100177_0,17,47.7724457,-122.335098,16760,Meridian Ave N & N 198th St,Metro Transit,,,,,,NO,NO,NO,YES,53033020301,203.01,033,020301,Great
100177,0,100177_0,18,47.7742424,-122.342407,16100,Aurora Village Transit Center - Bay 10,Metro Transit,,,,,,YES,YES,YES,YES,53033020301,203.01,033,020301,Great
100177,1,100177_1,1,47.7745056,-122.340881,16103,Aurora Village Transit Center - Bay 3,Metro Transit,,,,,,YES,YES,NO,YES,53033020301,203.01,033,020301,Good
100177,1,100177_1,2,47.7721138,-122.335304,16160,Meridian Ave N & N 198th St,Metro Transit,,,,,,NO,NO,NO,YES,53033020301,203.01,033,020301,Good
100177,1,100177_1,3,47.7698402,-122.335266,16170,Meridian Ave N & N 194th St,Metro Transit,,,,,,NO,NO,NO,YES,53033020302,203.02,033,020302,Good
100177,1,100177_1,4,47.7666931,-122.335197,16180,Meridian Ave N & N 190th St,Metro Transit,,,,,,NO,NO,NO,YES,53033020302,203.02,033,020302,Good
100177,1,100177_1,5,47.7629204,-122.335114,16200,Meridian Ave N & N 185th St,Metro Transit,,,,,,NO,NO,NO,YES,53033020600,206,033,020600,Good
100177,1,100177_1,6,47.7593842,-122.33503,16220,Meridian Ave N & N 180th St,Metro Transit,,,,,,NO,NO,NO,YES,53033020600,206,033,020600,Good
100177,1,100177_1,7,47.7559166,-122.333992,75756,N 175th St & Meridian Ave N,Metro Transit,,,,,,NO,NO,NO,YES,53033020600,206,033,020600,Good
100196,0,100196_0,1,47.7471504,-122.35865,5493,Shoreline Community College,Metro Transit,,,,,,YES,YES,NO,YES,53033020900,209,033,020900,Good
100196,0,100196_0,2,47.7452812,-122.356026,5502,N Innis Arden Way & Greenwood Ave N,Metro Transit,,,,,,YES,YES,NO,YES,53033020900,209,033,020900,Good
100196,0,100196_0,3,47.7471123,-122.355576,5486,Greenwood Ave N & N Greenwood Dr,Metro Transit,,,,,,YES,YES,NO,YES,53033020900,209,033,020900,Good
100196,0,100196_0,4,47.7487526,-122.353638,5487,Carlyle Hall Rd N & Dayton Ave N,Metro Transit,,,,,,YES,YES,NO,YES,53033020900,209,033,020900,Good
100196,0,100196_0,5,47.7504272,-122.350815,75144,Fremont Ave N & N 167th St,Metro Transit,,,,,,YES,YES,NO,YES,53033020700,207,033,020700,Good
100196,0,100196_0,6,47.7527618,-122.350868,75143,Fremont Ave N & N 170th St,Metro Transit,,,,,,YES,YES,NO,YES,53033020700,207,033,020700,Good
100196,0,100196_0,7,47.7541924,-122.352844,75142,N 172nd St & Dayton Ave N,Metro Transit,,,,,,NO,NO,NO,YES,53033020700,207,033,020700,Good
100196,0,100196_0,8,47.7573242,-122.353294,75510,Dayton Ave N & St. Luke Pl N,Metro Transit,,,,,,NO,NO,NO,YES,53033020700,207,033,020700,Good
100196,0,100196_0,9,47.7593498,-122.354515,75520,Dayton Ave N & N 179th Pl,Metro Transit,,,,,,NO,NO,NO,YES,53033020700,207,033,020700,Good
100196,0,100196_0,10,47.7615776,-122.354759,75530,Dayton Ave N & N 183rd St,Metro Transit,,,,,,NO,NO,NO,YES,53033020700,207,033,020700,Good
100196,0,100196_0,11,47.7632179,-122.3554,75540,Dayton Ave N & N 185th St,Metro Transit,,,,,,NO,NO,NO,YES,53033020700,207,033,020700,Good
100196,0,100196_0,12,47.7651405,-122.360115,75549,NW Richmond Beach Rd & 2nd Ave NW,Metro Transit,,,,,,YES,YES,NO,YES,53033020200,202,033,020200,Good
100196,0,100196_0,13,47.7653694,-122.361115,70702,3rd Ave NW & NW Richmond Beach Rd,Metro Transit,,,,,,NO,NO,NO,YES,53033020200,202,033,020200,Good
100196,0,100196_0,14,47.7675285,-122.361115,70704,3rd Ave NW & NW 191st St,Metro Transit,,,,,,NO,NO,NO,YES,53033020200,202,033,020200,Good
100196,0,100196_0,15,47.7704239,-122.361099,70706,3rd Ave NW & NW 195th St,Metro Transit,,,,,,NO,NO,NO,YES,53033020200,202,033,020200,Good
100196,0,100196_0,16,47.7740822,-122.360603,70710,NW 200th St & 3rd Ave NW,Metro Transit,,,,,,NO,NO,NO,YES,53033020200,202,033,020200,Good
100196,0,100196_0,17,47.7740669,-122.355896,70714,N 200th St & Greenwood Ave N,Metro Transit,,,,,,NO,NO,NO,YES,53033020200,202,033,020200,Good
100196,0,100196_0,18,47.7740784,-122.353119,70716,N 200th St & Dayton Ave N,Metro Transit,,,,,,NO,NO,NO,YES,53033020200,202,033,020200,Good
100196,0,100196_0,19,47.7740822,-122.35096,70718,N 200th St & Fremont Ave N,Metro Transit,,,,,,NO,NO,NO,YES,53033020301,203.01,033,020301,Good
100196,0,100196_0,20,47.7740898,-122.347221,70720,N 200th St & Whitman Ave N,Metro Transit,,,,,,NO,NO,NO,YES,53033020301,203.01,033,020301,Good
100196,0,100196_0,21,47.7745056,-122.340881,16103,Aurora Village Transit Center - Bay 3,Metro Transit,,,,,,YES,YES,NO,YES,53033020301,203.01,033,020301,Good
100196,0,100196_0,22,47.7741013,-122.336906,89990,N 200th St & Burke Ave N,Metro Transit,,,,,,YES,YES,NO,YES,53033020301,203.01,033,020301,Good
100196,0,100196_0,23,47.7745705,-122.335144,77390,Meridian Ave N & N 200th St,Metro Transit,,,,,,NO,NO,NO,YES,53033020301,203.01,033,020301,Good
100196,0,100196_0,33,47.7740555,-122.308807,82772,Ballinger Way NE & 19th Ave NE,Metro Transit,,,,,,NO,NO,NO,YES,53033020402,204.02,033,020402,Good
100196,0,100196_0,34,47.7724228,-122.306374,82775,Ballinger Way NE & 23rd Ave NE,Metro Transit,,,,,,NO,NO,NO,YES,53033020402,204.02,033,020402,Good
100196,1,100196_1,13,47.7704926,-122.303207,82324,Ballinger Way NE & 25th Ave NE,Metro Transit,,,,,,NO,NO,NO,YES,53033020402,204.02,033,020402,Great
