route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
109,0,109_0,9,47.945057,-122.110458,2987,Bickford Ave & 30th St,Community Transit,,,,,,YES,YES,NO,YES,53061052502,525.02,061,052502,Good
109,0,109_0,10,47.942559,-122.108873,3126,Bickford Ave & 62nd Pl SE,Community Transit,,,,,,YES,YES,NO,YES,53061052502,525.02,061,052502,Good
109,0,109_0,11,47.938947,-122.106834,3123,Bickford Ave & Weaver Rd,Community Transit,,,,,,YES,YES,NO,YES,53061052502,525.02,061,052502,Good
109,0,109_0,12,47.935322,-122.104327,2607,Bickford Ave & 19th Pl,Community Transit,,,,,,YES,YES,NO,YES,53061052502,525.02,061,052502,Good
109,0,109_0,13,47.929528,-122.100051,3128,Ave D & 14th St SE,Community Transit,,,,,,YES,YES,NO,YES,53061052401,524.01,061,052401,Good
109,0,109_0,14,47.926617,-122.098195,1353,Ave D & 13th St,Community Transit,,,,,,YES,YES,NO,YES,53061052401,524.01,061,052401,Good
109,0,109_0,15,47.922876,-122.098091,1351,Ave D & Bonneville Ave,Community Transit,,,,,,YES,YES,NO,YES,53061052401,524.01,061,052401,Good
109,0,109_0,16,47.917311,-122.098366,1350,Ave D & Fifth St,Community Transit,,,,,,YES,YES,NO,YES,53061052401,524.01,061,052401,Good
109,0,109_0,17,47.914969,-122.098521,1352,Ave D & Third St,Community Transit,,,,,,YES,YES,NO,YES,53061052401,524.01,061,052401,Good
109,1,109_1,22,47.912968,-122.100067,3125,Second St & Ave E,Community Transit,,,,,,NO,NO,NO,YES,53061052401,524.01,061,052401,Great
109,1,109_1,23,47.914837,-122.098333,858,Ave D & Third St,Community Transit,,,,,,YES,YES,NO,YES,53061052402,524.02,061,052402,Great
109,1,109_1,24,47.918006,-122.098127,859,Ave D & Fifth St,Community Transit,,,,,,YES,YES,NO,YES,53061052402,524.02,061,052402,Great
109,1,109_1,25,47.923379,-122.097796,860,Ave D & 10th St,Community Transit,,,,,,YES,YES,NO,YES,53061052402,524.02,061,052402,Great
109,1,109_1,26,47.928606,-122.09912,857,Ave D & 13th St,Community Transit,,,,,,YES,YES,NO,YES,53061052401,524.01,061,052401,Great
109,1,109_1,27,47.929643,-122.099878,3127,Ave D & Ferguson Park Rd,Community Transit,,,,,,YES,YES,NO,YES,53061052401,524.01,061,052401,Great
109,1,109_1,28,47.935624,-122.104242,2606,Bickford Ave & Ridge Ave,Community Transit,,,,,,YES,YES,NO,YES,53061052502,525.02,061,052502,Great
109,1,109_1,29,47.939502,-122.106877,3124,Bickford Ave & 23rd St,Community Transit,,,,,,YES,YES,NO,YES,53061052502,525.02,061,052502,Great
109,1,109_1,30,47.942262,-122.108419,2988,Bickford Ave & 62nd Pl SE,Community Transit,,,,,,YES,YES,NO,YES,53061052502,525.02,061,052502,Great
109,1,109_1,31,47.943746,-122.109225,2989,Bickford Ave & 30th St,Community Transit,,,,,,YES,YES,NO,YES,53061052502,525.02,061,052502,Great
109,1,109_1,32,47.945616,-122.107916,353,56th St SE & 91st Ave SE,Community Transit,,,,,,NO,NO,NO,YES,53061052502,525.02,061,052502,Great
270,0,270_0,8,47.912773,-122.087022,1628,Second St & Pine Ave,Community Transit,,,,,,YES,NO,NO,YES,53061052402,524.02,061,052402,Good
270,0,270_0,9,47.912886,-122.091212,3131,2nd St & Cedar Ave,Community Transit,,,,,,YES,NO,NO,YES,53061052402,524.02,061,052402,Good
270,0,270_0,10,47.912965,-122.093744,1629,Second St & Ave A,Community Transit,,,,,,YES,NO,NO,YES,53061052402,524.02,061,052402,Good
270,0,270_0,11,47.913046,-122.09776,1626,Second St & Ave C,Community Transit,,,,,,YES,NO,NO,YES,53061052402,524.02,061,052402,Good
270,0,270_0,12,47.914837,-122.098333,858,Ave D & Third St,Community Transit,,,,,,YES,YES,NO,YES,53061052402,524.02,061,052402,Good
270,0,270_0,13,47.918006,-122.098127,859,Ave D & Fifth St,Community Transit,,,,,,YES,YES,NO,YES,53061052402,524.02,061,052402,Good
270,0,270_0,14,47.923379,-122.097796,860,Ave D & 10th St,Community Transit,,,,,,YES,YES,NO,YES,53061052402,524.02,061,052402,Good
270,0,270_0,15,47.928606,-122.09912,857,Ave D & 13th St,Community Transit,,,,,,YES,YES,NO,YES,53061052401,524.01,061,052401,Good
270,0,270_0,16,47.929643,-122.099878,3127,Ave D & Ferguson Park Rd,Community Transit,,,,,,YES,YES,NO,YES,53061052401,524.01,061,052401,Good
270,0,270_0,17,47.935624,-122.104242,2606,Bickford Ave & Ridge Ave,Community Transit,,,,,,YES,YES,NO,YES,53061052502,525.02,061,052502,Good
270,0,270_0,18,47.939502,-122.106877,3124,Bickford Ave & 23rd St,Community Transit,,,,,,YES,YES,NO,YES,53061052502,525.02,061,052502,Good
270,0,270_0,19,47.942262,-122.108419,2988,Bickford Ave & 62nd Pl SE,Community Transit,,,,,,YES,YES,NO,YES,53061052502,525.02,061,052502,Good
270,0,270_0,20,47.943746,-122.109225,2989,Bickford Ave & 30th St,Community Transit,,,,,,YES,YES,NO,YES,53061052502,525.02,061,052502,Good
270,0,270_0,21,47.948621,-122.113666,825,Bickford Ave & 34th St,Community Transit,,,,,,YES,NO,NO,YES,53061052502,525.02,061,052502,Good
270,1,270_1,3,47.948346,-122.113701,1314,Bickford Ave & 34th St,Community Transit,,,,,,NO,NO,NO,YES,53061052502,525.02,061,052502,Good
270,1,270_1,4,47.945057,-122.110458,2987,Bickford Ave & 30th St,Community Transit,,,,,,YES,YES,NO,YES,53061052502,525.02,061,052502,Good
270,1,270_1,5,47.942559,-122.108873,3126,Bickford Ave & 62nd Pl SE,Community Transit,,,,,,YES,YES,NO,YES,53061052502,525.02,061,052502,Good
270,1,270_1,6,47.938947,-122.106834,3123,Bickford Ave & Weaver Rd,Community Transit,,,,,,YES,YES,NO,YES,53061052502,525.02,061,052502,Good
270,1,270_1,7,47.935322,-122.104327,2607,Bickford Ave & 19th Pl,Community Transit,,,,,,YES,YES,NO,YES,53061052502,525.02,061,052502,Good
270,1,270_1,8,47.929528,-122.100051,3128,Ave D & 14th St SE,Community Transit,,,,,,YES,YES,NO,YES,53061052401,524.01,061,052401,Good
270,1,270_1,9,47.926617,-122.098195,1353,Ave D & 13th St,Community Transit,,,,,,YES,YES,NO,YES,53061052401,524.01,061,052401,Good
270,1,270_1,10,47.922876,-122.098091,1351,Ave D & Bonneville Ave,Community Transit,,,,,,YES,YES,NO,YES,53061052401,524.01,061,052401,Good
270,1,270_1,11,47.917311,-122.098366,1350,Ave D & Fifth St,Community Transit,,,,,,YES,YES,NO,YES,53061052401,524.01,061,052401,Good
270,1,270_1,12,47.914969,-122.098521,1352,Ave D & Third St,Community Transit,,,,,,YES,YES,NO,YES,53061052401,524.01,061,052401,Good
270,1,270_1,13,47.912859,-122.096733,242,Second St & Ave C,Community Transit,,,,,,NO,NO,NO,YES,53061052402,524.02,061,052402,Good
270,1,270_1,14,47.912799,-122.093982,241,Second St & Ave A,Community Transit,,,,,,NO,NO,NO,YES,53061052402,524.02,061,052402,Good
270,1,270_1,15,47.912623,-122.088507,243,Second St & Maple Ave,Community Transit,,,,,,NO,NO,NO,YES,53061052402,524.02,061,052402,Good
270,1,270_1,16,47.912624,-122.085191,244,Second St & Pine Ave,Community Transit,,,,,,NO,NO,NO,YES,53061052402,524.02,061,052402,Good
271,0,271_0,37,47.912773,-122.087022,1628,Second St & Pine Ave,Community Transit,,,,,,YES,NO,NO,YES,53061052402,524.02,061,052402,Good
271,0,271_0,38,47.912886,-122.091212,3131,2nd St & Cedar Ave,Community Transit,,,,,,YES,NO,NO,YES,53061052402,524.02,061,052402,Good
271,0,271_0,39,47.912965,-122.093744,1629,Second St & Ave A,Community Transit,,,,,,YES,NO,NO,YES,53061052402,524.02,061,052402,Good
271,0,271_0,40,47.913046,-122.09776,1626,Second St & Ave C,Community Transit,,,,,,YES,NO,NO,YES,53061052402,524.02,061,052402,Good
271,0,271_0,41,47.914837,-122.098333,858,Ave D & Third St,Community Transit,,,,,,YES,YES,NO,YES,53061052402,524.02,061,052402,Good
271,0,271_0,42,47.918006,-122.098127,859,Ave D & Fifth St,Community Transit,,,,,,YES,YES,NO,YES,53061052402,524.02,061,052402,Good
271,0,271_0,43,47.923379,-122.097796,860,Ave D & 10th St,Community Transit,,,,,,YES,YES,NO,YES,53061052402,524.02,061,052402,Good
271,0,271_0,44,47.928606,-122.09912,857,Ave D & 13th St,Community Transit,,,,,,YES,YES,NO,YES,53061052401,524.01,061,052401,Good
271,0,271_0,45,47.929643,-122.099878,3127,Ave D & Ferguson Park Rd,Community Transit,,,,,,YES,YES,NO,YES,53061052401,524.01,061,052401,Good
271,0,271_0,46,47.935624,-122.104242,2606,Bickford Ave & Ridge Ave,Community Transit,,,,,,YES,YES,NO,YES,53061052502,525.02,061,052502,Good
271,0,271_0,47,47.939502,-122.106877,3124,Bickford Ave & 23rd St,Community Transit,,,,,,YES,YES,NO,YES,53061052502,525.02,061,052502,Good
271,0,271_0,48,47.942262,-122.108419,2988,Bickford Ave & 62nd Pl SE,Community Transit,,,,,,YES,YES,NO,YES,53061052502,525.02,061,052502,Good
271,0,271_0,49,47.943746,-122.109225,2989,Bickford Ave & 30th St,Community Transit,,,,,,YES,YES,NO,YES,53061052502,525.02,061,052502,Good
271,0,271_0,50,47.948621,-122.113666,825,Bickford Ave & 34th St,Community Transit,,,,,,YES,NO,NO,YES,53061052502,525.02,061,052502,Good
271,1,271_1,3,47.948346,-122.113701,1314,Bickford Ave & 34th St,Community Transit,,,,,,NO,NO,NO,YES,53061052502,525.02,061,052502,Good
271,1,271_1,4,47.945057,-122.110458,2987,Bickford Ave & 30th St,Community Transit,,,,,,YES,YES,NO,YES,53061052502,525.02,061,052502,Good
271,1,271_1,5,47.942559,-122.108873,3126,Bickford Ave & 62nd Pl SE,Community Transit,,,,,,YES,YES,NO,YES,53061052502,525.02,061,052502,Good
271,1,271_1,6,47.938947,-122.106834,3123,Bickford Ave & Weaver Rd,Community Transit,,,,,,YES,YES,NO,YES,53061052502,525.02,061,052502,Good
271,1,271_1,7,47.935322,-122.104327,2607,Bickford Ave & 19th Pl,Community Transit,,,,,,YES,YES,NO,YES,53061052502,525.02,061,052502,Good
271,1,271_1,8,47.929528,-122.100051,3128,Ave D & 14th St SE,Community Transit,,,,,,YES,YES,NO,YES,53061052401,524.01,061,052401,Good
