route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
100099,0,100099_0,17,47.5166283,-121.879189,64425,Snoqualmie Pkwy & SE Jacobia St,Metro Transit,,,,,,NO,NO,NO,NO,53033032604,326.04,033,032604,Ok
100099,0,100099_0,18,47.524456,-121.879639,64417,Snoqualmie Pkwy & Swenson Dr SE,Metro Transit,,,,,,NO,NO,NO,NO,53033032604,326.04,033,032604,Ok
100099,0,100099_0,19,47.5319061,-121.868095,64409,Fairway Ave SE & Aspen Ln,Metro Transit,,,,,,NO,NO,NO,NO,53033032603,326.03,033,032603,Ok
100099,0,100099_0,20,47.5341072,-121.867714,64411,Fairway Ave SE & SE Ridge St,Metro Transit,,,,,,NO,NO,NO,NO,53033032603,326.03,033,032603,Ok
100099,0,100099_0,21,47.5316467,-121.873817,64413,SE Ridge St & Center Blvd SE,Metro Transit,,,,,,NO,NO,NO,NO,53033032605,326.05,033,032605,Ok
100099,0,100099_0,22,47.5324516,-121.877708,64414,SE Ridge St & Douglas Ave SE,Metro Transit,,,,,,NO,NO,NO,NO,53033032605,326.05,033,032605,Ok
100099,0,100099_0,23,47.5298615,-121.878288,64358,Douglas Ave SE & Baker Ave SE,Metro Transit,,,,,,NO,NO,NO,NO,53033032605,326.05,033,032605,Ok
100099,0,100099_0,24,47.5311203,-121.856415,64419,Snoqualmie Pkwy & Fisher Ave SE,Metro Transit,,,,,,NO,NO,NO,NO,53033032604,326.04,033,032604,Ok
100099,0,100099_0,25,47.532795,-121.85038,64406,Snoqualmie Pkwy & Orchard Ave SE,Metro Transit,,,,,,NO,NO,NO,NO,53033032604,326.04,033,032604,Ok
100099,0,100099_0,26,47.5343246,-121.839882,64402,Snoqualmie Pkwy & Better Way Loop SE,Metro Transit,,,,,,NO,NO,NO,NO,53033032604,326.04,033,032604,Ok
100099,0,100099_0,27,47.5362968,-121.830978,64398,Railroad Ave SE & Snoqualmie Pkwy,Metro Transit,,,,,,NO,NO,NO,YES,53033032604,326.04,033,032604,Ok
