route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
60,0,60_0,10,48.242638,-122.349935,STW,Stanwood Amtrak,Amtrak,,,,,,NO,YES,NO,NO,53061053301,533.01,061,053301,Acceptable
240,0,240_0,29,48.234157,-122.338185,477,Pioneer Hwy & 77th Ave NW,Community Transit,,,,,,YES,YES,NO,YES,53061053301,533.01,061,053301,Great
240,0,240_0,30,48.233489,-122.330066,762,72nd Ave NW & 261st St NW,Community Transit,,,,,,YES,YES,NO,YES,53061053301,533.01,061,053301,Great
240,0,240_0,31,48.237477,-122.330087,760,72nd Ave NW & 265th St NW,Community Transit,,,,,,YES,YES,NO,YES,53061053301,533.01,061,053301,Great
240,0,240_0,32,48.242188,-122.330325,2963,72nd Ave NW & 272nd St NW,Community Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Great
240,0,240_0,33,48.244673,-122.330289,2962,72nd Ave NW & Tyler Pl NW,Community Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Great
240,0,240_0,34,48.246714,-122.333419,2939,276th St NW & 74th Ave NW,Community Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Great
240,0,240_0,35,48.246739,-122.338979,1717,276th St NW & 78th Ave NW,Community Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Great
240,0,240_0,36,48.246739,-122.341435,2959,276th St NW & Cedarhome Dr NW,Community Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Great
240,0,240_0,37,48.242248,-122.352507,2550,271st St NW & 88th Ave NW,Community Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Great
240,0,240_0,38,48.242206,-122.357912,2551,271st St NW & 92nd Ave NW,Community Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Great
240,0,240_0,39,48.242196,-122.360617,2552,271st St NW & 94th Dr NW,Community Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Great
240,0,240_0,40,48.242188,-122.364335,2553,271st St NW & 270th St NW,Community Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Great
240,0,240_0,41,48.243675,-122.367661,3326,272nd Pl NW & 99th Ave NW,Community Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Great
240,1,240_1,1,48.243639,-122.368059,2554,272nd Pl NW & 100th Ave NW,Community Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Good
240,1,240_1,2,48.242362,-122.369787,2555,271st St NW & 101st Ave NW,Community Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Good
240,1,240_1,3,48.242046,-122.363226,336,271st St NW & 96th Ave NW,Community Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Good
240,1,240_1,4,48.242061,-122.360661,333,271st St NW & 94th Dr NW,Community Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Good
240,1,240_1,5,48.242092,-122.357072,335,271st St NW & 92nd Ave NW,Community Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Good
240,1,240_1,6,48.24206,-122.353328,334,271st St NW & 90th Ave NW,Community Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Good
240,1,240_1,7,48.246636,-122.338966,340,276th St NW & 78th Ave NW,Community Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Good
240,1,240_1,8,48.246594,-122.332609,2936,276th St NW & 73rd Ave NW,Community Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Good
240,1,240_1,9,48.245548,-122.330432,2960,72nd Ave NW & Tyler Pl NW,Community Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Good
240,1,240_1,10,48.242766,-122.3304,2961,72nd Ave NW & 272nd St NW,Community Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Good
240,1,240_1,11,48.240647,-122.330379,1246,72nd Ave NW & 268th St NW,Community Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Good
240,1,240_1,12,48.238311,-122.330388,1244,72nd Ave NW & 267th Pl NW,Community Transit,,,,,,YES,YES,NO,YES,53061053301,533.01,061,053301,Good
240,1,240_1,13,48.236746,-122.33036,1245,72nd Ave NW & 265th St NW,Community Transit,,,,,,YES,YES,NO,YES,53061053301,533.01,061,053301,Good
240,1,240_1,14,48.233171,-122.330247,1243,72nd Ave NW & 261st St NW,Community Transit,,,,,,YES,YES,NO,YES,53061053301,533.01,061,053301,Good
240,1,240_1,15,48.234315,-122.338088,36,Pioneer Hwy & 77th Ave NW,Community Transit,,,,,,YES,YES,NO,YES,53061053301,533.01,061,053301,Good
905,0,905_0,1,48.240528,-122.351834,791,88th Ave NW & 270th St NW,Community Transit,,,,,,YES,YES,NO,NO,53061053301,533.01,061,053301,Great
905,0,905_0,3,48.234157,-122.338185,477,Pioneer Hwy & 77th Ave NW,Community Transit,,,,,,YES,YES,NO,YES,53061053301,533.01,061,053301,Great
905,0,905_0,4,48.233489,-122.330066,762,72nd Ave NW & 261st St NW,Community Transit,,,,,,YES,YES,NO,YES,53061053301,533.01,061,053301,Great
905,0,905_0,5,48.237477,-122.330087,760,72nd Ave NW & 265th St NW,Community Transit,,,,,,YES,YES,NO,YES,53061053301,533.01,061,053301,Great
905,1,905_1,9,48.238311,-122.330388,1244,72nd Ave NW & 267th Pl NW,Community Transit,,,,,,YES,YES,NO,YES,53061053301,533.01,061,053301,Great
905,1,905_1,10,48.236746,-122.33036,1245,72nd Ave NW & 265th St NW,Community Transit,,,,,,YES,YES,NO,YES,53061053301,533.01,061,053301,Great
905,1,905_1,11,48.233171,-122.330247,1243,72nd Ave NW & 261st St NW,Community Transit,,,,,,YES,YES,NO,YES,53061053301,533.01,061,053301,Great
905,1,905_1,12,48.234315,-122.338088,36,Pioneer Hwy & 77th Ave NW,Community Transit,,,,,,YES,YES,NO,YES,53061053301,533.01,061,053301,Great
905,1,905_1,13,48.240528,-122.351834,791,88th Ave NW & 270th St NW,Community Transit,,,,,,YES,YES,NO,NO,53061053301,533.01,061,053301,Great
32467,0,32467_0,6,48.240508,-122.351822,3449544,Rite-Aid Stanwood,Island Transit,,,,,,YES,YES,NO,YES,53061053301,533.01,061,053301,Good
32467,0,32467_0,8,48.242238376918834,-122.34611066726974,3449569,Pioneer Hwy at Les Schwab,Island Transit,,,,,,NO,NO,NO,NO,53061053301,533.01,061,053301,Good
32467,1,32467_1,5,48.24204576716929,-122.34618545656684,3449525,Pioneer Hwy at North Star Cold Storage,Island Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Good
32467,1,32467_1,6,48.240508,-122.351822,3449544,Rite-Aid Stanwood,Island Transit,,,,,,YES,YES,NO,YES,53061053301,533.01,061,053301,Good
32472,0,32472_0,1,48.238073653110575,-122.33278572074352,4245789,YMCA,Island Transit,,,,,,YES,YES,NO,YES,53061053301,533.01,061,053301,Good
32472,0,32472_0,2,48.240669,-122.330267,3449528,Church Creek,Island Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Good
32472,0,32472_0,3,48.24312,-122.336841,3449527,Stanwood High School,Island Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Good
32472,0,32472_0,4,48.243145,-122.339716,3449526,Bayview Garden on 272nd St at 78th,Island Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Good
32472,0,32472_0,5,48.24204576716929,-122.34618545656684,3449525,Pioneer Hwy at North Star Cold Storage,Island Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Good
32472,0,32472_0,6,48.240508,-122.351822,3449544,Rite-Aid Stanwood,Island Transit,,,,,,YES,YES,NO,YES,53061053301,533.01,061,053301,Good
32472,0,32472_0,7,48.242211,-122.352356,3449362,271st St NW & 88th Ave NW,Island Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Good
32472,0,32472_0,8,48.2422,-122.357733,3449361,271st St NW & 92nd Ave NW,Island Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Good
32472,0,32472_0,9,48.242191,-122.361131,3449360,271st St NW & 94th Dr NW,Island Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Good
32472,0,32472_0,10,48.242174,-122.36464,3449359,Stanwood Library,Island Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Good
32472,0,32472_0,11,48.241388,-122.367785,3449345,Camano St,Island Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Good
32472,1,32472_1,6,48.241289,-122.367724,3449533,Camano St,Island Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Good
32472,1,32472_1,7,48.242049,-122.363307,3449639,271st St NW & 96th Ave NW,Island Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Good
32472,1,32472_1,8,48.242065,-122.360692,3449532,Middle School - Camano Island,Island Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Good
32472,1,32472_1,9,48.24208563834179,-122.35334632339446,3449531,Frontier Bank,Island Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Good
32472,1,32472_1,10,48.241244,-122.3521446,3449530,Viking Village,Island Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Good
32472,1,32472_1,11,48.23405376224977,-122.33777421323516,3449411,Pioneer Highway,Island Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Good
32472,1,32472_1,12,48.23804,-122.33014,3449529,Haggen Grocery,Island Transit,,,,,,NO,NO,NO,YES,53061053301,533.01,061,053301,Good
32472,1,32472_1,13,48.238073653110575,-122.33278572074352,4245789,YMCA,Island Transit,,,,,,YES,YES,NO,YES,53061053301,533.01,061,053301,Good
32481,0,32481_0,4,48.240508,-122.351822,3449544,Rite-Aid Stanwood,Island Transit,,,,,,YES,YES,NO,YES,53061053301,533.01,061,053301,Good
32481,1,32481_1,2,48.240508,-122.351822,3449544,Rite-Aid Stanwood,Island Transit,,,,,,YES,YES,NO,YES,53061053301,533.01,061,053301,Good
33356,0,33356_0,1,48.246194601992606,-122.33338580890549,3475213,Lincoln Hill Retirement Community,Snow Goose Transit,Route 1,Counterclockwise thru Arlington,3,0089e9,000000,NO,NO,NO,NO,53061053301,533.01,061,053301,Poor
33356,0,33356_0,2,48.237795,-122.332451,3476598,YMCA,Snow Goose Transit,Route 1,Counterclockwise thru Arlington,3,0089e9,000000,NO,NO,NO,NO,53061053301,533.01,061,053301,Poor
33356,0,33356_0,3,48.238154,-122.328495,3475214,Haggen,Snow Goose Transit,Route 1,Counterclockwise thru Arlington,3,0089e9,000000,NO,NO,NO,NO,53061053301,533.01,061,053301,Poor
33356,0,33356_0,12,48.242413,-122.370926,3475220,Stanwood Camano Food Bank,Snow Goose Transit,Route 1,Counterclockwise thru Arlington,3,0089e9,000000,NO,NO,NO,NO,53061053301,533.01,061,053301,Poor
33356,0,33356_0,13,48.246194601992606,-122.33338580890549,3475213,Lincoln Hill Retirement Community,Snow Goose Transit,Route 1,Counterclockwise thru Arlington,3,0089e9,000000,NO,NO,NO,NO,53061053301,533.01,061,053301,Poor
77088,0,77088_0,1,48.246194601992606,-122.33338580890549,3475213,Lincoln Hill Retirement Community,Snow Goose Transit,Route 2,Clockwise thru Arlington,3,0089e9,000000,NO,NO,NO,NO,53061053301,533.01,061,053301,Poor
77088,0,77088_0,2,48.240889,-122.358937,3475211,QFC,Snow Goose Transit,Route 2,Clockwise thru Arlington,3,0089e9,000000,NO,NO,NO,NO,53061053301,533.01,061,053301,Poor
77088,0,77088_0,3,48.240737,-122.36398,3475210,Skagit Regional Clinic - Stanwood,Snow Goose Transit,Route 2,Clockwise thru Arlington,3,0089e9,000000,NO,NO,NO,NO,53061053301,533.01,061,053301,Poor
77088,0,77088_0,5,48.237795,-122.332451,3476598,YMCA,Snow Goose Transit,Route 2,Clockwise thru Arlington,3,0089e9,000000,NO,NO,NO,NO,53061053301,533.01,061,053301,Poor
77088,0,77088_0,6,48.238154,-122.328495,3475214,Haggen,Snow Goose Transit,Route 2,Clockwise thru Arlington,3,0089e9,000000,NO,NO,NO,NO,53061053301,533.01,061,053301,Poor
77088,0,77088_0,13,48.246194601992606,-122.33338580890549,3475213,Lincoln Hill Retirement Community,Snow Goose Transit,Route 2,Clockwise thru Arlington,3,0089e9,000000,NO,NO,NO,NO,53061053301,533.01,061,053301,Poor
