route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
74346,0,74346_0,2,48.27840536854663,-118.13718847656199,4147127,Gifford Ferry Landing,Colville Confederated Tribes Transit,,,,,,YES,YES,NO,YES,53065950900,9509,065,950900,Good
74346,1,74346_1,1,48.27840536854663,-118.13718847656199,4147127,Gifford Ferry Landing,Colville Confederated Tribes Transit,,,,,,YES,YES,NO,YES,53065950900,9509,065,950900,Good
76651,0,76651_0,3,48.61033886887114,-118.06240966866224,4223974,Kettle Falls,Colville Confederated Tribes Transit,,,,,,NO,NO,NO,NO,53065950101,9501.01,065,950101,Poor
76651,0,76651_0,4,48.53602204556225,-117.908538209353,4223976,Colville,Colville Confederated Tribes Transit,,,,,,NO,NO,NO,NO,53065950500,9505,065,950500,Poor
76651,0,76651_0,5,48.5534251156121,-117.91583065943155,4223977,Colville Walmart,Colville Confederated Tribes Transit,,,,,,NO,NO,NO,NO,53065950300,9503,065,950300,Poor
76651,1,76651_1,1,48.5534251156121,-117.91583065943155,4223977,Colville Walmart,Colville Confederated Tribes Transit,,,,,,NO,NO,NO,NO,53065950300,9503,065,950300,Poor
74322,0,74322_0,1,48.2378063693475,-117.710848110621,4146995,Chewelah Casino,Kaltran,,,,,,NO,NO,NO,NO,53065950800,9508,065,950800,Poor
74322,0,74322_0,2,48.3017001627373,-117.562481228872,4146996,49 North Mountain Resort,Kaltran,,,,,,NO,NO,NO,NO,53065950800,9508,065,950800,Poor
74322,1,74322_1,2,48.3017001627373,-117.562481228872,4146996,49 North Mountain Resort,Kaltran,,,,,,NO,NO,NO,NO,53065950800,9508,065,950800,Poor
74322,1,74322_1,3,48.2378063693475,-117.710848110621,4146995,Chewelah Casino,Kaltran,,,,,,NO,NO,NO,NO,53065950800,9508,065,950800,Poor
19754,0,19754_0,1,48.547810162,-117.907095254,2755056,Colville Safeway,Rural Resources Community Action,,,,,,NO,NO,NO,NO,53065950300,9503,065,950300,Poor
19754,0,19754_0,2,48.553385406,-117.915837942,2755045,Colville Walmart,Rural Resources Community Action,,,,,,NO,NO,NO,NO,53065950300,9503,065,950300,Poor
19754,0,19754_0,3,48.611346938,-118.058291054,2755046,Kettle Falls Harvest Foods,Rural Resources Community Action,,,,,,NO,NO,NO,NO,53065950101,9501.01,065,950101,Poor
19754,0,19754_0,4,48.6079143060075,-118.07231113944073,2755047,Kettle Falls Chevron,Rural Resources Community Action,,,,,,NO,NO,NO,NO,53065950101,9501.01,065,950101,Poor
19754,0,19754_0,5,48.602568428,-118.058223559,2755048,Three Rivers Ranger Station,Rural Resources Community Action,,,,,,NO,NO,NO,NO,53065950101,9501.01,065,950101,Poor
19754,1,19754_1,1,48.613958966,-118.0962216,2755052,Kettle Falls Columbia River Christian Academy,Rural Resources Community Action,,,,,,NO,NO,NO,NO,53065950102,9501.02,065,950102,Poor
19754,1,19754_1,2,48.553385406,-117.915837942,2755045,Colville Walmart,Rural Resources Community Action,,,,,,NO,NO,NO,NO,53065950300,9503,065,950300,Poor
19754,1,19754_1,3,48.547810162,-117.907095254,2755056,Colville Safeway,Rural Resources Community Action,,,,,,NO,NO,NO,NO,53065950300,9503,065,950300,Poor
19754,1,19754_1,4,48.53568155,-117.901344366,2755049,Spokane Community College - Colville,Rural Resources Community Action,,,,,,NO,NO,NO,NO,53065950500,9505,065,950500,Poor
19754,1,19754_1,5,48.536030351,-117.908520974,2755050,Rural Resources Office (South Town Plaza),Rural Resources Community Action,,,,,,NO,NO,NO,NO,53065950500,9505,065,950500,Poor
19755,0,19755_0,1,48.237788418,-117.710822529,2755053,Mistequa Casino & Hotel,Rural Resources Community Action,,,,,,NO,NO,NO,NO,53065950800,9508,065,950800,Poor
19755,0,19755_0,2,48.279176285660384,-117.7156492263591,2755044,Chewelah Safeway,Rural Resources Community Action,,,,,,NO,NO,NO,NO,53065950700,9507,065,950700,Poor
19755,0,19755_0,3,48.31848017817481,-117.82167500914719,2755054,Blue Creek Mercantile,Rural Resources Community Action,,,,,,NO,NO,NO,NO,53065950800,9508,065,950800,Poor
19755,0,19755_0,4,48.35695508420315,-117.834458651138,2755055,Addy Thrift Store,Rural Resources Community Action,,,,,,NO,NO,NO,NO,53065950800,9508,065,950800,Poor
19755,0,19755_0,5,48.536030351,-117.908520974,2755050,Rural Resources Office (South Town Plaza),Rural Resources Community Action,,,,,,NO,NO,NO,NO,53065950500,9505,065,950500,Poor
19755,1,19755_1,1,48.536030351,-117.908520974,2755050,Rural Resources Office (South Town Plaza),Rural Resources Community Action,,,,,,NO,NO,NO,NO,53065950500,9505,065,950500,Poor
19755,1,19755_1,2,48.35695508420315,-117.834458651138,2755055,Addy Thrift Store,Rural Resources Community Action,,,,,,NO,NO,NO,NO,53065950800,9508,065,950800,Poor
19755,1,19755_1,3,48.31848017817481,-117.82167500914719,2755054,Blue Creek Mercantile,Rural Resources Community Action,,,,,,NO,NO,NO,NO,53065950800,9508,065,950800,Poor
19755,1,19755_1,4,48.279176285660384,-117.7156492263591,2755044,Chewelah Safeway,Rural Resources Community Action,,,,,,NO,NO,NO,NO,53065950700,9507,065,950700,Poor
19755,1,19755_1,5,48.237788418,-117.710822529,2755053,Mistequa Casino & Hotel,Rural Resources Community Action,,,,,,NO,NO,NO,NO,53065950800,9508,065,950800,Poor
74347,0,74347_0,1,47.96055764022802,-118.2298413945567,4147129,West End,The Moccasin Express,,,,,,NO,NO,NO,YES,53065941000,9410,065,941000,Acceptable
74347,0,74347_0,2,47.8890245686797,-117.98756469216953,4147128,Wellpinit,The Moccasin Express,,,,,,YES,NO,NO,YES,53065941000,9410,065,941000,Acceptable
74347,1,74347_1,1,47.8890245686797,-117.98756469216953,4147128,Wellpinit,The Moccasin Express,,,,,,YES,NO,NO,YES,53065941000,9410,065,941000,Acceptable
74347,1,74347_1,2,47.96055764022802,-118.2298413945567,4147129,West End,The Moccasin Express,,,,,,NO,NO,NO,YES,53065941000,9410,065,941000,Acceptable
74347,1,74347_1,3,47.906736038554016,-118.32451400220035,4147130,Two Rivers,The Moccasin Express,,,,,,NO,NO,NO,NO,53065941000,9410,065,941000,Acceptable
74348,0,74348_0,1,47.8890245686797,-117.98756469216953,4147128,Wellpinit,The Moccasin Express,,,,,,YES,NO,NO,YES,53065941000,9410,065,941000,Acceptable
74348,0,74348_0,2,47.99473744495282,-117.73557819994195,4147131,Reservation Cluster Road,The Moccasin Express,,,,,,NO,NO,NO,YES,53065941000,9410,065,941000,Acceptable
74348,0,74348_0,3,47.94031546273891,-117.7948563163473,4147132,New House Ctr,The Moccasin Express,,,,,,NO,NO,NO,NO,53065941000,9410,065,941000,Acceptable
74348,0,74348_0,4,47.900522691107,-117.86532923979786,4147133,Kokanee Meadows Way Road,The Moccasin Express,,,,,,NO,NO,NO,NO,53065941000,9410,065,941000,Acceptable
74348,0,74348_0,5,47.85429059418877,-117.87353119811766,4147134,Martha Boardman Road,The Moccasin Express,,,,,,NO,NO,NO,NO,53065941000,9410,065,941000,Acceptable
74348,0,74348_0,6,47.8890245686797,-117.98756469216953,4147128,Wellpinit,The Moccasin Express,,,,,,YES,NO,NO,YES,53065941000,9410,065,941000,Acceptable
74349,0,74349_0,1,47.8890245686797,-117.98756469216953,4147128,Wellpinit,The Moccasin Express,,,,,,YES,NO,NO,YES,53065941000,9410,065,941000,Acceptable
74349,1,74349_1,5,47.8890245686797,-117.98756469216953,4147128,Wellpinit,The Moccasin Express,,,,,,YES,NO,NO,YES,53065941000,9410,065,941000,Acceptable
74350,0,74350_0,1,47.99473744495282,-117.73557819994195,4147131,Reservation Cluster Road,The Moccasin Express,,,,,,NO,NO,NO,YES,53065941000,9410,065,941000,Ok
74350,0,74350_0,2,48.05775578975414,-117.74263200045255,4147141,Springdale,The Moccasin Express,,,,,,NO,NO,NO,NO,53065951100,9511,065,951100,Ok
74350,0,74350_0,3,48.175299400406374,-117.72497575658562,4147142,Valley C Store,The Moccasin Express,,,,,,NO,NO,NO,YES,53065951100,9511,065,951100,Ok
74350,0,74350_0,4,48.2409653798417,-117.714570260406,4147144,Spoko Fuel - Chewelah,The Moccasin Express,,,,,,NO,NO,NO,NO,53065950800,9508,065,950800,Ok
74350,0,74350_0,5,48.23778125980033,-117.71085270530271,4147143,Chewelah Casino,The Moccasin Express,,,,,,NO,NO,NO,YES,53065950800,9508,065,950800,Ok
74350,1,74350_1,1,48.23778125980033,-117.71085270530271,4147143,Chewelah Casino,The Moccasin Express,,,,,,NO,NO,NO,YES,53065950800,9508,065,950800,Acceptable
74350,1,74350_1,2,48.175299400406374,-117.72497575658562,4147142,Valley C Store,The Moccasin Express,,,,,,NO,NO,NO,YES,53065951100,9511,065,951100,Acceptable
74350,1,74350_1,3,48.05775578975414,-117.74263200045255,4147141,Springdale,The Moccasin Express,,,,,,NO,NO,NO,NO,53065951100,9511,065,951100,Acceptable
74350,1,74350_1,4,47.99473744495282,-117.73557819994195,4147131,Reservation Cluster Road,The Moccasin Express,,,,,,NO,NO,NO,YES,53065941000,9410,065,941000,Acceptable
74350,1,74350_1,5,47.8890245686797,-117.98756469216953,4147128,Wellpinit,The Moccasin Express,,,,,,YES,NO,NO,YES,53065941000,9410,065,941000,Acceptable
