route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
36924,0,36924_0,5,47.239803,-122.428099,TAC,Tacoma,Amtrak,,,,,,NO,NO,NO,YES,53053060200,602,053,060200,Ok
36924,1,36924_1,2,47.239803,-122.428099,TAC,Tacoma,Amtrak,,,,,,NO,NO,NO,YES,53053060200,602,053,060200,Ok
60,0,60_0,5,47.239803,-122.428099,TAC,Tacoma,Amtrak,,,,,,NO,NO,NO,YES,53053060200,602,053,060200,Acceptable
60,1,60_1,3,47.239803,-122.428099,TAC,Tacoma,Amtrak,,,,,,NO,NO,NO,YES,53053060200,602,053,060200,Ok
100073,0,100073_0,22,47.282856,-122.364265,61478,29th St NE & 62nd Ave NE,Metro Transit,,,,,,NO,NO,NO,YES,53053940005,9400.05,053,940005,Good
100073,0,100073_0,23,47.2831345,-122.367149,61423,Norpoint Way NE & 29th St NE,Metro Transit,,,,,,NO,NO,NO,YES,53053940005,9400.05,053,940005,Good
100073,0,100073_0,24,47.2864723,-122.370522,61427,Norpoint Way NE & 57th Ave NE,Metro Transit,,,,,,NO,NO,NO,YES,53053940005,9400.05,053,940005,Good
100073,0,100073_0,25,47.2864838,-122.37603,61433,Norpoint Way NE & 53rd Ave NE,Metro Transit,,,,,,NO,NO,NO,YES,53053940005,9400.05,053,940005,Good
100073,0,100073_0,26,47.2864952,-122.38163,61428,Norpoint Way NE & 49th Ave NE,Metro Transit,,,,,,NO,NO,NO,YES,53053940005,9400.05,053,940005,Good
100073,0,100073_0,27,47.2868843,-122.382118,61453,49th Ave NE & Norpoint Way NE,Metro Transit,,,,,,NO,NO,NO,YES,53053940005,9400.05,053,940005,Good
100073,0,100073_0,28,47.290802,-122.382095,61454,49th Ave NE & 38th St NE,Metro Transit,,,,,,NO,NO,NO,YES,53053940005,9400.05,053,940005,Good
100073,0,100073_0,29,47.2948532,-122.38205,61999,49th Ave NE & 42nd St NE,Metro Transit,,,,,,NO,NO,NO,YES,53053940005,9400.05,053,940005,Good
100073,1,100073_1,1,47.2948532,-122.38205,61999,49th Ave NE & 42nd St NE,Metro Transit,,,,,,NO,NO,NO,YES,53053940005,9400.05,053,940005,Good
100073,1,100073_1,2,47.2971649,-122.387558,61996,45th Ave NE & 45th St NE,Metro Transit,,,,,,NO,NO,NO,YES,53053940008,9400.08,053,940008,Good
100073,1,100073_1,3,47.2936058,-122.387093,61997,41st St NE & 45th Ave NE,Metro Transit,,,,,,NO,NO,NO,YES,53053940008,9400.08,053,940008,Good
