route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
74515,0,74515_0,5,46.37528140685623,-120.32042329185296,4258302,Chevron Toppenish,Confederated Tribes and Bands of The Yakama Nation (Pahto Transit),,,,,,NO,NO,NO,NO,53077940002,9400.02,077,940002,Poor
74515,0,74515_0,6,46.377313205113325,-120.3208729553858,4149623,Northwest Community Action Center NCAC (706 Rentschler Lane),Confederated Tribes and Bands of The Yakama Nation (Pahto Transit),,,,,,NO,NO,NO,NO,53077940002,9400.02,077,940002,Poor
74515,0,74515_0,7,46.373162818980006,-120.30060182266013,4149604,Tribal Employment Rights Office TERO (410 S G St),Confederated Tribes and Bands of The Yakama Nation (Pahto Transit),,,,,,NO,NO,NO,NO,53077940002,9400.02,077,940002,Poor
74516,0,74516_0,2,46.377313205113325,-120.3208729553858,4149623,Northwest Community Action Center NCAC (706 Rentschler Lane),Confederated Tribes and Bands of The Yakama Nation (Pahto Transit),,,,,,NO,NO,NO,NO,53077940002,9400.02,077,940002,Poor
74516,0,74516_0,3,46.36786939723055,-120.31993757494143,4149646,Branding Iron Restaurant (61311 US-97),Confederated Tribes and Bands of The Yakama Nation (Pahto Transit),,,,,,NO,NO,NO,NO,53077940002,9400.02,077,940002,Poor
74516,0,74516_0,9,46.377313205113325,-120.3208729553858,4149623,Northwest Community Action Center NCAC (706 Rentschler Lane),Confederated Tribes and Bands of The Yakama Nation (Pahto Transit),,,,,,NO,NO,NO,NO,53077940002,9400.02,077,940002,Poor
77516,0,77516_0,6,46.377313205113325,-120.3208729553858,4149623,Northwest Community Action Center NCAC (706 Rentschler Lane),Confederated Tribes and Bands of The Yakama Nation (Pahto Transit),,,,,,NO,NO,NO,NO,53077940002,9400.02,077,940002,Poor
77516,0,77516_0,7,46.37497609954664,-120.31654264215275,4149636,Yakima Valley Farm Workers - Toppenish Medical & Dental Clinic,Confederated Tribes and Bands of The Yakama Nation (Pahto Transit),,,,,,NO,NO,NO,NO,53077940002,9400.02,077,940002,Poor
77516,0,77516_0,8,46.372512419409,-120.309329013612,4149607,Department of Social & Health Services (400 S Division St),Confederated Tribes and Bands of The Yakama Nation (Pahto Transit),,,,,,NO,NO,NO,NO,53077940002,9400.02,077,940002,Poor
77516,0,77516_0,13,46.38772954213988,-120.31482058244464,4242008,New Addition,Confederated Tribes and Bands of The Yakama Nation (Pahto Transit),,,,,,NO,NO,NO,NO,53077940002,9400.02,077,940002,Poor
77516,0,77516_0,14,46.377313205113325,-120.3208729553858,4149623,Northwest Community Action Center NCAC (706 Rentschler Lane),Confederated Tribes and Bands of The Yakama Nation (Pahto Transit),,,,,,NO,NO,NO,NO,53077940002,9400.02,077,940002,Poor
19704,0,19704_0,3,46.377309,-120.320943,2754808,Toppenish NCAC,People for People,,,,,,NO,NO,NO,NO,53077940002,9400.02,077,940002,Poor
19704,1,19704_1,3,46.377309,-120.320943,2754808,Toppenish NCAC,People for People,,,,,,NO,NO,NO,NO,53077940002,9400.02,077,940002,Poor
