route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
100023,0,100023_0,28,47.5296974,-122.305801,32180,East Marginal Way S & S 81st Pl,Metro Transit,,,,,,NO,NO,NO,YES,53033010900,109,033,010900,Great
100023,0,100023_0,29,47.524292,-122.301727,32182,East Marginal Way S & S 87th Pl,Metro Transit,,,,,,NO,NO,NO,YES,53033010900,109,033,010900,Great
100023,0,100023_0,30,47.5188904,-122.298248,32192,East Marginal Way S & S 94th Pl,Metro Transit,,,,,,NO,NO,NO,YES,53033026300,263,033,026300,Great
100023,0,100023_0,31,47.5165634,-122.296692,32200,East Marginal Way S & S 96th Pl,Metro Transit,,,,,,NO,NO,NO,YES,53033026300,263,033,026300,Great
100023,0,100023_0,32,47.5121613,-122.293861,32210,East Marginal Way S & S Norfolk St,Metro Transit,,,,,,NO,NO,NO,YES,53033026300,263,033,026300,Great
100023,0,100023_0,33,47.5055542,-122.291946,32215,Tukwila Intl Blvd & S Boeing Acs,Metro Transit,,,,,,NO,NO,NO,YES,53033026300,263,033,026300,Great
100023,0,100023_0,34,47.5026131,-122.293434,53070,Tukwila Intl Blvd & S 112th St,Metro Transit,,,,,,NO,NO,NO,YES,53033026300,263,033,026300,Great
100023,0,100023_0,35,47.4920959,-122.29258,53072,Tukwila Intl Blvd & Sr 99 Ramp,Metro Transit,,,,,,NO,NO,NO,YES,53033027100,271,033,027100,Great
100023,0,100023_0,36,47.4872856,-122.289886,60990,Tukwila Intl Blvd & S 130th St,Metro Transit,,,,,,NO,NO,NO,YES,53033027100,271,033,027100,Great
100023,0,100023_0,37,47.483345,-122.286224,61000,Tukwila Intl Blvd & S 133rd St,Metro Transit,,,,,,NO,NO,NO,YES,53033027300,273,033,027300,Great
100023,0,100023_0,38,47.4769173,-122.283684,61012,Tukwila Intl Blvd & S 141st St,Metro Transit,,,,,,NO,NO,NO,YES,53033027300,273,033,027300,Great
