route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
12,0,12_0,18,47.0233879089,-122.923279,332,Crosby Blvd at Mottman Rd [sb],Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010910,109.10,067,010910,Poor
12,0,12_0,20,47.0205001831,-122.926353,100,Crosby Blvd at Somerset Hill Dr [sb],Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010910,109.10,067,010910,Poor
12,0,12_0,21,47.0176277161,-122.920486,101,Barnes Blvd at Ridgeview Loop [sb],Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010910,109.10,067,010910,Poor
12,0,12_0,22,47.0164031982,-122.918152,102,Overlook Point Park [sb],Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010910,109.10,067,010910,Poor
12,0,12_0,23,47.0152778625,-122.915154,103,Barnes Blvd at Vista Loop [sb],Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010910,109.10,067,010910,Poor
12,0,12_0,24,47.0113220215,-122.913025,967,7th Ave at Ebbets Dr [sb],Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010910,109.10,067,010910,Poor
12,0,12_0,25,47.0084724426,-122.913048,104,7th Ave at I St [sb],Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010910,109.10,067,010910,Poor
12,0,12_0,26,47.0074224417,-122.916636,787,Linwood Ave at G St [wb],Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010910,109.10,067,010910,Poor
12,0,12_0,27,47.0074157715,-122.920631,14,Linwood Ave at Liberty St [wb],Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010910,109.10,067,010910,Poor
12,0,12_0,28,47.0074157715,-122.925858,15,Linwood Ave at Rural Rd [wb],Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010910,109.10,067,010910,Poor
12,0,12_0,29,47.0047302246,-122.926788,16,Rural Rd at 48th Ave [sb],Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010920,109.20,067,010920,Poor
12,0,12_0,30,47.0005569458,-122.926826,17,Rural Rd at Trosper Rd [sb],Intercity Transit,12,West Tumwater,3,5A8400,ffffff,NO,NO,NO,NO,53067010920,109.20,067,010920,Poor
