route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
74515,0,74515_0,12,46.5635830286691,-120.479833332278,4149619,Union Gap Rite Aid at Valley Mall (9 E Valley Mall Blvd),Confederated Tribes and Bands of The Yakama Nation (Pahto Transit),,,,,,NO,NO,NO,NO,53077001400,14,077,001400,Poor
77516,0,77516_0,3,46.5635830286691,-120.479833332278,4149619,Union Gap Rite Aid at Valley Mall (9 E Valley Mall Blvd),Confederated Tribes and Bands of The Yakama Nation (Pahto Transit),,,,,,NO,NO,NO,NO,53077001400,14,077,001400,Poor
11058,0,11058_0,4,46.5636664,-120.4798561,2454739,Valley Mall,Selah Transit,,,,,,NO,NO,NO,NO,53077001400,14,077,001400,Acceptable
11058,0,11058_0,5,46.5632053,-120.5011797,2454722,Costco,Selah Transit,,,,,,NO,NO,NO,NO,53077001300,13,077,001300,Acceptable
11058,0,11058_0,6,46.5616046,-120.4963946,2454741,WinCo (2425 Longfibre Rd),Selah Transit,,,,,,NO,NO,NO,NO,53077001300,13,077,001300,Acceptable
6444,0,6444_0,1,46.563668,-120.479858,2371054,Valley Mall,Union Gap Transit,,,,,,YES,YES,NO,YES,53077001400,14,077,001400,Good
6444,0,6444_0,3,46.576331,-120.47762,2371056,S 18th St & Carey St,Union Gap Transit,,,,,,NO,NO,NO,YES,53077001400,14,077,001400,Good
6444,0,6444_0,4,46.569678,-120.509658,2371064,S 3rd Ave & W Washington Ave,Union Gap Transit,,,,,,NO,NO,NO,YES,53077001300,13,077,001300,Good
6444,0,6444_0,5,46.570674678562,-120.51941887759,2371063,W Washington Ave and S 10th Ave,Union Gap Transit,,,,,,NO,NO,NO,YES,53077001300,13,077,001300,Good
6444,0,6444_0,6,46.556852,-120.520256,2371062,Ahtanum Youth Activities Park,Union Gap Transit,,,,,,NO,NO,NO,YES,53077001300,13,077,001300,Good
6444,0,6444_0,7,46.556614242,-120.494708334,2371061,Yakima County Health District/Business Park,Union Gap Transit,,,,,,NO,NO,NO,YES,53077001300,13,077,001300,Good
6444,0,6444_0,8,46.56218931,-120.495324691,2455815,WinCo (2425 Longfibre Rd),Union Gap Transit,,,,,,NO,NO,NO,YES,53077001300,13,077,001300,Good
6444,0,6444_0,9,46.558690548,-120.496185424,4211486,Alder St & Longfibre Rd,Union Gap Transit,,,,,,NO,NO,NO,NO,53077001300,13,077,001300,Good
6444,0,6444_0,10,46.546744,-120.477895,2371060,S 2nd St & W Washington St,Union Gap Transit,,,,,,NO,NO,NO,YES,53077001400,14,077,001400,Good
6444,0,6444_0,11,46.559804,-120.475399,2371057,Washington Department of Transportation,Union Gap Transit,,,,,,NO,NO,NO,YES,53077001400,14,077,001400,Good
6444,0,6444_0,12,46.563668,-120.479858,2371054,Valley Mall,Union Gap Transit,,,,,,YES,YES,NO,YES,53077001400,14,077,001400,Good
6445,0,6445_0,1,46.563668,-120.479858,2371054,Valley Mall,Union Gap Transit,,,,,,YES,YES,NO,YES,53077001400,14,077,001400,Good
6445,0,6445_0,3,46.576331,-120.47762,2371056,S 18th St & Carey St,Union Gap Transit,,,,,,NO,NO,NO,YES,53077001400,14,077,001400,Good
6445,0,6445_0,4,46.559804,-120.475399,2371057,Washington Department of Transportation,Union Gap Transit,,,,,,NO,NO,NO,YES,53077001400,14,077,001400,Good
6445,0,6445_0,5,46.538857,-120.479744,2371058,Fullbright Park,Union Gap Transit,,,,,,NO,NO,NO,YES,53077001300,13,077,001300,Good
6445,0,6445_0,6,46.536388,-120.476565,2371059,Leisure Hill,Union Gap Transit,,,,,,NO,NO,NO,YES,53077940003,9400.03,077,940003,Good
6445,0,6445_0,7,46.546744,-120.477895,2371060,S 2nd St & W Washington St,Union Gap Transit,,,,,,NO,NO,NO,YES,53077001400,14,077,001400,Good
6445,0,6445_0,8,46.556614242,-120.494708334,2371061,Yakima County Health District/Business Park,Union Gap Transit,,,,,,NO,NO,NO,YES,53077001300,13,077,001300,Good
6445,0,6445_0,9,46.556852,-120.520256,2371062,Ahtanum Youth Activities Park,Union Gap Transit,,,,,,NO,NO,NO,YES,53077001300,13,077,001300,Good
6445,0,6445_0,10,46.570674678562,-120.51941887759,2371063,W Washington Ave and S 10th Ave,Union Gap Transit,,,,,,NO,NO,NO,YES,53077001300,13,077,001300,Good
6445,0,6445_0,11,46.569678,-120.509658,2371064,S 3rd Ave & W Washington Ave,Union Gap Transit,,,,,,NO,NO,NO,YES,53077001300,13,077,001300,Good
6445,0,6445_0,12,46.563251,-120.500424,2455814,Costco,Union Gap Transit,,,,,,NO,NO,NO,YES,53077001300,13,077,001300,Good
6445,0,6445_0,13,46.56218931,-120.495324691,2455815,WinCo (2425 Longfibre Rd),Union Gap Transit,,,,,,NO,NO,NO,YES,53077001300,13,077,001300,Good
6445,0,6445_0,14,46.563668,-120.479858,2371054,Valley Mall,Union Gap Transit,,,,,,YES,YES,NO,YES,53077001400,14,077,001400,Good
28,0,28_0,60,46.570673,-120.519521,569,WASHINGTON / 10TH,Yakima Transit,,,,,,NO,NO,NO,YES,53077001300,13,077,001300,Good
28,0,28_0,62,46.570637,-120.514135,568,WASH / CORNELL,Yakima Transit,,,,,,NO,NO,NO,NO,53077001300,13,077,001300,Good
28,0,28_0,72,46.56293,-120.47735,117,VALLEY MALL BLVD EASTBOUND,Yakima Transit,,,,,,NO,NO,NO,NO,53077001400,14,077,001400,Good
28,0,28_0,73,46.563667331,-120.479892131,539,VALLEY MALL,Yakima Transit,,,,,,NO,NO,NO,NO,53077001400,14,077,001400,Good
53,0,53_0,16,46.56293,-120.47735,117,VALLEY MALL BLVD EASTBOUND,Yakima Transit,,,,,,NO,NO,NO,NO,53077001400,14,077,001400,Good
53,0,53_0,17,46.563667331,-120.479892131,539,VALLEY MALL,Yakima Transit,,,,,,NO,NO,NO,NO,53077001400,14,077,001400,Good
69,0,69_0,59,46.570673,-120.519521,569,WASHINGTON / 10TH,Yakima Transit,,,,,,NO,NO,NO,YES,53077001300,13,077,001300,Good
69,0,69_0,61,46.570637,-120.514135,568,WASH / CORNELL,Yakima Transit,,,,,,NO,NO,NO,NO,53077001300,13,077,001300,Good
69,0,69_0,71,46.56293,-120.47735,117,VALLEY MALL BLVD EASTBOUND,Yakima Transit,,,,,,NO,NO,NO,NO,53077001400,14,077,001400,Good
69,0,69_0,72,46.563667331,-120.479892131,539,VALLEY MALL,Yakima Transit,,,,,,NO,NO,NO,NO,53077001400,14,077,001400,Good
72,0,72_0,16,46.56293,-120.47735,117,VALLEY MALL BLVD EASTBOUND,Yakima Transit,,,,,,NO,NO,NO,NO,53077001400,14,077,001400,Good
72,0,72_0,17,46.563667331,-120.479892131,539,VALLEY MALL,Yakima Transit,,,,,,NO,NO,NO,NO,53077001400,14,077,001400,Good
73,0,73_0,16,46.56293,-120.47735,117,VALLEY MALL BLVD EASTBOUND,Yakima Transit,,,,,,NO,NO,NO,NO,53077001400,14,077,001400,Good
73,0,73_0,17,46.563667331,-120.479892131,539,VALLEY MALL,Yakima Transit,,,,,,NO,NO,NO,NO,53077001400,14,077,001400,Good
