route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
3049,0,3049_0,14,46.0661407,-118.3422639,818666,Walla Walla Transfer Center,City of Milton-Freewater,,,,,,NO,NO,NO,NO,53071920600,9206,071,920600,Good
1859,0,1859_0,11,46.0523909,-118.3601721,781603,Walla Walla VA Clinic,People Mover,,,,,,NO,NO,NO,NO,53071920600,9206,071,920600,Ok
1859,1,1859_1,1,46.0523909,-118.3601721,781603,Walla Walla VA Clinic,People Mover,,,,,,NO,NO,NO,NO,53071920600,9206,071,920600,Ok
1,0,1_0,1,46.079222,-118.276473,205,Walla Walla Community College,Valley Transit,,,,,,YES,NO,NO,YES,53071920200,9202,071,920200,Good
1,0,1_0,2,46.06938,-118.291512,167,Tausick & Parrish,Valley Transit,,,,,,NO,NO,NO,YES,53071920901,9209.01,071,920901,Good
1,0,1_0,3,46.067763,-118.295498,57,Alder & Berney,Valley Transit,,,,,,NO,NO,NO,NO,53071920901,9209.01,071,920901,Good
1,0,1_0,4,46.067737,-118.303,119,Alder & Wilbur,Valley Transit,,,,,,NO,NO,NO,YES,53071920901,9209.01,071,920901,Good
1,0,1_0,5,46.070096,-118.3043,84,Wilbur &  South Wilbur Apts.,Valley Transit,,,,,,NO,NO,NO,NO,53071920901,9209.01,071,920901,Good
1,0,1_0,6,46.073023,-118.30372,83,Wilbur & University,Valley Transit,,,,,,NO,NO,NO,NO,53071920801,9208.01,071,920801,Good
1,0,1_0,7,46.076371,-118.30037,117,Mill Creek Apartments,Valley Transit,,,,,,YES,YES,NO,YES,53071920801,9208.01,071,920801,Good
1,0,1_0,8,46.076034,-118.302841,122,Isaacs & Safeway,Valley Transit,,,,,,YES,YES,NO,NO,53071920801,9208.01,071,920801,Good
1,0,1_0,9,46.075314,-118.306585,300,Isaacs & Cedar,Valley Transit,,,,,,NO,NO,NO,NO,53071920801,9208.01,071,920801,Good
1,0,1_0,10,46.075153,-118.308,301,Isaacs & Wellington,Valley Transit,,,,,,NO,NO,NO,NO,53071920801,9208.01,071,920801,Good
1,0,1_0,11,46.075054,-118.3132,322,Isaacs &  Blue,Valley Transit,,,,,,NO,NO,NO,NO,53071920801,9208.01,071,920801,Good
1,0,1_0,12,46.075049,-118.316447,8,Isaacs & White,Valley Transit,,,,,,NO,NO,NO,NO,53071920801,9208.01,071,920801,Good
1,0,1_0,13,46.074354,-118.319632,238,Isaacs & Division,Valley Transit,,,,,,NO,NO,NO,NO,53071920801,9208.01,071,920801,Good
1,0,1_0,14,46.073744,-118.3233,290,Isaacs & Clinton,Valley Transit,,,,,,NO,NO,NO,NO,53071920801,9208.01,071,920801,Good
1,0,1_0,15,46.073269,-118.326972,291,Isaacs & Estrella,Valley Transit,,,,,,NO,NO,NO,NO,53071920802,9208.02,071,920802,Good
1,0,1_0,16,46.07305,-118.33013,11,Isaacs & Penrose,Valley Transit,,,,,,NO,NO,NO,NO,53071920802,9208.02,071,920802,Good
1,0,1_0,17,46.072458,-118.3326,292,Main & Park,Valley Transit,,,,,,NO,NO,NO,NO,53071920802,9208.02,071,920802,Good
1,0,1_0,18,46.068672,-118.3367,307,Main & Spokane,Valley Transit,,,,,,NO,NO,NO,YES,53071920802,9208.02,071,920802,Good
1,0,1_0,19,46.067307,-118.3382,302,Main & 1st,Valley Transit,,,,,,NO,NO,NO,YES,53071920701,9207.01,071,920701,Good
1,0,1_0,20,46.06613,-118.34233,1,Walla Walla Transit Center,Valley Transit,,,,,,YES,YES,NO,YES,53071920600,9206,071,920600,Good
1,1,1_1,1,46.079222,-118.276473,205,Walla Walla Community College,Valley Transit,,,,,,YES,NO,NO,YES,53071920200,9202,071,920200,Acceptable
1,1,1_1,2,46.070973,-118.289489,166,Tausick & Garrison,Valley Transit,,,,,,NO,NO,NO,NO,53071920901,9209.01,071,920901,Acceptable
1,1,1_1,3,46.06938,-118.291512,167,Tausick & Parrish,Valley Transit,,,,,,NO,NO,NO,YES,53071920901,9209.01,071,920901,Acceptable
1,1,1_1,4,46.067763,-118.295498,57,Alder & Berney,Valley Transit,,,,,,NO,NO,NO,NO,53071920901,9209.01,071,920901,Acceptable
15,0,15_0,2,46.047765,-118.3146,249,Fern & Wallowa,Valley Transit,,,,,,NO,NO,NO,NO,53071920902,9209.02,071,920902,Ok
15,0,15_0,3,46.050056,-118.3163,46,Tietan & Dow,Valley Transit,,,,,,NO,NO,NO,NO,53071920702,9207.02,071,920702,Ok
15,0,15_0,4,46.050104,-118.3246,47,Tietan & Howard,Valley Transit,,,,,,NO,NO,NO,NO,53071920702,9207.02,071,920702,Ok
15,0,15_0,5,46.05075,-118.329,48,2nd & Edwards,Valley Transit,,,,,,NO,NO,NO,NO,53071920701,9207.01,071,920701,Ok
15,0,15_0,6,46.054498,-118.331726,126,2nd & Providence Urgent Care,Valley Transit,,,,,,NO,NO,NO,NO,53071920701,9207.01,071,920701,Ok
15,0,15_0,7,46.05552,-118.332401,118,Southgate,Valley Transit,,,,,,NO,NO,NO,NO,53071920701,9207.01,071,920701,Ok
15,0,15_0,8,46.065842,-118.339049,108,Alder & 2nd,Valley Transit,,,,,,NO,NO,NO,NO,53071920600,9206,071,920600,Ok
15,0,15_0,9,46.065943,-118.341708,223,Walla Walla Transit Center,Valley Transit,,,,,,NO,NO,NO,YES,53071920600,9206,071,920600,Ok
15,1,15_1,1,46.065943,-118.341708,223,Walla Walla Transit Center,Valley Transit,,,,,,NO,NO,NO,YES,53071920600,9206,071,920600,Ok
15,1,15_1,2,46.064054,-118.337217,248,2nd & Birch,Valley Transit,,,,,,NO,NO,NO,NO,53071920600,9206,071,920600,Ok
15,1,15_1,3,46.06221,-118.33576,40,2nd & Stahl,Valley Transit,,,,,,NO,NO,NO,NO,53071920600,9206,071,920600,Ok
15,1,15_1,4,46.054717,-118.3321,203,Southgate,Valley Transit,,,,,,NO,NO,NO,NO,53071920701,9207.01,071,920701,Ok
15,1,15_1,5,46.051084,-118.3295,41,2nd & Edwards,Valley Transit,,,,,,NO,NO,NO,NO,53071920701,9207.01,071,920701,Ok
15,1,15_1,6,46.048856,-118.328373,329,2nd & Penny Lane,Valley Transit,,,,,,NO,NO,NO,NO,53071920702,9207.02,071,920702,Ok
15,1,15_1,7,46.04701,-118.327775,125,2nd & Parkwood Circle,Valley Transit,,,,,,NO,NO,NO,NO,53071920702,9207.02,071,920702,Ok
15,1,15_1,8,46.045795,-118.325508,43,2nd & Howard,Valley Transit,,,,,,NO,NO,NO,NO,53071920702,9207.02,071,920702,Ok
2,0,2_0,12,46.057114,-118.3716,70,Town Center,Valley Transit,,,,,,NO,NO,NO,YES,53071920600,9206,071,920600,Good
2,0,2_0,13,46.058223,-118.367569,71,Rose & Offner,Valley Transit,,,,,,NO,NO,NO,YES,53071920600,9206,071,920600,Good
2,0,2_0,14,46.058872,-118.3652,243,Rose & Jade,Valley Transit,,,,,,NO,NO,NO,YES,53071920600,9206,071,920600,Good
2,0,2_0,15,46.059651,-118.3624,72,Rose & Avery,Valley Transit,,,,,,NO,NO,NO,YES,53071920600,9206,071,920600,Good
2,0,2_0,16,46.060655,-118.3589,181,Rose & Woodland,Valley Transit,,,,,,NO,NO,NO,NO,53071920600,9206,071,920600,Good
2,0,2_0,17,46.061566,-118.35588,315,Rose & 13th,Valley Transit,,,,,,NO,NO,NO,NO,53071920600,9206,071,920600,Good
2,0,2_0,18,46.062722,-118.3491,165,Main & 10th,Valley Transit,,,,,,NO,NO,NO,YES,53071920600,9206,071,920600,Good
2,0,2_0,19,46.064692,-118.344167,197,Main & 6th,Valley Transit,,,,,,NO,NO,NO,YES,53071920600,9206,071,920600,Good
2,0,2_0,20,46.06613,-118.34233,1,Walla Walla Transit Center,Valley Transit,,,,,,YES,YES,NO,YES,53071920600,9206,071,920600,Good
2,1,2_1,1,46.06613,-118.34233,1,Walla Walla Transit Center,Valley Transit,,,,,,YES,YES,NO,YES,53071920600,9206,071,920600,Good
2,1,2_1,2,46.063448,-118.3506,169,Rose & 10th,Valley Transit,,,,,,NO,NO,NO,NO,53071920500,9205,071,920500,Good
2,1,2_1,3,46.061592,-118.356378,14,Family Medical Center,Valley Transit,,,,,,NO,NO,NO,NO,53071920600,9206,071,920600,Good
2,1,2_1,4,46.06071,-118.3594,15,Rose & Woodland,Valley Transit,,,,,,NO,NO,NO,NO,53071920600,9206,071,920600,Good
2,1,2_1,5,46.059932,-118.362242,16,Rose & Avery,Valley Transit,,,,,,NO,NO,NO,NO,53071920600,9206,071,920600,Good
2,1,2_1,6,46.058537,-118.36719,317,Rose & Offner,Valley Transit,,,,,,NO,NO,NO,NO,53071920600,9206,071,920600,Good
2,1,2_1,7,46.057442,-118.371032,18,Town Center,Valley Transit,,,,,,NO,NO,NO,NO,53071920600,9206,071,920600,Good
3,0,3_0,1,46.06613,-118.34233,1,Walla Walla Transit Center,Valley Transit,,,,,,YES,YES,NO,YES,53071920600,9206,071,920600,Good
3,0,3_0,2,46.064054,-118.337217,248,2nd & Birch,Valley Transit,,,,,,NO,NO,NO,NO,53071920600,9206,071,920600,Good
3,0,3_0,3,46.06221,-118.33576,40,2nd & Stahl,Valley Transit,,,,,,NO,NO,NO,NO,53071920600,9206,071,920600,Good
3,0,3_0,4,46.054717,-118.3321,203,Southgate,Valley Transit,,,,,,NO,NO,NO,NO,53071920701,9207.01,071,920701,Good
3,0,3_0,5,46.051084,-118.3295,41,2nd & Edwards,Valley Transit,,,,,,NO,NO,NO,NO,53071920701,9207.01,071,920701,Good
3,0,3_0,6,46.048856,-118.328373,329,2nd & Penny Lane,Valley Transit,,,,,,NO,NO,NO,NO,53071920702,9207.02,071,920702,Good
3,0,3_0,7,46.04701,-118.327775,125,2nd & Parkwood Circle,Valley Transit,,,,,,NO,NO,NO,NO,53071920702,9207.02,071,920702,Good
3,0,3_0,8,46.045795,-118.325508,43,2nd & Howard,Valley Transit,,,,,,NO,NO,NO,NO,53071920702,9207.02,071,920702,Good
3,0,3_0,10,46.047765,-118.3146,249,Fern & Wallowa,Valley Transit,,,,,,NO,NO,NO,NO,53071920902,9209.02,071,920902,Good
3,0,3_0,11,46.050056,-118.3163,46,Tietan & Dow,Valley Transit,,,,,,NO,NO,NO,NO,53071920702,9207.02,071,920702,Good
3,0,3_0,12,46.050104,-118.3246,47,Tietan & Howard,Valley Transit,,,,,,NO,NO,NO,NO,53071920702,9207.02,071,920702,Good
3,0,3_0,13,46.05075,-118.329,48,2nd & Edwards,Valley Transit,,,,,,NO,NO,NO,NO,53071920701,9207.01,071,920701,Good
3,0,3_0,14,46.054498,-118.331726,126,2nd & Providence Urgent Care,Valley Transit,,,,,,NO,NO,NO,NO,53071920701,9207.01,071,920701,Good
3,0,3_0,15,46.05552,-118.332401,118,Southgate,Valley Transit,,,,,,NO,NO,NO,NO,53071920701,9207.01,071,920701,Good
3,0,3_0,16,46.065842,-118.339049,108,Alder & 2nd,Valley Transit,,,,,,NO,NO,NO,NO,53071920600,9206,071,920600,Good
3,0,3_0,17,46.06613,-118.34233,1,Walla Walla Transit Center,Valley Transit,,,,,,YES,YES,NO,YES,53071920600,9206,071,920600,Good
300,0,300_0,1,46.06613,-118.34233,1,Walla Walla Transit Center,Valley Transit,,,,,,YES,YES,NO,YES,53071920600,9206,071,920600,Good
300,0,300_0,2,46.06733,-118.33787,50,Main & 1st,Valley Transit,,,,,,NO,NO,NO,YES,53071920701,9207.01,071,920701,Good
300,0,300_0,3,46.069002,-118.336081,321,Main & Spokane,Valley Transit,,,,,,NO,NO,NO,YES,53071920802,9208.02,071,920802,Good
300,0,300_0,4,46.07113,-118.3337,52,Main & Touchet,Valley Transit,,,,,,NO,NO,NO,YES,53071920802,9208.02,071,920802,Good
300,0,300_0,5,46.074809,-118.332941,196,North Rose & Sumach,Valley Transit,,,,,,NO,NO,NO,YES,53071920802,9208.02,071,920802,Good
300,0,300_0,6,46.076462,-118.3318,77,Sumach & Stadium Dr.,Valley Transit,,,,,,NO,NO,NO,YES,53071920802,9208.02,071,920802,Good
300,0,300_0,7,46.078514,-118.32689,78,Melrose & Valencia,Valley Transit,,,,,,NO,NO,NO,YES,53071920802,9208.02,071,920802,Good
300,0,300_0,8,46.078527,-118.321587,79,Melrose & Bonsella/Division,Valley Transit,,,,,,NO,NO,NO,YES,53071920801,9208.01,071,920801,Good
300,0,300_0,9,46.078513,-118.3155,339,Melrose & White,Valley Transit,,,,,,NO,NO,NO,YES,53071920801,9208.01,071,920801,Good
300,0,300_0,10,46.074909,-118.3119,7,Isaacs & Roosevelt,Valley Transit,,,,,,NO,NO,NO,YES,53071920801,9208.01,071,920801,Good
300,0,300_0,11,46.074943,-118.308538,285,Isaacs & Ash,Valley Transit,,,,,,NO,NO,NO,YES,53071920801,9208.01,071,920801,Good
300,0,300_0,12,46.075939,-118.30278,286,Isaacs & Wilbur,Valley Transit,,,,,,NO,NO,NO,YES,53071920801,9208.01,071,920801,Good
300,0,300_0,13,46.076371,-118.30037,117,Mill Creek Apartments,Valley Transit,,,,,,YES,YES,NO,YES,53071920801,9208.01,071,920801,Good
300,0,300_0,14,46.07791,-118.2936,121,Blue Mountain Industries,Valley Transit,,,,,,NO,NO,NO,YES,53071920801,9208.01,071,920801,Good
300,0,300_0,16,46.079222,-118.276473,205,Walla Walla Community College,Valley Transit,,,,,,YES,NO,NO,YES,53071920200,9202,071,920200,Good
300,0,300_0,17,46.06938,-118.291512,167,Tausick & Parrish,Valley Transit,,,,,,NO,NO,NO,YES,53071920901,9209.01,071,920901,Good
300,0,300_0,18,46.067737,-118.303,119,Alder & Wilbur,Valley Transit,,,,,,NO,NO,NO,YES,53071920901,9209.01,071,920901,Good
300,0,300_0,19,46.067744,-118.3102,275,Alder & Bridge,Valley Transit,,,,,,NO,NO,NO,YES,53071920702,9207.02,071,920702,Good
300,0,300_0,20,46.067712,-118.3154,86,Alder & McKinley,Valley Transit,,,,,,NO,NO,NO,YES,53071920702,9207.02,071,920702,Good
300,0,300_0,21,46.067748,-118.32,87,Alder & Division,Valley Transit,,,,,,NO,NO,NO,YES,53071920702,9207.02,071,920702,Good
300,0,300_0,22,46.067749,-118.3242,276,Alder & Clinton,Valley Transit,,,,,,NO,NO,NO,YES,53071920701,9207.01,071,920701,Good
300,0,300_0,23,46.067741,-118.3297,266,Alder & Park,Valley Transit,,,,,,NO,NO,NO,YES,53071920701,9207.01,071,920701,Good
300,0,300_0,24,46.068672,-118.3367,307,Main & Spokane,Valley Transit,,,,,,NO,NO,NO,YES,53071920802,9208.02,071,920802,Good
300,0,300_0,25,46.067307,-118.3382,302,Main & 1st,Valley Transit,,,,,,NO,NO,NO,YES,53071920701,9207.01,071,920701,Good
300,0,300_0,26,46.065943,-118.341708,223,Walla Walla Transit Center,Valley Transit,,,,,,NO,NO,NO,YES,53071920600,9206,071,920600,Good
300,0,300_0,27,46.06613,-118.34233,1,Walla Walla Transit Center,Valley Transit,,,,,,YES,YES,NO,YES,53071920600,9206,071,920600,Good
310,0,310_0,1,46.06613,-118.34233,1,Walla Walla Transit Center,Valley Transit,,,,,,YES,YES,NO,YES,53071920600,9206,071,920600,Good
310,0,310_0,2,46.059247,-118.346272,174,9th & Willow,Valley Transit,,,,,,NO,NO,NO,YES,53071920600,9206,071,920600,Good
310,0,310_0,3,46.057478,-118.3462,244,9th & Emma,Valley Transit,,,,,,YES,NO,NO,YES,53071920600,9206,071,920600,Good
310,0,310_0,4,46.055644,-118.346275,133,Super 1 Foods,Valley Transit,,,,,,YES,NO,NO,YES,53071920600,9206,071,920600,Good
310,0,310_0,5,46.049239,-118.346437,299,Plaza,Valley Transit,,,,,,NO,NO,NO,YES,53071920600,9206,071,920600,Good
310,0,310_0,6,46.049773,-118.349045,60,Dalles Military & 15th,Valley Transit,,,,,,NO,NO,NO,YES,53071920600,9206,071,920600,Good
310,0,310_0,7,46.047479,-118.35506,245,Solista,Valley Transit,,,,,,NO,NO,NO,YES,53071920600,9206,071,920600,Good
310,0,310_0,8,46.045564,-118.36,62,Dalles Military & Fort Walla Walla,Valley Transit,,,,,,NO,NO,NO,YES,53071920600,9206,071,920600,Good
310,0,310_0,9,46.04392,-118.362861,187,Dallas Military &  Myra,Valley Transit,,,,,,NO,NO,NO,YES,53071920600,9206,071,920600,Good
310,0,310_0,23,46.057114,-118.3716,70,Town Center,Valley Transit,,,,,,NO,NO,NO,YES,53071920600,9206,071,920600,Good
310,0,310_0,24,46.058223,-118.367569,71,Rose & Offner,Valley Transit,,,,,,NO,NO,NO,YES,53071920600,9206,071,920600,Good
310,0,310_0,25,46.058872,-118.3652,243,Rose & Jade,Valley Transit,,,,,,NO,NO,NO,YES,53071920600,9206,071,920600,Good
310,0,310_0,26,46.059651,-118.3624,72,Rose & Avery,Valley Transit,,,,,,NO,NO,NO,YES,53071920600,9206,071,920600,Good
310,0,310_0,27,46.056924,-118.356029,183,Grand Cinemas,Valley Transit,,,,,,NO,NO,NO,YES,53071920600,9206,071,920600,Good
310,0,310_0,28,46.058958,-118.3529,184,Poplar & 14th,Valley Transit,,,,,,NO,NO,NO,YES,53071920600,9206,071,920600,Good
310,0,310_0,29,46.062722,-118.3491,165,Main & 10th,Valley Transit,,,,,,NO,NO,NO,YES,53071920600,9206,071,920600,Good
310,0,310_0,30,46.064692,-118.344167,197,Main & 6th,Valley Transit,,,,,,NO,NO,NO,YES,53071920600,9206,071,920600,Good
310,0,310_0,31,46.06613,-118.34233,1,Walla Walla Transit Center,Valley Transit,,,,,,YES,YES,NO,YES,53071920600,9206,071,920600,Good
4,0,4_0,1,46.06613,-118.34233,1,Walla Walla Transit Center,Valley Transit,,,,,,YES,YES,NO,YES,53071920600,9206,071,920600,Good
4,0,4_0,2,46.068056,-118.338791,74,Rose & Colville,Valley Transit,,,,,,NO,NO,NO,NO,53071920802,9208.02,071,920802,Good
4,0,4_0,3,46.069784,-118.33698,90,Rose & Palouse,Valley Transit,,,,,,NO,NO,NO,NO,53071920802,9208.02,071,920802,Good
4,0,4_0,4,46.074809,-118.332941,196,North Rose & Sumach,Valley Transit,,,,,,NO,NO,NO,YES,53071920802,9208.02,071,920802,Good
4,0,4_0,5,46.076462,-118.3318,77,Sumach & Stadium Dr.,Valley Transit,,,,,,NO,NO,NO,YES,53071920802,9208.02,071,920802,Good
4,0,4_0,6,46.078514,-118.32689,78,Melrose & Valencia,Valley Transit,,,,,,NO,NO,NO,YES,53071920802,9208.02,071,920802,Good
4,0,4_0,7,46.078527,-118.321587,79,Melrose & Bonsella/Division,Valley Transit,,,,,,NO,NO,NO,YES,53071920801,9208.01,071,920801,Good
4,0,4_0,8,46.078513,-118.3155,339,Melrose & White,Valley Transit,,,,,,NO,NO,NO,YES,53071920801,9208.01,071,920801,Good
4,0,4_0,9,46.078494,-118.3101,273,Melrose & Wellington,Valley Transit,,,,,,NO,NO,NO,NO,53071920801,9208.01,071,920801,Good
4,0,4_0,10,46.078533,-118.305131,81,Melrose & Wilbur,Valley Transit,,,,,,NO,NO,NO,NO,53071920801,9208.01,071,920801,Good
4,0,4_0,11,46.076769,-118.304667,274,Wilbur & Walla Walla,Valley Transit,,,,,,NO,NO,NO,NO,53071920801,9208.01,071,920801,Good
4,0,4_0,12,46.076371,-118.30037,117,Mill Creek Apartments,Valley Transit,,,,,,YES,YES,NO,YES,53071920801,9208.01,071,920801,Good
4,0,4_0,13,46.076034,-118.302841,122,Isaacs & Safeway,Valley Transit,,,,,,YES,YES,NO,NO,53071920801,9208.01,071,920801,Good
4,0,4_0,14,46.072635,-118.304,264,Wilbur & University,Valley Transit,,,,,,NO,NO,NO,NO,53071920801,9208.01,071,920801,Good
4,0,4_0,15,46.069792,-118.304485,4,Wilbur & Creekside Apts.,Valley Transit,,,,,,NO,NO,NO,NO,53071920702,9207.02,071,920702,Good
4,0,4_0,16,46.067744,-118.3102,275,Alder & Bridge,Valley Transit,,,,,,NO,NO,NO,YES,53071920702,9207.02,071,920702,Good
4,0,4_0,17,46.067712,-118.3154,86,Alder & McKinley,Valley Transit,,,,,,NO,NO,NO,YES,53071920702,9207.02,071,920702,Good
4,0,4_0,18,46.067748,-118.32,87,Alder & Division,Valley Transit,,,,,,NO,NO,NO,YES,53071920702,9207.02,071,920702,Good
4,0,4_0,19,46.067749,-118.3242,276,Alder & Clinton,Valley Transit,,,,,,NO,NO,NO,YES,53071920701,9207.01,071,920701,Good
4,0,4_0,20,46.067741,-118.3297,266,Alder & Park,Valley Transit,,,,,,NO,NO,NO,YES,53071920701,9207.01,071,920701,Good
4,0,4_0,21,46.069812,-118.337275,75,Rose & Palouse,Valley Transit,,,,,,NO,NO,NO,NO,53071920500,9205,071,920500,Good
4,0,4_0,22,46.068445,-118.338777,91,Rose & Colville,Valley Transit,,,,,,NO,NO,NO,NO,53071920500,9205,071,920500,Good
4,0,4_0,23,46.06613,-118.34233,1,Walla Walla Transit Center,Valley Transit,,,,,,YES,YES,NO,YES,53071920600,9206,071,920600,Good
5,0,5_0,1,46.06613,-118.34233,1,Walla Walla Transit Center,Valley Transit,,,,,,YES,YES,NO,YES,53071920600,9206,071,920600,Good
5,0,5_0,2,46.063227,-118.341814,92,5th & Poplar,Valley Transit,,,,,,NO,NO,NO,NO,53071920600,9206,071,920600,Good
5,0,5_0,3,46.057478,-118.3462,244,9th & Emma,Valley Transit,,,,,,YES,NO,NO,YES,53071920600,9206,071,920600,Good
5,0,5_0,4,46.055644,-118.346275,133,Super 1 Foods,Valley Transit,,,,,,YES,NO,NO,YES,53071920600,9206,071,920600,Good
5,0,5_0,5,46.049239,-118.346437,299,Plaza,Valley Transit,,,,,,NO,NO,NO,YES,53071920600,9206,071,920600,Good
5,0,5_0,6,46.049225,-118.340022,138,Tietan & Stevens,Valley Transit,,,,,,NO,NO,NO,NO,53071920600,9206,071,920600,Good
5,0,5_0,7,46.051958,-118.33557,139,3rd & Yakima,Valley Transit,,,,,,NO,NO,NO,NO,53071920701,9207.01,071,920701,Good
5,0,5_0,8,46.055702,-118.343321,95,Senior Center,Valley Transit,,,,,,NO,NO,NO,NO,53071920600,9206,071,920600,Good
5,0,5_0,9,46.055548,-118.340755,279,Harrison & Chase,Valley Transit,,,,,,NO,NO,NO,NO,53071920600,9206,071,920600,Good
5,0,5_0,10,46.05961,-118.3379,191,Lincoln High School,Valley Transit,,,,,,NO,NO,NO,NO,53071920600,9206,071,920600,Good
5,0,5_0,11,46.060245,-118.340167,136,Chase & Eagan,Valley Transit,,,,,,NO,NO,NO,NO,53071920600,9206,071,920600,Good
5,0,5_0,12,46.062772,-118.341172,137,5th & Birch,Valley Transit,,,,,,NO,NO,NO,NO,53071920600,9206,071,920600,Good
5,0,5_0,13,46.06613,-118.34233,1,Walla Walla Transit Center,Valley Transit,,,,,,YES,YES,NO,YES,53071920600,9206,071,920600,Good
6,0,6_0,1,46.06613,-118.34233,1,Walla Walla Transit Center,Valley Transit,,,,,,YES,YES,NO,YES,53071920600,9206,071,920600,Good
6,0,6_0,2,46.063108,-118.343,185,Poplar & 6th,Valley Transit,,,,,,NO,NO,NO,NO,53071920600,9206,071,920600,Good
6,0,6_0,3,46.059247,-118.346272,174,9th & Willow,Valley Transit,,,,,,NO,NO,NO,YES,53071920600,9206,071,920600,Good
6,0,6_0,4,46.057478,-118.3462,244,9th & Emma,Valley Transit,,,,,,YES,NO,NO,YES,53071920600,9206,071,920600,Good
6,0,6_0,5,46.055644,-118.346275,133,Super 1 Foods,Valley Transit,,,,,,YES,NO,NO,YES,53071920600,9206,071,920600,Good
6,0,6_0,6,46.049773,-118.349045,60,Dalles Military & 15th,Valley Transit,,,,,,NO,NO,NO,YES,53071920600,9206,071,920600,Good
6,0,6_0,7,46.047479,-118.35506,245,Solista,Valley Transit,,,,,,NO,NO,NO,YES,53071920600,9206,071,920600,Good
6,0,6_0,8,46.045743,-118.3573,186,Human Services,Valley Transit,,,,,,NO,NO,NO,NO,53071920600,9206,071,920600,Good
6,0,6_0,9,46.045564,-118.36,62,Dalles Military & Fort Walla Walla,Valley Transit,,,,,,NO,NO,NO,YES,53071920600,9206,071,920600,Good
6,0,6_0,10,46.04392,-118.362861,187,Dallas Military &  Myra,Valley Transit,,,,,,NO,NO,NO,YES,53071920600,9206,071,920600,Good
6,0,6_0,11,46.046271,-118.366396,188,Myra & Fort Walla Walla,Valley Transit,,,,,,NO,NO,NO,NO,53071920600,9206,071,920600,Good
6,0,6_0,12,46.05245,-118.370848,328,Myra & Poplar,Valley Transit,,,,,,NO,NO,NO,NO,53071920600,9206,071,920600,Good
6,0,6_0,13,46.052225,-118.360092,93,VA Medical Center,Valley Transit,,,,,,NO,NO,NO,NO,53071920600,9206,071,920600,Good
6,0,6_0,14,46.056924,-118.356029,183,Grand Cinemas,Valley Transit,,,,,,NO,NO,NO,YES,53071920600,9206,071,920600,Good
6,0,6_0,15,46.058958,-118.3529,184,Poplar & 14th,Valley Transit,,,,,,NO,NO,NO,YES,53071920600,9206,071,920600,Good
6,0,6_0,16,46.062845,-118.343133,190,Poplar & 6th,Valley Transit,,,,,,NO,NO,NO,NO,53071920600,9206,071,920600,Good
6,0,6_0,17,46.06613,-118.34233,1,Walla Walla Transit Center,Valley Transit,,,,,,YES,YES,NO,YES,53071920600,9206,071,920600,Good
