route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code,route_score
424,1,424_1,10,47.75756,-122.164572,2704,Hwy 522 & 132nd Ave NE Flyer Stop,Community Transit,,,,,,NO,NO,NO,NO,53033021802,218.02,033,021802,Good
100232,0,100232_0,18,47.757515,-122.164566,76970,Sr 522 & 132nd Ave NE,Metro Transit,,,,,,NO,NO,NO,YES,53033021802,218.02,033,021802,Great
100232,0,100232_0,19,47.7658539,-122.154541,77093,Woodinville Snohomish Rd & 139th Ave NE,Metro Transit,,,,,,YES,NO,NO,YES,53033032319,323.19,033,032319,Great
100232,0,100232_0,20,47.756855,-122.154114,77999,NE 178th Pl & 138th Pl NE,Metro Transit,,,,,,YES,YES,NO,YES,53033032319,323.19,033,032319,Great
100232,0,100232_0,21,47.757122,-122.151436,75992,Woodinville Park And Ride,Metro Transit,,,,,,YES,YES,NO,YES,53033032319,323.19,033,032319,Great
100232,1,100232_1,1,47.7567825,-122.151398,75995,Woodinville Park And Ride,Metro Transit,,,,,,YES,YES,YES,YES,53033032319,323.19,033,032319,Great
100232,1,100232_1,2,47.757534,-122.154823,77998,NE 178th Pl & NE 180th Pl,Metro Transit,,,,,,NO,NO,YES,YES,53033032319,323.19,033,032319,Great
100232,1,100232_1,3,47.7651405,-122.15403,77090,Woodinville Snohomish Rd & NE 190th St,Metro Transit,,,,,,YES,NO,NO,YES,53033032319,323.19,033,032319,Great
102558,0,102558_0,8,47.768795,-122.163544,76124,NE 195th St & 136th Ave NE,Metro Transit,,,,,,NO,NO,NO,NO,53033021802,218.02,033,021802,Great
102558,0,102558_0,9,47.7687874,-122.15876,76128,NE 195th St & 136th Ave NE,Metro Transit,,,,,,NO,NO,NO,NO,53033021802,218.02,033,021802,Great
102558,0,102558_0,10,47.7658539,-122.154541,77093,Woodinville Snohomish Rd & 139th Ave NE,Metro Transit,,,,,,YES,NO,NO,YES,53033032319,323.19,033,032319,Great
102558,0,102558_0,11,47.7567825,-122.151398,75995,Woodinville Park And Ride,Metro Transit,,,,,,YES,YES,YES,YES,53033032319,323.19,033,032319,Great
102558,0,102558_0,12,47.756855,-122.155403,78002,138th Pl NE & NE 178th Pl,Metro Transit,,,,,,NO,NO,NO,YES,53033032319,323.19,033,032319,Great
102558,0,102558_0,13,47.755043,-122.155319,78000,138th Pl NE & NE 175th St,Metro Transit,,,,,,NO,NO,NO,YES,53033032319,323.19,033,032319,Great
102558,0,102558_0,14,47.754406,-122.152206,76990,NE Woodinville Duvall Rd & 140th Ave NE,Metro Transit,,,,,,NO,NO,NO,NO,53033032319,323.19,033,032319,Great
102558,0,102558_0,15,47.7559395,-122.148979,76996,NE Woodinville Duvall Rd & NE 178th St,Metro Transit,,,,,,NO,NO,NO,NO,53033032319,323.19,033,032319,Great
102558,0,102558_0,16,47.7641945,-122.142723,77086,NE Woodinville Duvall Rd & NE North Woodinville Way,Metro Transit,,,,,,NO,NO,NO,NO,53033032319,323.19,033,032319,Great
102558,0,102558_0,17,47.7615128,-122.131737,77010,NE Woodinville Duvall Rd & 156th Ave NE,Metro Transit,,,,,,NO,NO,NO,NO,53033032320,323.20,033,032320,Great
